Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:33:02.564971,16:33:02.976827,1,-1.0
1,16:33:02.564971,16:33:03.055469,1,-1.0
1,16:33:02.564971,16:33:03.131987,1,-1.0
1,16:33:02.564971,16:33:03.213230,1,-1.0
1,16:33:02.564971,16:33:03.301510,1,-1.0
1,16:33:02.564971,16:33:03.384214,1,-1.0
1,16:33:02.564971,16:33:03.474814,1,-1.0
1,16:33:02.564971,16:33:03.550637,1,-1.0
1,16:33:02.564971,16:33:03.630387,1,-1.0
1,16:33:02.564971,16:33:03.707395,1,-1.0
1,16:33:02.564971,16:33:03.786803,1,-1.0
1,16:33:02.564971,16:33:03.860047,1,-1.0
1,16:33:02.564971,16:33:03.929649,1,-1.0
1,16:33:02.564971,16:33:04.011746,1,-1.0
1,16:33:02.564971,16:33:04.088160,1,-1.0
1,16:33:02.564971,16:33:04.171594,1,-1.0
1,16:33:02.564971,16:33:04.250052,1,-1.0
1,16:33:02.564971,16:33:04.325971,1,-1.0
1,16:33:02.564971,16:33:04.403844,1,-1.0
1,16:33:02.564971,16:33:04.480448,1,-1.0
1,16:33:02.564971,16:33:04.559678,1,-1.0
1,16:33:02.564971,16:33:04.638781,1,-1.0
1,16:33:02.564971,16:33:04.722420,1,-1.0
1,16:33:02.564971,16:33:04.803759,1,-1.0
1,16:33:02.564971,16:33:04.883015,1,-1.0
1,16:33:02.564971,16:33:04.959828,1,-1.0
1,16:33:02.564971,16:33:05.041216,1,-1.0
1,16:33:02.564971,16:33:05.120833,1,-1.0
1,16:33:02.564971,16:33:05.204964,1,-1.0
1,16:33:02.564971,16:33:05.299448,1,-1.0
1,16:33:02.564971,16:33:05.387167,1,-1.0
1,16:33:02.564971,16:33:05.479846,1,-1.0
1,16:33:02.564971,16:33:05.558471,1,-1.0
1,16:33:02.564971,16:33:05.639468,1,-1.0
1,16:33:02.564971,16:33:05.726605,1,-1.0
1,16:33:02.564971,16:33:05.806035,1,-1.0
1,16:33:02.564971,16:33:05.886597,1,-1.0
1,16:33:02.564971,16:33:05.966531,1,-1.0
1,16:33:02.564971,16:33:06.265186,1,-1.0
1,16:33:02.564971,16:33:06.350769,1,-1.0
1,16:33:02.564971,16:33:06.440140,1,-1.0
1,16:33:02.564971,16:33:06.520924,1,-1.0
1,16:33:02.564971,16:33:06.602291,1,-1.0
1,16:33:02.564971,16:33:06.680990,1,-1.0
1,16:33:02.564971,16:33:06.762479,1,-1.0
1,16:33:02.564971,16:33:06.843114,1,-1.0
1,16:33:02.564971,16:33:06.928236,1,-1.0
1,16:33:02.564971,16:33:07.002934,1,-1.0
1,16:33:02.564971,16:33:07.087934,1,-1.0
1,16:33:02.564971,16:33:07.177131,1,-1.0
1,16:33:02.564971,16:33:07.256140,1,-1.0
1,16:33:02.564971,16:33:07.334843,1,-1.0
1,16:33:02.564971,16:33:07.410892,1,-1.0
1,16:33:02.564971,16:33:07.482076,1,-1.0
1,16:33:02.564971,16:33:07.562328,1,-1.0
1,16:33:02.564971,16:33:07.645189,1,-1.0
1,16:33:02.564971,16:33:07.724992,1,-1.0
1,16:33:02.564971,16:33:07.799083,1,-1.0
1,16:33:02.564971,16:33:07.873180,1,-1.0
1,16:33:02.564971,16:33:07.948334,1,-1.0
1,16:33:02.564971,16:33:08.022101,1,-1.0
1,16:33:02.564971,16:33:08.095233,1,-1.0
1,16:33:02.564971,16:33:08.174303,1,-1.0
1,16:33:02.564971,16:33:08.257322,1,-1.0
1,16:33:02.564971,16:33:08.330538,1,-1.0
1,16:33:02.564971,16:33:08.412384,1,-1.0
1,16:33:02.564971,16:33:08.491118,1,-1.0
1,16:33:02.564971,16:33:08.582059,1,-1.0
1,16:33:02.564971,16:33:08.643791,1,-1.0
1,16:33:02.564971,16:33:08.725655,1,-1.0
1,16:33:02.564971,16:33:08.811310,1,-1.0
1,16:33:02.564971,16:33:08.875222,1,-1.0
1,16:33:02.564971,16:33:08.953401,1,-1.0
1,16:33:02.564971,16:33:09.044361,1,-1.0
1,16:33:02.564971,16:33:09.124029,-1,-1.0
1,16:33:02.564971,16:33:09.190930,-1,-1.0
1,16:33:02.564971,16:33:09.281080,1,-1.0
1,16:33:02.564971,16:33:09.348577,-1,-1.0
1,16:33:02.564971,16:33:09.426156,-1,-1.0
1,16:33:02.564971,16:33:09.509907,-1,-1.0
1,16:33:02.564971,16:33:09.585635,-1,-1.0
1,16:33:02.564971,16:33:09.665139,-1,-1.0
1,16:33:02.564971,16:33:09.741643,-1,-1.0
1,16:33:02.564971,16:33:09.832929,-1,-1.0
1,16:33:02.564971,16:33:09.952566,-1,-1.0
1,16:33:02.564971,16:33:10.040661,-1,-1.0
1,16:33:02.564971,16:33:10.104360,-1,-1.0
1,16:33:02.564971,16:33:10.188184,-1,-1.0
1,16:33:02.564971,16:33:10.268347,-1,-1.0
1,16:33:02.564971,16:33:10.363318,-1,-1.0
1,16:33:02.564971,16:33:10.434781,-1,-1.0
1,16:33:02.564971,16:33:10.508535,-1,-1.0
1,16:33:02.564971,16:33:10.590794,-1,-1.0
1,16:33:02.564971,16:33:10.670069,1,-1.0
