Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,19:21:39.042039,19:21:40.506828,-1,1.0
2,19:21:39.042039,19:21:40.778715,-1,1.0
2,19:21:39.042039,19:21:40.966112,-1,1.0
2,19:21:39.042039,19:21:41.130122,-1,1.0
2,19:21:39.042039,19:21:41.304416,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,19:21:41.330756,19:21:42.262105,-1,1.0
3,19:21:41.330756,19:21:42.572113,-1,1.0
3,19:21:41.330756,19:21:42.837183,-1,1.0
3,19:21:41.330756,19:21:43.069506,-1,1.0
3,19:21:41.330756,19:21:43.261905,-1,1.0
3,19:21:41.330756,19:21:43.585213,-1,1.0
3,19:21:41.330756,19:21:43.879810,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,19:21:44.283270,19:21:45.890495,1,1.0
4,19:21:44.283270,19:21:47.075984,-1,1.0
4,19:21:44.283270,19:21:47.843800,1,1.0
4,19:21:44.283270,19:21:48.172201,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,19:21:48.197772,19:21:50.210067,-1,1.0
5,19:21:48.197772,19:21:50.626081,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,19:21:51.004262,19:21:52.307214,-1,1.0
6,19:21:51.004262,19:21:52.612229,-1,1.0
6,19:21:51.004262,19:21:52.906536,-1,1.0
6,19:21:51.004262,19:21:53.211616,-1,1.0
6,19:21:51.004262,19:21:53.522581,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
7,19:21:53.913107,19:21:55.714200,-1,1.0
7,19:21:53.913107,19:21:56.025461,-1,1.0
7,19:21:53.913107,19:21:56.439084,-1,1.0
7,19:21:53.913107,19:21:56.726817,-1,1.0
7,19:21:53.913107,19:21:57.022179,-1,1.0
7,19:21:53.913107,19:21:57.334198,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
8,19:21:57.359318,19:21:59.031421,-1,1.0
8,19:21:57.359318,19:21:59.308085,-1,1.0
8,19:21:57.359318,19:21:59.519479,-1,1.0
8,19:21:57.359318,19:21:59.719787,-1,1.0
8,19:21:57.359318,19:21:59.916661,-1,1.0
8,19:21:57.359318,19:22:00.246905,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
9,19:22:00.274448,19:22:02.092077,1,1.0
9,19:22:00.274448,19:22:02.720555,-1,1.0
9,19:22:00.274448,19:22:02.893699,-1,1.0
9,19:22:00.274448,19:22:03.067990,-1,1.0
9,19:22:00.274448,19:22:03.225522,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
10,19:22:03.247957,19:22:04.506444,-1,1.0
10,19:22:03.247957,19:22:04.671325,-1,1.0
10,19:22:03.247957,19:22:04.849932,-1,1.0
10,19:22:03.247957,19:22:05.007009,-1,1.0
10,19:22:03.247957,19:22:05.185120,-1,1.0
10,19:22:03.247957,19:22:05.445536,-1,1.0
