Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:47:08.864941,16:47:11.723312,-1,-1.0
1,16:47:08.864941,16:47:11.837993,-1,-1.0
1,16:47:08.864941,16:47:11.950703,-1,-1.0
1,16:47:08.864941,16:47:12.044025,-1,-1.0
1,16:47:08.864941,16:47:12.149340,-1,-1.0
1,16:47:08.864941,16:47:12.260307,-1,-1.0
1,16:47:08.864941,16:47:12.341895,-1,-1.0
1,16:47:08.864941,16:47:12.425899,-1,-1.0
1,16:47:08.864941,16:47:12.511221,-1,-1.0
1,16:47:08.864941,16:47:12.591119,-1,-1.0
1,16:47:08.864941,16:47:12.674887,-1,-1.0
1,16:47:08.864941,16:47:12.759123,1,-1.0
1,16:47:08.864941,16:47:12.837307,1,-1.0
1,16:47:08.864941,16:47:12.910244,1,-1.0
1,16:47:08.864941,16:47:12.992429,1,-1.0
1,16:47:08.864941,16:47:13.073556,1,-1.0
1,16:47:08.864941,16:47:13.158141,1,-1.0
1,16:47:08.864941,16:47:13.243310,1,-1.0
1,16:47:08.864941,16:47:13.327857,1,-1.0
1,16:47:08.864941,16:47:13.405046,1,-1.0
1,16:47:08.864941,16:47:13.489056,1,-1.0
1,16:47:08.864941,16:47:13.571009,1,-1.0
1,16:47:08.864941,16:47:13.648976,1,-1.0
1,16:47:08.864941,16:47:13.732537,1,-1.0
1,16:47:08.864941,16:47:13.889923,-1,-1.0
1,16:47:08.864941,16:47:13.968794,-1,-1.0
1,16:47:08.864941,16:47:14.046081,-1,-1.0
1,16:47:08.864941,16:47:14.128039,-1,-1.0
1,16:47:08.864941,16:47:14.207392,-1,-1.0
1,16:47:08.864941,16:47:14.289495,-1,-1.0
1,16:47:08.864941,16:47:14.365447,-1,-1.0
1,16:47:08.864941,16:47:14.442517,-1,-1.0
1,16:47:08.864941,16:47:14.522504,-1,-1.0
1,16:47:08.864941,16:47:14.601125,-1,-1.0
1,16:47:08.864941,16:47:18.497298,1,-1.0
1,16:47:08.864941,16:47:18.585208,1,-1.0
1,16:47:08.864941,16:47:18.670454,1,-1.0
1,16:47:08.864941,16:47:18.768418,1,-1.0
1,16:47:08.864941,16:47:26.022505,1,-1.0
1,16:47:08.864941,16:47:27.860802,1,-1.0
1,16:47:08.864941,16:47:28.242436,1,-1.0
1,16:47:08.864941,16:47:28.324049,1,-1.0
1,16:47:08.864941,16:47:28.409283,1,-1.0
1,16:47:08.864941,16:47:28.496495,1,-1.0
1,16:47:08.864941,16:47:28.574889,1,-1.0
