Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:42:30.303083,16:42:44.130227,1,-1.0
1,16:42:30.303083,16:42:44.206328,1,-1.0
1,16:42:30.303083,16:42:44.289425,1,-1.0
1,16:42:30.303083,16:42:44.376507,1,-1.0
1,16:42:30.303083,16:42:44.454964,1,-1.0
1,16:42:30.303083,16:42:44.534768,1,-1.0
1,16:42:30.303083,16:42:44.613865,1,-1.0
1,16:42:30.303083,16:42:44.685912,1,-1.0
1,16:42:30.303083,16:42:44.770562,1,-1.0
1,16:42:30.303083,16:42:44.847998,1,-1.0
1,16:42:30.303083,16:42:44.926253,1,-1.0
1,16:42:30.303083,16:42:45.008838,1,-1.0
1,16:42:30.303083,16:42:45.102478,1,-1.0
1,16:42:30.303083,16:42:47.424009,1,-1.0
1,16:42:30.303083,16:42:47.500194,1,-1.0
1,16:42:30.303083,16:42:47.585040,1,-1.0
1,16:42:30.303083,16:42:47.651890,1,-1.0
1,16:42:30.303083,16:42:47.732172,1,-1.0
1,16:42:30.303083,16:42:47.807299,1,-1.0
1,16:42:30.303083,16:42:47.886484,1,-1.0
1,16:42:30.303083,16:42:47.962144,1,-1.0
1,16:42:30.303083,16:42:48.039435,1,-1.0
1,16:42:30.303083,16:42:48.115666,1,-1.0
1,16:42:30.303083,16:42:48.195599,1,-1.0
1,16:42:30.303083,16:42:48.271109,1,-1.0
1,16:42:30.303083,16:42:48.356454,1,-1.0
1,16:42:30.303083,16:42:48.439248,1,-1.0
1,16:42:30.303083,16:42:48.517006,1,-1.0
1,16:42:30.303083,16:42:48.591555,1,-1.0
1,16:42:30.303083,16:42:48.669766,1,-1.0
1,16:42:30.303083,16:42:48.742111,1,-1.0
1,16:42:30.303083,16:42:48.818206,1,-1.0
1,16:42:30.303083,16:42:48.898042,1,-1.0
1,16:42:30.303083,16:42:48.972987,1,-1.0
1,16:42:30.303083,16:42:49.051753,1,-1.0
1,16:42:30.303083,16:42:49.138417,-1,-1.0
1,16:42:30.303083,16:42:49.200253,-1,-1.0
1,16:42:30.303083,16:42:49.291148,-1,-1.0
1,16:42:30.303083,16:42:49.377918,-1,-1.0
1,16:42:30.303083,16:42:49.441724,-1,-1.0
1,16:42:30.303083,16:42:49.514366,-1,-1.0
1,16:42:30.303083,16:42:49.590209,-1,-1.0
1,16:42:30.303083,16:42:49.673919,-1,-1.0
1,16:42:30.303083,16:42:49.750734,-1,-1.0
1,16:42:30.303083,16:42:49.826864,-1,-1.0
1,16:42:30.303083,16:42:49.907670,-1,-1.0
1,16:42:30.303083,16:42:49.994757,-1,-1.0
1,16:42:30.303083,16:42:50.073802,-1,-1.0
1,16:42:30.303083,16:42:50.151363,-1,-1.0
1,16:42:30.303083,16:42:50.229581,1,-1.0
1,16:42:30.303083,16:42:50.308061,1,-1.0
1,16:42:30.303083,16:42:50.391321,1,-1.0
1,16:42:30.303083,16:42:50.479120,1,-1.0
1,16:42:30.303083,16:42:50.556363,1,-1.0
1,16:42:30.303083,16:42:50.636325,1,-1.0
1,16:42:30.303083,16:42:50.714007,1,-1.0
1,16:42:30.303083,16:42:50.789721,1,-1.0
1,16:42:30.303083,16:42:50.865852,1,-1.0
1,16:42:30.303083,16:42:50.945025,1,-1.0
1,16:42:30.303083,16:42:51.027293,1,-1.0
1,16:42:30.303083,16:42:51.104450,1,-1.0
1,16:42:30.303083,16:42:51.182117,1,-1.0
1,16:42:30.303083,16:42:51.261554,1,-1.0
1,16:42:30.303083,16:42:51.343822,1,-1.0
1,16:42:30.303083,16:42:51.426431,1,-1.0
1,16:42:30.303083,16:42:51.508123,1,-1.0
1,16:42:30.303083,16:42:51.585507,1,-1.0
1,16:42:30.303083,16:42:51.662099,1,-1.0
1,16:42:30.303083,16:42:51.744193,1,-1.0
1,16:42:30.303083,16:42:51.821389,1,-1.0
1,16:42:30.303083,16:42:51.898077,1,-1.0
1,16:42:30.303083,16:42:51.977974,1,-1.0
1,16:42:30.303083,16:42:52.060856,1,-1.0
1,16:42:30.303083,16:42:52.146298,1,-1.0
1,16:42:30.303083,16:42:52.224944,1,-1.0
1,16:42:30.303083,16:42:52.302215,-1,-1.0
1,16:42:30.303083,16:42:52.379617,-1,-1.0
1,16:42:30.303083,16:42:52.456993,-1,-1.0
1,16:42:30.303083,16:42:52.537096,-1,-1.0
1,16:42:30.303083,16:42:52.610775,-1,-1.0
1,16:42:30.303083,16:42:52.686016,-1,-1.0
1,16:42:30.303083,16:42:52.762865,-1,-1.0
1,16:42:30.303083,16:42:52.843741,-1,-1.0
1,16:42:30.303083,16:42:52.922015,-1,-1.0
1,16:42:30.303083,16:42:52.998057,-1,-1.0
1,16:42:30.303083,16:42:53.074753,-1,-1.0
1,16:42:30.303083,16:42:53.153898,-1,-1.0
1,16:42:30.303083,16:42:53.232534,-1,-1.0
1,16:42:30.303083,16:42:53.307352,-1,-1.0
1,16:42:30.303083,16:42:53.388471,-1,-1.0
1,16:42:30.303083,16:42:53.466838,-1,-1.0
1,16:42:30.303083,16:42:53.552939,-1,-1.0
1,16:42:30.303083,16:42:53.631452,-1,-1.0
1,16:42:30.303083,16:42:53.712537,-1,-1.0
1,16:42:30.303083,16:42:53.791143,1,-1.0
1,16:42:30.303083,16:42:53.872367,1,-1.0
1,16:42:30.303083,16:42:55.504222,1,-1.0
1,16:42:30.303083,16:42:55.582376,1,-1.0
1,16:42:30.303083,16:42:55.662264,1,-1.0
1,16:42:30.303083,16:42:55.740356,1,-1.0
1,16:42:30.303083,16:42:55.824810,1,-1.0
1,16:42:30.303083,16:42:55.909537,1,-1.0
1,16:42:30.303083,16:42:55.985991,1,-1.0
1,16:42:30.303083,16:42:56.065679,1,-1.0
1,16:42:30.303083,16:42:56.171155,1,-1.0
1,16:42:30.303083,16:42:56.234117,1,-1.0
1,16:42:30.303083,16:42:56.311339,1,-1.0
1,16:42:30.303083,16:42:56.394781,1,-1.0
1,16:42:30.303083,16:42:56.480184,1,-1.0
1,16:42:30.303083,16:42:56.562188,1,-1.0
1,16:42:30.303083,16:42:56.657399,1,-1.0
1,16:42:30.303083,16:42:56.727010,1,-1.0
1,16:42:30.303083,16:42:56.802154,1,-1.0
1,16:42:30.303083,16:42:56.880254,1,-1.0
1,16:42:30.303083,16:42:56.953979,1,-1.0
1,16:42:30.303083,16:42:57.034291,1,-1.0
1,16:42:30.303083,16:42:57.109063,1,-1.0
1,16:42:30.303083,16:42:57.186714,1,-1.0
1,16:42:30.303083,16:42:57.262571,1,-1.0
1,16:42:30.303083,16:42:57.345839,1,-1.0
1,16:42:30.303083,16:42:57.426937,1,-1.0
1,16:42:30.303083,16:42:57.508587,1,-1.0
1,16:42:30.303083,16:42:57.592434,1,-1.0
1,16:42:30.303083,16:42:57.674489,1,-1.0
1,16:42:30.303083,16:42:57.755559,1,-1.0
1,16:42:30.303083,16:42:57.838642,1,-1.0
1,16:42:30.303083,16:42:57.926014,1,-1.0
1,16:42:30.303083,16:42:58.008196,1,-1.0
1,16:42:30.303083,16:42:58.091170,1,-1.0
1,16:42:30.303083,16:42:58.181797,1,-1.0
1,16:42:30.303083,16:42:58.260373,1,-1.0
1,16:42:30.303083,16:42:58.341621,1,-1.0
1,16:42:30.303083,16:42:58.416205,1,-1.0
1,16:42:30.303083,16:42:58.497275,1,-1.0
1,16:42:30.303083,16:42:58.571097,1,-1.0
1,16:42:30.303083,16:42:58.642054,1,-1.0
1,16:42:30.303083,16:42:58.723916,1,-1.0
1,16:42:30.303083,16:42:58.804220,1,-1.0
1,16:42:30.303083,16:42:58.878275,1,-1.0
1,16:42:30.303083,16:42:58.959929,1,-1.0
1,16:42:30.303083,16:42:59.045433,1,-1.0
1,16:42:30.303083,16:42:59.121894,1,-1.0
1,16:42:30.303083,16:42:59.204295,1,-1.0
1,16:42:30.303083,16:42:59.286713,1,-1.0
1,16:42:30.303083,16:42:59.360058,1,-1.0
1,16:42:30.303083,16:42:59.438264,1,-1.0
1,16:42:30.303083,16:42:59.522435,1,-1.0
1,16:42:30.303083,16:42:59.600953,1,-1.0
