Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:09:26.838167,12:09:29.417584,-1,-1.0
1,12:09:26.838167,12:09:32.625067,-1,-1.0
1,12:09:26.838167,12:09:33.387592,-1,-1.0
1,12:09:26.838167,12:09:34.268877,1,-1.0
1,12:09:26.838167,12:09:34.680041,1,-1.0
1,12:09:26.838167,12:09:35.350190,1,-1.0
1,12:09:26.838167,12:09:36.588818,-1,-1.0
1,12:09:26.838167,12:09:37.135626,-1,-1.0
1,12:09:26.838167,12:09:38.243675,-1,-1.0
1,12:09:26.838167,12:09:38.707182,1,-1.0
1,12:09:26.838167,12:09:38.967695,1,-1.0
1,12:09:26.838167,12:09:39.613246,1,-1.0
1,12:09:26.838167,12:09:40.303217,-1,-1.0
1,12:09:26.838167,12:09:40.584790,-1,-1.0
1,12:09:26.838167,12:09:40.736544,-1,-1.0
1,12:09:26.838167,12:09:40.984882,-1,-1.0
1,12:09:26.838167,12:09:41.479771,-1,-1.0
1,12:09:26.838167,12:09:41.891019,-1,-1.0
1,12:09:26.838167,12:09:43.659702,-1,-1.0
1,12:09:26.838167,12:09:44.760977,-1,-1.0
1,12:09:26.838167,12:09:48.308475,1,-1.0
1,12:09:26.838167,12:09:49.484743,-1,-1.0
1,12:09:26.838167,12:09:49.793233,-1,-1.0
1,12:09:26.838167,12:09:50.478774,-1,-1.0
1,12:09:26.838167,12:09:50.937722,-1,-1.0
1,12:09:26.838167,12:09:52.824916,1,-1.0
1,12:09:26.838167,12:09:54.521075,-1,-1.0
1,12:09:26.838167,12:09:55.480983,-1,-1.0
1,12:09:26.838167,12:09:55.705788,-1,-1.0
1,12:09:26.838167,12:09:56.159570,1,-1.0
1,12:09:26.838167,12:09:56.360331,1,-1.0
1,12:09:26.838167,12:09:56.577931,1,-1.0
