Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:12:03.080273,15:12:08.854855,-1,1.0
1,15:12:03.080273,15:12:09.646300,-1,1.0
1,15:12:03.080273,15:12:10.284951,-1,1.0
1,15:12:03.080273,15:12:10.867175,-1,1.0
1,15:12:03.080273,15:12:11.347627,-1,1.0
1,15:12:03.080273,15:12:11.786960,-1,1.0
1,15:12:03.080273,15:12:12.216231,-1,1.0
1,15:12:03.080273,15:12:12.653153,-1,1.0
2,15:12:12.675390,15:12:14.266494,1,1.0
2,15:12:12.675390,15:12:14.855020,1,1.0
2,15:12:12.675390,15:12:16.627779,-1,1.0
2,15:12:12.675390,15:12:17.356499,1,1.0
2,15:12:12.675390,15:12:18.609820,1,1.0
2,15:12:12.675390,15:12:19.330712,1,1.0
2,15:12:12.675390,15:12:19.819036,1,1.0
2,15:12:12.675390,15:12:20.659240,-1,1.0
2,15:12:12.675390,15:12:21.459072,1,1.0
3,15:12:21.482134,15:12:24.238618,1,1.0
3,15:12:21.482134,15:12:25.017885,1,1.0
3,15:12:21.482134,15:12:25.894288,1,1.0
3,15:12:21.482134,15:12:26.587179,-1,1.0
3,15:12:21.482134,15:12:27.357756,1,1.0
3,15:12:21.482134,15:12:28.442513,1,1.0
3,15:12:21.482134,15:12:29.559287,-1,1.0
4,15:12:29.589933,15:12:31.425750,1,1.0
4,15:12:29.589933,15:12:32.526886,1,1.0
4,15:12:29.589933,15:12:33.212304,-1,1.0
4,15:12:29.589933,15:12:34.045245,-1,1.0
4,15:12:29.589933,15:12:34.730580,1,1.0
4,15:12:29.589933,15:12:35.649104,1,1.0
4,15:12:29.589933,15:12:36.774633,1,1.0
4,15:12:29.589933,15:12:37.646873,1,1.0
4,15:12:29.589933,15:12:38.378020,1,1.0
