Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:55:16.729300,16:55:21.987828,1,-1.0
1,16:55:16.729300,16:55:22.063902,-1,-1.0
1,16:55:16.729300,16:55:22.137591,-1,-1.0
1,16:55:16.729300,16:55:22.216053,-1,-1.0
1,16:55:16.729300,16:55:22.300062,-1,-1.0
1,16:55:16.729300,16:55:22.377241,-1,-1.0
1,16:55:16.729300,16:55:22.451623,-1,-1.0
1,16:55:16.729300,16:55:22.530778,-1,-1.0
1,16:55:16.729300,16:55:22.607386,-1,-1.0
1,16:55:16.729300,16:55:22.681112,-1,-1.0
1,16:55:16.729300,16:55:22.756077,-1,-1.0
1,16:55:16.729300,16:55:22.840788,-1,-1.0
1,16:55:16.729300,16:55:22.914288,-1,-1.0
1,16:55:16.729300,16:55:22.989678,-1,-1.0
1,16:55:16.729300,16:55:23.067445,-1,-1.0
1,16:55:16.729300,16:55:23.143715,-1,-1.0
1,16:55:16.729300,16:55:23.215376,-1,-1.0
1,16:55:16.729300,16:55:23.290245,-1,-1.0
1,16:55:16.729300,16:55:23.369236,-1,-1.0
1,16:55:16.729300,16:55:23.442301,-1,-1.0
1,16:55:16.729300,16:55:23.515158,-1,-1.0
1,16:55:16.729300,16:55:23.589397,-1,-1.0
1,16:55:16.729300,16:55:23.662492,-1,-1.0
1,16:55:16.729300,16:55:23.734783,-1,-1.0
1,16:55:16.729300,16:55:23.813919,-1,-1.0
1,16:55:16.729300,16:55:23.887429,-1,-1.0
1,16:55:16.729300,16:55:23.964210,1,-1.0
1,16:55:16.729300,16:55:24.039141,1,-1.0
1,16:55:16.729300,16:55:24.118212,1,-1.0
1,16:55:16.729300,16:55:24.192521,1,-1.0
1,16:55:16.729300,16:55:24.268277,1,-1.0
1,16:55:16.729300,16:55:24.345442,1,-1.0
1,16:55:16.729300,16:55:24.420449,1,-1.0
1,16:55:16.729300,16:55:24.505651,1,-1.0
1,16:55:16.729300,16:55:24.584726,1,-1.0
1,16:55:16.729300,16:55:24.657926,-1,-1.0
1,16:55:16.729300,16:55:24.733892,-1,-1.0
1,16:55:16.729300,16:55:24.813651,-1,-1.0
1,16:55:16.729300,16:55:24.903480,-1,-1.0
1,16:55:16.729300,16:55:24.981506,-1,-1.0
1,16:55:16.729300,16:55:25.057269,-1,-1.0
1,16:55:16.729300,16:55:25.139390,-1,-1.0
1,16:55:16.729300,16:55:25.223272,-1,-1.0
1,16:55:16.729300,16:55:25.301011,-1,-1.0
1,16:55:16.729300,16:55:25.381599,-1,-1.0
1,16:55:16.729300,16:55:25.452797,-1,-1.0
1,16:55:16.729300,16:55:25.527444,-1,-1.0
1,16:55:16.729300,16:55:25.598236,1,-1.0
1,16:55:16.729300,16:55:25.676023,-1,-1.0
1,16:55:16.729300,16:55:25.764014,1,-1.0
1,16:55:16.729300,16:55:25.834603,-1,-1.0
1,16:55:16.729300,16:55:25.906526,-1,-1.0
1,16:55:16.729300,16:55:25.983435,-1,-1.0
1,16:55:16.729300,16:55:26.056739,-1,-1.0
1,16:55:16.729300,16:55:26.132608,-1,-1.0
1,16:55:16.729300,16:55:26.218001,-1,-1.0
1,16:55:16.729300,16:55:26.297485,-1,-1.0
1,16:55:16.729300,16:55:26.371389,-1,-1.0
1,16:55:16.729300,16:55:26.449876,-1,-1.0
1,16:55:16.729300,16:55:26.524513,-1,-1.0
1,16:55:16.729300,16:55:26.602412,-1,-1.0
1,16:55:16.729300,16:55:26.681124,-1,-1.0
1,16:55:16.729300,16:55:26.759692,-1,-1.0
1,16:55:16.729300,16:55:26.832505,-1,-1.0
1,16:55:16.729300,16:55:26.907222,1,-1.0
1,16:55:16.729300,16:55:26.977679,1,-1.0
1,16:55:16.729300,16:55:27.053079,1,-1.0
1,16:55:16.729300,16:55:27.139382,1,-1.0
1,16:55:16.729300,16:55:27.213703,1,-1.0
1,16:55:16.729300,16:55:27.286878,1,-1.0
1,16:55:16.729300,16:55:27.364628,1,-1.0
1,16:55:16.729300,16:55:27.439438,1,-1.0
1,16:55:16.729300,16:55:27.519054,1,-1.0
1,16:55:16.729300,16:55:27.592019,1,-1.0
1,16:55:16.729300,16:55:27.669656,1,-1.0
