Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,17:39:33.668752,17:39:36.420739,-1,1.0
1,17:39:33.668752,17:39:36.957933,-1,1.0
1,17:39:33.668752,17:39:37.708909,-1,1.0
1,17:39:33.668752,17:39:38.119945,-1,1.0
1,17:39:33.668752,17:39:38.474120,-1,1.0
1,17:39:33.668752,17:39:38.902750,-1,1.0
1,17:39:33.668752,17:39:39.243091,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,17:39:39.264260,17:39:40.790615,-1,1.0
2,17:39:39.264260,17:39:42.010591,-1,1.0
2,17:39:39.264260,17:39:43.390066,-1,1.0
2,17:39:39.264260,17:39:45.380784,1,1.0
2,17:39:39.264260,17:39:46.690925,-1,1.0
2,17:39:39.264260,17:39:47.427772,-1,1.0
2,17:39:39.264260,17:39:47.800476,-1,1.0
2,17:39:39.264260,17:39:48.094851,-1,1.0
2,17:39:39.264260,17:39:48.437131,-1,1.0
2,17:39:39.264260,17:39:48.764007,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,17:39:48.784412,17:39:50.428821,-1,1.0
3,17:39:48.784412,17:39:52.600289,1,1.0
3,17:39:48.784412,17:39:56.086788,-1,1.0
3,17:39:48.784412,17:39:56.519549,-1,1.0
3,17:39:48.784412,17:39:56.855896,-1,1.0
3,17:39:48.784412,17:39:57.226949,-1,1.0
3,17:39:48.784412,17:39:57.687218,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,17:39:57.705641,17:40:00.810471,-1,1.0
4,17:39:57.705641,17:40:01.075131,-1,1.0
4,17:39:57.705641,17:40:01.315750,-1,1.0
4,17:39:57.705641,17:40:01.519812,-1,1.0
4,17:39:57.705641,17:40:01.807349,-1,1.0
4,17:39:57.705641,17:40:02.118059,-1,1.0
4,17:39:57.705641,17:40:02.402790,-1,1.0
4,17:39:57.705641,17:40:02.746859,-1,1.0
4,17:39:57.705641,17:40:03.116378,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,17:40:03.138960,17:40:05.517509,-1,1.0
5,17:40:03.138960,17:40:05.882193,-1,1.0
5,17:40:03.138960,17:40:06.136262,-1,1.0
5,17:40:03.138960,17:40:06.602131,-1,1.0
5,17:40:03.138960,17:40:06.773362,-1,1.0
5,17:40:03.138960,17:40:07.112038,-1,1.0
5,17:40:03.138960,17:40:07.392199,-1,1.0
