Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:03:52.865005,12:04:03.872236,1,-1.0
1,12:03:52.865005,12:04:04.685798,-1,-1.0
1,12:03:52.865005,12:04:06.450855,-1,-1.0
1,12:03:52.865005,12:04:07.503139,1,-1.0
1,12:03:52.865005,12:04:08.179917,1,-1.0
1,12:03:52.865005,12:04:09.475964,1,-1.0
1,12:03:52.865005,12:04:10.286088,1,-1.0
1,12:03:52.865005,12:04:10.799047,1,-1.0
1,12:03:52.865005,12:04:11.378008,1,-1.0
1,12:03:52.865005,12:04:11.962637,1,-1.0
1,12:03:52.865005,12:04:12.384933,1,-1.0
1,12:03:52.865005,12:04:12.755725,1,-1.0
1,12:03:52.865005,12:04:13.217002,1,-1.0
1,12:03:52.865005,12:04:13.601210,1,-1.0
1,12:03:52.865005,12:04:13.957978,1,-1.0
1,12:03:52.865005,12:04:14.281170,1,-1.0
1,12:03:52.865005,12:04:14.595818,1,-1.0
1,12:03:52.865005,12:04:14.935809,1,-1.0
1,12:03:52.865005,12:04:15.244127,1,-1.0
1,12:03:52.865005,12:04:15.575825,1,-1.0
1,12:03:52.865005,12:04:15.891267,1,-1.0
1,12:03:52.865005,12:04:16.160242,1,-1.0
1,12:03:52.865005,12:04:16.385912,1,-1.0
1,12:03:52.865005,12:04:16.642208,1,-1.0
1,12:03:52.865005,12:04:16.972269,1,-1.0
1,12:03:52.865005,12:04:17.250030,1,-1.0
1,12:03:52.865005,12:04:17.531985,1,-1.0
1,12:03:52.865005,12:04:17.832372,1,-1.0
1,12:03:52.865005,12:04:18.097569,1,-1.0
1,12:03:52.865005,12:04:18.380519,1,-1.0
1,12:03:52.865005,12:04:18.709292,1,-1.0
1,12:03:52.865005,12:04:19.011667,1,-1.0
1,12:03:52.865005,12:04:19.426027,1,-1.0
1,12:03:52.865005,12:04:19.683117,1,-1.0
1,12:03:52.865005,12:04:19.962978,1,-1.0
1,12:03:52.865005,12:04:20.239624,1,-1.0
