Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,18:07:52.994261,18:08:02.358908,-1,-1.0
1,18:07:52.994261,18:08:02.528214,-1,-1.0
1,18:07:52.994261,18:08:04.550833,-1,-1.0
1,18:07:52.994261,18:08:04.664391,-1,-1.0
1,18:07:52.994261,18:08:04.776227,-1,-1.0
1,18:07:52.994261,18:08:04.871401,-1,-1.0
1,18:07:52.994261,18:08:04.973266,-1,-1.0
1,18:07:52.994261,18:08:08.096174,1,-1.0
1,18:07:52.994261,18:08:08.190361,1,-1.0
1,18:07:52.994261,18:08:08.319616,1,-1.0
1,18:07:52.994261,18:08:08.436033,1,-1.0
1,18:07:52.994261,18:08:08.530929,1,-1.0
1,18:07:52.994261,18:08:10.179079,-1,-1.0
1,18:07:52.994261,18:08:10.276568,-1,-1.0
1,18:07:52.994261,18:08:10.375045,-1,-1.0
1,18:07:52.994261,18:08:10.464989,-1,-1.0
1,18:07:52.994261,18:08:10.620417,1,-1.0
1,18:07:52.994261,18:08:13.098635,1,-1.0
1,18:07:52.994261,18:08:13.214992,1,-1.0
1,18:07:52.994261,18:08:13.328618,1,-1.0
1,18:07:52.994261,18:08:13.430782,1,-1.0
1,18:07:52.994261,18:08:13.530021,1,-1.0
1,18:07:52.994261,18:08:14.999829,-1,-1.0
1,18:07:52.994261,18:08:15.103992,-1,-1.0
1,18:07:52.994261,18:08:15.207347,-1,-1.0
1,18:07:52.994261,18:08:15.309930,-1,-1.0
1,18:07:52.994261,18:08:15.412458,-1,-1.0
1,18:07:52.994261,18:08:15.524838,1,-1.0
1,18:07:52.994261,18:08:15.635038,1,-1.0
1,18:07:52.994261,18:08:15.994278,1,-1.0
1,18:07:52.994261,18:08:17.068555,-1,-1.0
1,18:07:52.994261,18:08:17.181603,-1,-1.0
1,18:07:52.994261,18:08:17.299700,-1,-1.0
1,18:07:52.994261,18:08:17.414523,-1,-1.0
1,18:07:52.994261,18:08:17.516429,1,-1.0
1,18:07:52.994261,18:08:19.618544,1,-1.0
1,18:07:52.994261,18:08:19.734412,1,-1.0
1,18:07:52.994261,18:08:19.843193,1,-1.0
1,18:07:52.994261,18:08:19.956032,1,-1.0
1,18:07:52.994261,18:08:20.055106,1,-1.0
1,18:07:52.994261,18:08:20.154517,1,-1.0
1,18:07:52.994261,18:08:21.024039,-1,-1.0
1,18:07:52.994261,18:08:21.111121,-1,-1.0
1,18:07:52.994261,18:08:21.218492,-1,-1.0
1,18:07:52.994261,18:08:21.327847,-1,-1.0
1,18:07:52.994261,18:08:21.445079,-1,-1.0
1,18:07:52.994261,18:08:21.726807,1,-1.0
1,18:07:52.994261,18:08:21.825307,1,-1.0
1,18:07:52.994261,18:08:22.985329,1,-1.0
1,18:07:52.994261,18:08:23.093676,1,-1.0
1,18:07:52.994261,18:08:23.193073,1,-1.0
1,18:07:52.994261,18:08:24.377649,-1,-1.0
1,18:07:52.994261,18:08:24.489742,-1,-1.0
1,18:07:52.994261,18:08:24.597428,-1,-1.0
1,18:07:52.994261,18:08:24.696459,-1,-1.0
1,18:07:52.994261,18:08:26.207340,1,-1.0
1,18:07:52.994261,18:08:26.313851,1,-1.0
1,18:07:52.994261,18:08:26.418595,1,-1.0
1,18:07:52.994261,18:08:26.515424,1,-1.0
1,18:07:52.994261,18:08:26.613206,-1,-1.0
1,18:07:52.994261,18:08:28.192284,-1,-1.0
1,18:07:52.994261,18:08:28.292568,-1,-1.0
1,18:07:52.994261,18:08:28.379350,-1,-1.0
1,18:07:52.994261,18:08:28.481478,-1,-1.0
1,18:07:52.994261,18:08:28.576341,1,-1.0
1,18:07:52.994261,18:08:29.382546,1,-1.0
1,18:07:52.994261,18:08:29.490128,1,-1.0
1,18:07:52.994261,18:08:29.601347,1,-1.0
1,18:07:52.994261,18:08:29.720619,1,-1.0
1,18:07:52.994261,18:08:30.122345,1,-1.0
1,18:07:52.994261,18:08:30.486046,-1,-1.0
1,18:07:52.994261,18:08:37.997726,1,-1.0
1,18:07:52.994261,18:08:38.099546,1,-1.0
1,18:07:52.994261,18:08:38.194090,1,-1.0
1,18:07:52.994261,18:08:38.283086,1,-1.0
1,18:07:52.994261,18:08:38.388994,1,-1.0
1,18:07:52.994261,18:08:39.302302,-1,-1.0
1,18:07:52.994261,18:08:39.426233,-1,-1.0
1,18:07:52.994261,18:08:39.542546,-1,-1.0
1,18:07:52.994261,18:08:39.676727,-1,-1.0
1,18:07:52.994261,18:08:39.773093,1,-1.0
1,18:07:52.994261,18:08:39.878327,1,-1.0
1,18:07:52.994261,18:08:40.428478,1,-1.0
1,18:07:52.994261,18:08:40.522164,1,-1.0
1,18:07:52.994261,18:08:40.619046,1,-1.0
1,18:07:52.994261,18:08:40.722359,1,-1.0
1,18:07:52.994261,18:08:40.807927,1,-1.0
1,18:07:52.994261,18:08:40.910439,1,-1.0
1,18:07:52.994261,18:08:41.010939,1,-1.0
1,18:07:52.994261,18:08:41.131900,-1,-1.0
1,18:07:52.994261,18:08:41.672795,-1,-1.0
