Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:58:15.056303,14:58:17.080979,-1,1.0
1,14:58:15.056303,14:58:17.636920,-1,1.0
1,14:58:15.056303,14:58:18.139354,-1,1.0
2,14:58:18.171569,14:58:20.934639,-1,1.0
2,14:58:18.171569,14:58:21.211728,-1,1.0
3,14:58:21.236967,14:58:22.825138,-1,1.0
3,14:58:21.236967,14:58:23.410892,-1,1.0
4,14:58:24.127566,14:58:25.422844,-1,1.0
4,14:58:24.127566,14:58:25.956752,1,1.0
4,14:58:24.127566,14:58:26.950933,1,1.0
4,14:58:24.127566,14:58:27.532594,1,1.0
4,14:58:24.127566,14:58:28.464973,1,1.0
4,14:58:24.127566,14:58:29.519042,1,1.0
4,14:58:24.127566,14:58:30.372658,-1,1.0
5,14:58:30.402699,14:58:32.362305,-1,1.0
5,14:58:30.402699,14:58:33.117010,-1,1.0
5,14:58:30.402699,14:58:33.868202,-1,1.0
6,14:58:33.897768,14:58:36.513796,-1,1.0
6,14:58:33.897768,14:58:36.792993,-1,1.0
6,14:58:33.897768,14:58:37.173065,-1,1.0
7,14:58:37.533047,14:58:38.949735,-1,1.0
7,14:58:37.533047,14:58:39.393961,-1,1.0
7,14:58:37.533047,14:58:40.035701,-1,1.0
7,14:58:37.533047,14:58:40.770949,-1,1.0
8,14:58:40.796579,14:58:42.460050,-1,1.0
8,14:58:40.796579,14:58:42.777650,-1,1.0
8,14:58:40.796579,14:58:43.203444,-1,1.0
8,14:58:40.796579,14:58:43.710500,-1,1.0
8,14:58:40.796579,14:58:44.321076,-1,1.0
9,14:58:44.351777,14:58:46.139666,-1,1.0
9,14:58:44.351777,14:58:46.573496,-1,1.0
9,14:58:44.351777,14:58:47.082839,-1,1.0
10,14:58:47.801123,14:58:49.474385,-1,1.0
10,14:58:47.801123,14:58:49.852666,-1,1.0
10,14:58:47.801123,14:58:50.527900,-1,1.0
