Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,18:09:26.389486,18:09:42.974366,-1,-1.0
1,18:09:26.389486,18:09:43.057652,-1,-1.0
1,18:09:26.389486,18:09:43.139004,-1,-1.0
1,18:09:26.389486,18:09:43.294773,-1,-1.0
1,18:09:26.389486,18:09:46.381518,-1,-1.0
1,18:09:26.389486,18:09:49.208667,-1,-1.0
1,18:09:26.389486,18:09:49.385698,-1,-1.0
1,18:09:26.389486,18:09:54.448471,-1,-1.0
1,18:09:26.389486,18:09:54.805066,-1,-1.0
1,18:09:26.389486,18:09:54.898479,1,-1.0
1,18:09:26.389486,18:09:57.156621,-1,-1.0
1,18:09:26.389486,18:09:57.260330,-1,-1.0
1,18:09:26.389486,18:09:57.365485,-1,-1.0
1,18:09:26.389486,18:09:57.463343,1,-1.0
1,18:09:26.389486,18:09:57.562668,1,-1.0
1,18:09:26.389486,18:10:02.159798,-1,-1.0
1,18:09:26.389486,18:10:03.950289,-1,-1.0
1,18:09:26.389486,18:10:04.074897,-1,-1.0
1,18:09:26.389486,18:10:09.212199,1,-1.0
1,18:09:26.389486,18:10:09.323102,-1,-1.0
1,18:09:26.389486,18:10:09.435696,-1,-1.0
1,18:09:26.389486,18:10:09.531124,-1,-1.0
1,18:09:26.389486,18:10:09.640855,-1,-1.0
1,18:09:26.389486,18:10:09.755920,-1,-1.0
1,18:09:26.389486,18:10:11.859595,-1,-1.0
1,18:09:26.389486,18:10:11.977265,-1,-1.0
1,18:09:26.389486,18:10:12.149115,-1,-1.0
1,18:09:26.389486,18:10:12.269398,-1,-1.0
1,18:09:26.389486,18:10:15.003581,-1,-1.0
1,18:09:26.389486,18:10:15.223832,-1,-1.0
1,18:09:26.389486,18:10:15.332865,-1,-1.0
1,18:09:26.389486,18:10:17.725439,1,-1.0
1,18:09:26.389486,18:10:17.829874,1,-1.0
1,18:09:26.389486,18:10:17.943356,1,-1.0
1,18:09:26.389486,18:10:18.041037,1,-1.0
1,18:09:26.389486,18:10:19.348618,-1,-1.0
1,18:09:26.389486,18:10:19.436908,-1,-1.0
1,18:09:26.389486,18:10:21.550900,-1,-1.0
1,18:09:26.389486,18:10:21.650774,-1,-1.0
1,18:09:26.389486,18:10:21.766715,-1,-1.0
1,18:09:26.389486,18:10:21.877039,-1,-1.0
1,18:09:26.389486,18:10:21.989230,-1,-1.0
1,18:09:26.389486,18:10:23.316875,1,-1.0
1,18:09:26.389486,18:10:23.421332,1,-1.0
1,18:09:26.389486,18:10:23.526522,1,-1.0
1,18:09:26.389486,18:10:23.635491,1,-1.0
1,18:09:26.389486,18:10:23.745897,1,-1.0
1,18:09:26.389486,18:10:27.056841,-1,-1.0
1,18:09:26.389486,18:10:27.190983,-1,-1.0
1,18:09:26.389486,18:10:27.313934,-1,-1.0
1,18:09:26.389486,18:10:27.420664,-1,-1.0
1,18:09:26.389486,18:10:27.517470,-1,-1.0
1,18:09:26.389486,18:10:30.845897,1,-1.0
1,18:09:26.389486,18:10:30.952408,1,-1.0
1,18:09:26.389486,18:10:31.049276,1,-1.0
1,18:09:26.389486,18:10:31.160060,1,-1.0
1,18:09:26.389486,18:10:31.252470,1,-1.0
1,18:09:26.389486,18:10:31.356850,1,-1.0
1,18:09:26.389486,18:10:31.484180,1,-1.0
1,18:09:26.389486,18:10:31.575454,1,-1.0
