Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:51:09.061073,16:51:15.545598,1,-1.0
1,16:51:09.061073,16:51:15.629208,1,-1.0
1,16:51:09.061073,16:51:15.702471,1,-1.0
1,16:51:09.061073,16:51:15.774481,1,-1.0
1,16:51:09.061073,16:51:15.855681,1,-1.0
1,16:51:09.061073,16:51:15.930547,1,-1.0
1,16:51:09.061073,16:51:16.009390,1,-1.0
1,16:51:09.061073,16:51:16.083731,1,-1.0
1,16:51:09.061073,16:51:16.161851,1,-1.0
1,16:51:09.061073,16:51:16.234629,1,-1.0
1,16:51:09.061073,16:51:16.310863,1,-1.0
1,16:51:09.061073,16:51:16.390651,1,-1.0
1,16:51:09.061073,16:51:16.471700,-1,-1.0
1,16:51:09.061073,16:51:16.550460,-1,-1.0
1,16:51:09.061073,16:51:16.628659,-1,-1.0
1,16:51:09.061073,16:51:16.704236,-1,-1.0
1,16:51:09.061073,16:51:16.782123,-1,-1.0
1,16:51:09.061073,16:51:16.848881,-1,-1.0
1,16:51:09.061073,16:51:16.924022,-1,-1.0
1,16:51:09.061073,16:51:16.998658,-1,-1.0
1,16:51:09.061073,16:51:17.072140,-1,-1.0
1,16:51:09.061073,16:51:17.152248,-1,-1.0
1,16:51:09.061073,16:51:17.229242,-1,-1.0
1,16:51:09.061073,16:51:17.304120,-1,-1.0
1,16:51:09.061073,16:51:17.378617,1,-1.0
1,16:51:09.061073,16:51:17.459133,-1,-1.0
1,16:51:09.061073,16:51:17.541970,1,-1.0
1,16:51:09.061073,16:51:17.614974,-1,-1.0
1,16:51:09.061073,16:51:17.682408,-1,-1.0
1,16:51:09.061073,16:51:17.759078,1,-1.0
1,16:51:09.061073,16:51:17.840409,1,-1.0
1,16:51:09.061073,16:51:17.917233,1,-1.0
1,16:51:09.061073,16:51:17.991832,1,-1.0
1,16:51:09.061073,16:51:18.068842,1,-1.0
1,16:51:09.061073,16:51:18.154680,1,-1.0
1,16:51:09.061073,16:51:18.233646,1,-1.0
1,16:51:09.061073,16:51:18.310004,1,-1.0
1,16:51:09.061073,16:51:18.384832,1,-1.0
1,16:51:09.061073,16:51:18.467209,1,-1.0
1,16:51:09.061073,16:51:18.548922,1,-1.0
1,16:51:09.061073,16:51:18.626092,1,-1.0
1,16:51:09.061073,16:51:18.701175,1,-1.0
1,16:51:09.061073,16:51:18.776392,1,-1.0
1,16:51:09.061073,16:51:18.850298,1,-1.0
1,16:51:09.061073,16:51:18.919065,1,-1.0
1,16:51:09.061073,16:51:18.994679,1,-1.0
1,16:51:09.061073,16:51:19.071238,1,-1.0
1,16:51:09.061073,16:51:19.148388,1,-1.0
1,16:51:09.061073,16:51:19.223811,1,-1.0
1,16:51:09.061073,16:51:19.299735,1,-1.0
1,16:51:09.061073,16:51:19.387048,1,-1.0
1,16:51:09.061073,16:51:19.469083,1,-1.0
1,16:51:09.061073,16:51:19.542102,1,-1.0
1,16:51:09.061073,16:51:19.622461,1,-1.0
1,16:51:09.061073,16:51:19.694612,1,-1.0
1,16:51:09.061073,16:51:19.766636,1,-1.0
1,16:51:09.061073,16:51:19.847320,1,-1.0
1,16:51:09.061073,16:51:19.914780,1,-1.0
1,16:51:09.061073,16:51:19.990043,1,-1.0
1,16:51:09.061073,16:51:20.068029,1,-1.0
1,16:51:09.061073,16:51:20.183477,1,-1.0
1,16:51:09.061073,16:51:20.251115,1,-1.0
1,16:51:09.061073,16:51:20.328104,1,-1.0
1,16:51:09.061073,16:51:20.408107,1,-1.0
1,16:51:09.061073,16:51:20.487094,-1,-1.0
1,16:51:09.061073,16:51:20.571770,-1,-1.0
1,16:51:09.061073,16:51:20.644654,-1,-1.0
1,16:51:09.061073,16:51:20.721949,1,-1.0
1,16:51:09.061073,16:51:20.800784,1,-1.0
1,16:51:09.061073,16:51:20.882060,1,-1.0
