Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:12:52.738632,15:12:54.476734,-1,1.0
1,15:12:52.738632,15:12:55.346174,1,1.0
1,15:12:52.738632,15:12:56.351509,1,1.0
1,15:12:52.738632,15:12:57.080586,1,1.0
1,15:12:52.738632,15:12:58.896193,1,1.0
1,15:12:52.738632,15:13:01.721243,-1,1.0
1,15:12:52.738632,15:13:02.457274,-1,1.0
1,15:12:52.738632,15:13:03.268328,1,1.0
1,15:12:52.738632,15:13:03.978338,1,1.0
1,15:12:52.738632,15:13:04.845006,1,1.0
1,15:12:52.738632,15:13:05.718450,1,1.0
2,15:13:05.742341,15:13:07.748974,1,1.0
2,15:13:05.742341,15:13:09.250599,1,1.0
2,15:13:05.742341,15:13:10.359156,1,1.0
2,15:13:05.742341,15:13:11.005446,1,1.0
2,15:13:05.742341,15:13:12.290559,1,1.0
2,15:13:05.742341,15:13:14.098652,-1,1.0
2,15:13:05.742341,15:13:15.408377,1,1.0
2,15:13:05.742341,15:13:16.213642,1,1.0
2,15:13:05.742341,15:13:17.305347,1,1.0
2,15:13:05.742341,15:13:18.278864,-1,1.0
2,15:13:05.742341,15:13:19.005500,1,1.0
2,15:13:05.742341,15:13:19.888221,1,1.0
2,15:13:05.742341,15:13:20.764950,1,1.0
2,15:13:05.742341,15:13:21.678565,1,1.0
2,15:13:05.742341,15:13:22.547461,1,1.0
2,15:13:05.742341,15:13:23.272626,1,1.0
2,15:13:05.742341,15:13:24.098222,1,1.0
2,15:13:05.742341,15:13:24.823574,1,1.0
2,15:13:05.742341,15:13:25.600737,1,1.0
2,15:13:05.742341,15:13:26.485366,1,1.0
2,15:13:05.742341,15:13:27.420881,1,1.0
2,15:13:05.742341,15:13:28.331241,1,1.0
2,15:13:05.742341,15:13:29.801696,-1,1.0
2,15:13:05.742341,15:13:30.725844,-1,1.0
2,15:13:05.742341,15:13:31.320884,-1,1.0
2,15:13:05.742341,15:13:31.819998,-1,1.0
2,15:13:05.742341,15:13:32.286638,-1,1.0
3,15:13:32.313648,15:13:33.668655,-1,1.0
3,15:13:32.313648,15:13:34.432744,1,1.0
3,15:13:32.313648,15:13:35.237407,1,1.0
3,15:13:32.313648,15:13:36.077729,1,1.0
3,15:13:32.313648,15:13:38.290097,-1,1.0
3,15:13:32.313648,15:13:39.389853,1,1.0
3,15:13:32.313648,15:13:40.238681,1,1.0
3,15:13:32.313648,15:13:41.401053,1,1.0
3,15:13:32.313648,15:13:42.831466,1,1.0
3,15:13:32.313648,15:13:44.847363,-1,1.0
3,15:13:32.313648,15:13:45.645879,1,1.0
3,15:13:32.313648,15:13:46.616172,1,1.0
3,15:13:32.313648,15:13:47.840562,1,1.0
3,15:13:32.313648,15:13:48.775407,1,1.0
3,15:13:32.313648,15:13:49.575308,1,1.0
3,15:13:32.313648,15:13:50.614658,1,1.0
3,15:13:32.313648,15:13:51.185613,-1,1.0
3,15:13:32.313648,15:13:52.315650,-1,1.0
3,15:13:32.313648,15:13:53.095684,-1,1.0
3,15:13:32.313648,15:13:53.690604,-1,1.0
3,15:13:32.313648,15:13:54.928376,-1,1.0
3,15:13:32.313648,15:13:55.456060,-1,1.0
4,15:13:55.482567,15:13:57.281067,1,1.0
4,15:13:55.482567,15:13:59.591383,-1,1.0
