Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,18:49:02.231430,18:49:03.683590,-1,1.0
1,18:49:02.231430,18:49:04.457437,-1,1.0
1,18:49:02.231430,18:49:06.155821,1,1.0
1,18:49:02.231430,18:49:07.221495,1,1.0
1,18:49:02.231430,18:49:08.021833,-1,1.0
1,18:49:02.231430,18:49:09.489305,1,1.0
1,18:49:02.231430,18:49:10.568937,1,1.0
1,18:49:02.231430,18:49:11.867499,1,1.0
1,18:49:02.231430,18:49:13.290922,-1,1.0
1,18:49:02.231430,18:49:14.488420,1,1.0
1,18:49:02.231430,18:49:15.422993,1,1.0
1,18:49:02.231430,18:49:17.546249,1,1.0
1,18:49:02.231430,18:49:18.151441,-1,1.0
1,18:49:02.231430,18:49:18.993378,-1,1.0
1,18:49:02.231430,18:49:19.550400,-1,1.0
1,18:49:02.231430,18:49:20.605253,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,18:49:20.621853,18:49:22.590139,1,1.0
2,18:49:20.621853,18:49:23.633148,1,1.0
2,18:49:20.621853,18:49:24.498640,1,1.0
2,18:49:20.621853,18:49:25.788765,-1,1.0
2,18:49:20.621853,18:49:26.758706,-1,1.0
2,18:49:20.621853,18:49:27.312817,-1,1.0
2,18:49:20.621853,18:49:27.731395,-1,1.0
2,18:49:20.621853,18:49:28.441893,-1,1.0
2,18:49:20.621853,18:49:29.073982,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,18:49:29.094715,18:49:30.411452,1,1.0
3,18:49:29.094715,18:49:31.185235,1,1.0
3,18:49:29.094715,18:49:32.045401,1,1.0
3,18:49:29.094715,18:49:32.776931,1,1.0
3,18:49:29.094715,18:49:33.616585,1,1.0
3,18:49:29.094715,18:49:34.548407,-1,1.0
3,18:49:29.094715,18:49:35.129318,-1,1.0
3,18:49:29.094715,18:49:35.673103,-1,1.0
3,18:49:29.094715,18:49:36.416017,-1,1.0
3,18:49:29.094715,18:49:37.019213,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,18:49:37.043829,18:49:38.409171,1,1.0
4,18:49:37.043829,18:49:39.067822,1,1.0
4,18:49:37.043829,18:49:39.637453,1,1.0
4,18:49:37.043829,18:49:40.398594,1,1.0
4,18:49:37.043829,18:49:40.869303,-1,1.0
4,18:49:37.043829,18:49:41.373371,-1,1.0
4,18:49:37.043829,18:49:41.958550,-1,1.0
4,18:49:37.043829,18:49:42.611217,-1,1.0
4,18:49:37.043829,18:49:43.147919,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,18:49:43.170787,18:49:46.318141,1,1.0
5,18:49:43.170787,18:49:47.280602,1,1.0
5,18:49:43.170787,18:49:47.905191,1,1.0
5,18:49:43.170787,18:49:48.574804,1,1.0
5,18:49:43.170787,18:49:49.197720,1,1.0
