Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,18:59:26.534432,18:59:34.088097,-1,1.0
1,18:59:26.534432,18:59:34.499061,-1,1.0
1,18:59:26.534432,18:59:34.869953,1,1.0
2,18:59:36.961363,18:59:43.364107,1,1.0
2,18:59:36.961363,18:59:43.428501,1,1.0
2,18:59:36.961363,18:59:44.813002,1,1.0
3,18:59:44.824919,18:59:44.893307,1,1.0
3,18:59:44.824919,18:59:44.957925,-1,1.0
3,18:59:44.824919,18:59:51.631341,-1,1.0
3,18:59:44.824919,18:59:51.730027,-1,1.0
4,18:59:51.746002,18:59:56.703341,1,1.0
4,18:59:51.746002,18:59:56.766754,1,1.0
4,18:59:51.746002,18:59:56.832817,1,1.0
4,18:59:51.746002,18:59:56.900104,1,1.0
4,18:59:51.746002,18:59:56.966883,1,1.0
4,18:59:51.746002,18:59:57.033327,1,1.0
5,18:59:57.048212,18:59:57.116102,1,1.0
5,18:59:57.048212,19:00:02.663443,1,1.0
5,18:59:57.048212,19:00:02.727510,1,1.0
5,18:59:57.048212,19:00:02.797530,1,1.0
