Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,17:03:38.812904,17:03:51.816406,1,-1.0
1,17:03:38.812904,17:03:51.890727,1,-1.0
1,17:03:38.812904,17:03:51.965270,1,-1.0
1,17:03:38.812904,17:03:52.234091,1,-1.0
1,17:03:38.812904,17:03:52.305288,1,-1.0
1,17:03:38.812904,17:03:52.384241,1,-1.0
1,17:03:38.812904,17:03:52.470759,1,-1.0
1,17:03:38.812904,17:03:52.543883,1,-1.0
1,17:03:38.812904,17:03:52.618123,1,-1.0
1,17:03:38.812904,17:03:52.690798,1,-1.0
1,17:03:38.812904,17:03:52.764370,1,-1.0
1,17:03:38.812904,17:03:52.839122,1,-1.0
1,17:03:38.812904,17:03:52.907965,1,-1.0
1,17:03:38.812904,17:03:52.983532,1,-1.0
1,17:03:38.812904,17:03:53.056474,1,-1.0
1,17:03:38.812904,17:03:53.129180,1,-1.0
1,17:03:38.812904,17:03:53.209362,1,-1.0
1,17:03:38.812904,17:03:53.358046,1,-1.0
1,17:03:38.812904,17:03:53.430894,1,-1.0
1,17:03:38.812904,17:03:53.509555,1,-1.0
1,17:03:38.812904,17:03:53.580422,1,-1.0
1,17:03:38.812904,17:03:53.652354,1,-1.0
1,17:03:38.812904,17:03:53.723857,1,-1.0
1,17:03:38.812904,17:03:53.796194,1,-1.0
1,17:03:38.812904,17:03:53.955802,1,-1.0
1,17:03:38.812904,17:03:54.153486,1,-1.0
1,17:03:38.812904,17:03:54.231833,1,-1.0
1,17:03:38.812904,17:03:54.378004,1,-1.0
1,17:03:38.812904,17:03:54.448911,1,-1.0
1,17:03:38.812904,17:03:54.519997,1,-1.0
1,17:03:38.812904,17:03:54.813814,1,-1.0
1,17:03:38.812904,17:03:55.291695,1,-1.0
1,17:03:38.812904,17:03:55.367301,1,-1.0
1,17:03:38.812904,17:03:55.453368,1,-1.0
1,17:03:38.812904,17:03:55.531575,1,-1.0
1,17:03:38.812904,17:03:55.616585,1,-1.0
1,17:03:38.812904,17:03:55.693707,1,-1.0
1,17:03:38.812904,17:03:55.773065,1,-1.0
1,17:03:38.812904,17:03:55.888953,1,-1.0
1,17:03:38.812904,17:03:55.958591,1,-1.0
1,17:03:38.812904,17:03:56.046382,1,-1.0
1,17:03:38.812904,17:03:56.145251,1,-1.0
1,17:03:38.812904,17:03:56.220264,1,-1.0
1,17:03:38.812904,17:03:56.297420,1,-1.0
1,17:03:38.812904,17:03:56.372728,1,-1.0
1,17:03:38.812904,17:03:56.445962,1,-1.0
1,17:03:38.812904,17:03:56.518897,1,-1.0
1,17:03:38.812904,17:03:56.596639,1,-1.0
1,17:03:38.812904,17:03:56.668881,1,-1.0
1,17:03:38.812904,17:03:56.739857,1,-1.0
1,17:03:38.812904,17:03:56.813618,1,-1.0
1,17:03:38.812904,17:03:56.898677,1,-1.0
1,17:03:38.812904,17:03:56.973422,1,-1.0
1,17:03:38.812904,17:03:57.044490,1,-1.0
1,17:03:38.812904,17:03:57.119741,1,-1.0
1,17:03:38.812904,17:03:57.192433,1,-1.0
1,17:03:38.812904,17:03:57.272528,1,-1.0
1,17:03:38.812904,17:03:57.346756,1,-1.0
1,17:03:38.812904,17:03:57.427656,1,-1.0
1,17:03:38.812904,17:03:57.499150,1,-1.0
1,17:03:38.812904,17:03:57.582656,1,-1.0
1,17:03:38.812904,17:03:57.663681,1,-1.0
1,17:03:38.812904,17:03:57.741775,1,-1.0
1,17:03:38.812904,17:03:57.822799,1,-1.0
1,17:03:38.812904,17:03:57.900915,1,-1.0
1,17:03:38.812904,17:03:59.818058,1,-1.0
1,17:03:38.812904,17:03:59.886421,1,-1.0
1,17:03:38.812904,17:04:01.083389,1,-1.0
1,17:03:38.812904,17:04:01.877975,1,-1.0
1,17:03:38.812904,17:04:01.950005,1,-1.0
1,17:03:38.812904,17:04:06.649579,1,-1.0
1,17:03:38.812904,17:04:06.871822,1,-1.0
