Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:59:39.208173,14:59:42.321833,-1,1.0
1,14:59:39.208173,14:59:43.191728,-1,1.0
1,14:59:39.208173,14:59:44.132833,-1,1.0
1,14:59:39.208173,14:59:45.114369,-1,1.0
1,14:59:39.208173,14:59:46.385164,-1,1.0
1,14:59:39.208173,14:59:47.610254,-1,1.0
1,14:59:39.208173,14:59:48.388462,-1,1.0
1,14:59:39.208173,14:59:49.350763,-1,1.0
1,14:59:39.208173,14:59:49.918639,-1,1.0
2,14:59:49.940186,14:59:56.617199,-1,1.0
2,14:59:49.940186,14:59:57.707352,1,1.0
3,14:59:57.729130,15:00:06.687625,1,1.0
3,14:59:57.729130,15:00:07.489363,1,1.0
3,14:59:57.729130,15:00:08.074863,1,1.0
3,14:59:57.729130,15:00:08.783675,1,1.0
3,14:59:57.729130,15:00:11.520311,1,1.0
3,14:59:57.729130,15:00:14.247227,-1,1.0
3,14:59:57.729130,15:00:15.017585,-1,1.0
3,14:59:57.729130,15:00:15.504741,-1,1.0
3,14:59:57.729130,15:00:16.095403,-1,1.0
4,15:00:16.120320,15:00:20.979355,-1,1.0
4,15:00:16.120320,15:00:21.586531,-1,1.0
4,15:00:16.120320,15:00:22.005253,-1,1.0
4,15:00:16.120320,15:00:22.715197,-1,1.0
4,15:00:16.120320,15:00:23.285942,-1,1.0
4,15:00:16.120320,15:00:24.714640,-1,1.0
4,15:00:16.120320,15:00:25.339936,-1,1.0
5,15:00:25.371168,15:00:29.908792,-1,1.0
5,15:00:25.371168,15:00:30.430400,-1,1.0
5,15:00:25.371168,15:00:30.947617,-1,1.0
5,15:00:25.371168,15:00:32.326484,-1,1.0
5,15:00:25.371168,15:00:32.853061,-1,1.0
5,15:00:25.371168,15:00:33.352615,-1,1.0
5,15:00:25.371168,15:00:33.851140,-1,1.0
5,15:00:25.371168,15:00:34.391807,-1,1.0
6,15:00:34.416257,15:00:35.517149,-1,1.0
6,15:00:34.416257,15:00:37.061308,-1,1.0
6,15:00:34.416257,15:00:38.234919,-1,1.0
6,15:00:34.416257,15:00:38.737271,-1,1.0
6,15:00:34.416257,15:00:41.090271,-1,1.0
6,15:00:34.416257,15:00:42.001930,-1,1.0
6,15:00:34.416257,15:00:43.976230,-1,1.0
6,15:00:34.416257,15:00:45.068660,-1,1.0
6,15:00:34.416257,15:00:46.426023,-1,1.0
6,15:00:34.416257,15:00:47.432670,-1,1.0
6,15:00:34.416257,15:00:48.875990,-1,1.0
6,15:00:34.416257,15:00:49.662069,-1,1.0
6,15:00:34.416257,15:00:50.460906,-1,1.0
6,15:00:34.416257,15:00:51.244633,-1,1.0
6,15:00:34.416257,15:00:51.949920,-1,1.0
6,15:00:34.416257,15:00:52.481268,-1,1.0
6,15:00:34.416257,15:00:53.134392,-1,1.0
6,15:00:34.416257,15:00:53.660485,-1,1.0
6,15:00:34.416257,15:00:54.364971,-1,1.0
6,15:00:34.416257,15:00:55.008413,-1,1.0
6,15:00:34.416257,15:00:55.569285,-1,1.0
6,15:00:34.416257,15:00:56.124042,-1,1.0
6,15:00:34.416257,15:00:56.562241,-1,1.0
6,15:00:34.416257,15:00:57.071746,-1,1.0
6,15:00:34.416257,15:00:57.542971,-1,1.0
6,15:00:34.416257,15:00:58.273996,-1,1.0
6,15:00:34.416257,15:00:59.012822,-1,1.0
6,15:00:34.416257,15:00:59.573845,-1,1.0
6,15:00:34.416257,15:01:00.078369,-1,1.0
6,15:00:34.416257,15:01:00.714904,-1,1.0
6,15:00:34.416257,15:01:01.277475,-1,1.0
6,15:00:34.416257,15:01:01.816140,-1,1.0
6,15:00:34.416257,15:01:02.345086,-1,1.0
6,15:00:34.416257,15:01:02.806251,-1,1.0
6,15:00:34.416257,15:01:03.291888,-1,1.0
6,15:00:34.416257,15:01:03.728685,-1,1.0
7,15:01:03.750526,15:01:09.651135,-1,1.0
7,15:01:03.750526,15:01:11.771542,-1,1.0
7,15:01:03.750526,15:01:12.739640,-1,1.0
7,15:01:03.750526,15:01:14.462865,-1,1.0
7,15:01:03.750526,15:01:15.353077,-1,1.0
7,15:01:03.750526,15:01:15.915083,-1,1.0
7,15:01:03.750526,15:01:16.494548,-1,1.0
7,15:01:03.750526,15:01:16.942893,-1,1.0
7,15:01:03.750526,15:01:17.353870,-1,1.0
7,15:01:03.750526,15:01:17.696738,-1,1.0
7,15:01:03.750526,15:01:18.069804,-1,1.0
7,15:01:03.750526,15:01:18.397253,-1,1.0
7,15:01:03.750526,15:01:18.781898,-1,1.0
8,15:01:18.809393,15:01:23.145608,1,1.0
8,15:01:18.809393,15:01:23.841505,1,1.0
8,15:01:18.809393,15:01:26.580428,-1,1.0
8,15:01:18.809393,15:01:27.589655,1,1.0
8,15:01:18.809393,15:01:29.033432,-1,1.0
8,15:01:18.809393,15:01:29.459250,-1,1.0
8,15:01:18.809393,15:01:30.290701,-1,1.0
8,15:01:18.809393,15:01:31.040519,-1,1.0
8,15:01:18.809393,15:01:31.864673,-1,1.0
