Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:13:56.383920,11:13:59.409293,1,-1.0
1,11:13:56.383920,11:13:59.686528,1,-1.0
1,11:13:56.383920,11:13:59.905400,1,-1.0
1,11:13:56.383920,11:14:00.152281,1,-1.0
1,11:13:56.383920,11:14:00.381151,1,-1.0
1,11:13:56.383920,11:14:00.556257,1,-1.0
1,11:13:56.383920,11:14:00.783131,1,-1.0
1,11:13:56.383920,11:14:01.027500,1,-1.0
1,11:13:56.383920,11:14:01.286613,1,-1.0
1,11:13:56.383920,11:14:01.557105,1,-1.0
1,11:13:56.383920,11:14:01.821442,1,-1.0
1,11:13:56.383920,11:14:02.370439,1,-1.0
1,11:13:56.383920,11:14:02.819420,1,-1.0
1,11:13:56.383920,11:14:03.266097,1,-1.0
1,11:13:56.383920,11:14:03.683172,1,-1.0
1,11:13:56.383920,11:14:04.108558,1,-1.0
1,11:13:56.383920,11:14:04.518696,1,-1.0
1,11:13:56.383920,11:14:04.948663,1,-1.0
1,11:13:56.383920,11:14:05.369920,1,-1.0
1,11:13:56.383920,11:14:05.806568,1,-1.0
1,11:13:56.383920,11:14:06.223846,1,-1.0
1,11:13:56.383920,11:14:06.649295,1,-1.0
1,11:13:56.383920,11:14:07.223077,1,-1.0
1,11:13:56.383920,11:14:07.677717,-1,-1.0
1,11:13:56.383920,11:14:07.983011,-1,-1.0
1,11:13:56.383920,11:14:08.285513,-1,-1.0
1,11:13:56.383920,11:14:08.611551,-1,-1.0
1,11:13:56.383920,11:14:08.950504,-1,-1.0
1,11:13:56.383920,11:14:09.256165,-1,-1.0
1,11:13:56.383920,11:14:09.565006,-1,-1.0
1,11:13:56.383920,11:14:10.074886,-1,-1.0
1,11:13:56.383920,11:14:10.524867,1,-1.0
1,11:13:56.383920,11:14:10.762379,1,-1.0
1,11:13:56.383920,11:14:10.958870,1,-1.0
1,11:13:56.383920,11:14:11.176258,1,-1.0
1,11:13:56.383920,11:14:11.727294,1,-1.0
1,11:13:56.383920,11:14:12.216095,1,-1.0
1,11:13:56.383920,11:14:12.606681,1,-1.0
1,11:13:56.383920,11:14:13.024708,1,-1.0
1,11:13:56.383920,11:14:13.695826,1,-1.0
1,11:13:56.383920,11:14:14.347716,1,-1.0
1,11:13:56.383920,11:14:14.768996,1,-1.0
1,11:13:56.383920,11:14:15.289372,1,-1.0
1,11:13:56.383920,11:14:15.866503,1,-1.0
1,11:13:56.383920,11:14:16.605832,1,-1.0
1,11:13:56.383920,11:14:17.242914,1,-1.0
1,11:13:56.383920,11:14:17.742764,1,-1.0
1,11:13:56.383920,11:14:18.197956,1,-1.0
1,11:13:56.383920,11:14:19.619761,1,-1.0
1,11:13:56.383920,11:14:20.203327,1,-1.0
1,11:13:56.383920,11:14:20.785292,1,-1.0
1,11:13:56.383920,11:14:21.447173,1,-1.0
1,11:13:56.383920,11:14:22.085636,1,-1.0
1,11:13:56.383920,11:14:22.712391,1,-1.0
1,11:13:56.383920,11:14:23.491170,1,-1.0
2,11:14:24.554421,11:14:26.727367,1,-1.0
2,11:14:24.554421,11:14:27.318295,1,-1.0
2,11:14:24.554421,11:14:27.941900,1,-1.0
2,11:14:24.554421,11:14:28.446118,1,-1.0
2,11:14:24.554421,11:14:28.888137,1,-1.0
2,11:14:24.554421,11:14:29.360792,1,-1.0
2,11:14:24.554421,11:14:29.836911,1,-1.0
2,11:14:24.554421,11:14:30.311026,1,-1.0
2,11:14:24.554421,11:14:30.781855,1,-1.0
2,11:14:24.554421,11:14:31.253555,1,-1.0
2,11:14:24.554421,11:14:32.162883,1,-1.0
2,11:14:24.554421,11:14:32.736764,1,-1.0
2,11:14:24.554421,11:14:33.454781,1,-1.0
2,11:14:24.554421,11:14:33.987383,1,-1.0
2,11:14:24.554421,11:14:34.945487,1,-1.0
2,11:14:24.554421,11:14:37.272391,1,-1.0
2,11:14:24.554421,11:14:38.879341,1,-1.0
2,11:14:24.554421,11:14:40.068886,-1,-1.0
2,11:14:24.554421,11:14:40.418810,-1,-1.0
2,11:14:24.554421,11:14:40.733860,-1,-1.0
2,11:14:24.554421,11:14:48.192787,1,-1.0
2,11:14:24.554421,11:14:48.647479,1,-1.0
2,11:14:24.554421,11:14:49.176244,1,-1.0
2,11:14:24.554421,11:14:49.594522,1,-1.0
2,11:14:24.554421,11:14:50.263989,1,-1.0
2,11:14:24.554421,11:14:52.114830,1,-1.0
2,11:14:24.554421,11:14:52.705080,1,-1.0
2,11:14:24.554421,11:14:53.187015,1,-1.0
2,11:14:24.554421,11:14:53.621884,1,-1.0
2,11:14:24.554421,11:14:54.059643,1,-1.0
2,11:14:24.554421,11:14:54.350420,1,-1.0
2,11:14:24.554421,11:14:54.646744,1,-1.0
2,11:14:24.554421,11:14:54.901353,1,-1.0
2,11:14:24.554421,11:14:55.128535,1,-1.0
2,11:14:24.554421,11:14:55.455273,1,-1.0
2,11:14:24.554421,11:14:55.841082,1,-1.0
2,11:14:24.554421,11:14:56.165982,1,-1.0
2,11:14:24.554421,11:14:56.446345,1,-1.0
2,11:14:24.554421,11:14:56.696640,1,-1.0
2,11:14:24.554421,11:14:56.938259,1,-1.0
2,11:14:24.554421,11:14:57.167890,1,-1.0
2,11:14:24.554421,11:14:57.388067,1,-1.0
2,11:14:24.554421,11:14:57.624744,1,-1.0
2,11:14:24.554421,11:14:57.868696,1,-1.0
2,11:14:24.554421,11:14:58.158592,1,-1.0
2,11:14:24.554421,11:14:58.436883,1,-1.0
2,11:14:24.554421,11:14:59.986763,1,-1.0
2,11:14:24.554421,11:15:00.369193,1,-1.0
2,11:14:24.554421,11:15:00.673492,1,-1.0
2,11:14:24.554421,11:15:01.085451,1,-1.0
2,11:14:24.554421,11:15:01.752563,1,-1.0
3,11:15:02.462792,11:15:05.505764,1,-1.0
3,11:15:02.462792,11:15:06.005530,1,-1.0
3,11:15:02.462792,11:15:06.549589,1,-1.0
3,11:15:02.462792,11:15:07.107133,1,-1.0
3,11:15:02.462792,11:15:07.613897,1,-1.0
3,11:15:02.462792,11:15:08.066915,1,-1.0
3,11:15:02.462792,11:15:08.496917,1,-1.0
3,11:15:02.462792,11:15:08.939475,1,-1.0
3,11:15:02.462792,11:15:09.518033,1,-1.0
