Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,17:55:40.618149,17:55:52.826260,1,-1.0
1,17:55:40.618149,17:55:52.951274,1,-1.0
1,17:55:40.618149,17:55:53.084790,1,-1.0
1,17:55:40.618149,17:55:53.200716,1,-1.0
1,17:55:40.618149,17:55:53.314711,1,-1.0
1,17:55:40.618149,17:55:54.368927,1,-1.0
1,17:55:40.618149,17:55:54.495239,1,-1.0
1,17:55:40.618149,17:55:54.619634,1,-1.0
1,17:55:40.618149,17:55:54.725164,1,-1.0
1,17:55:40.618149,17:55:54.833704,1,-1.0
1,17:55:40.618149,17:55:54.949509,1,-1.0
1,17:55:40.618149,17:55:55.055888,1,-1.0
1,17:55:40.618149,17:55:55.162013,1,-1.0
1,17:55:40.618149,17:55:55.285720,1,-1.0
1,17:55:40.618149,17:55:55.408579,1,-1.0
1,17:55:40.618149,17:55:55.543819,1,-1.0
1,17:55:40.618149,17:55:55.661275,1,-1.0
1,17:55:40.618149,17:55:55.775898,1,-1.0
1,17:55:40.618149,17:55:55.905844,1,-1.0
1,17:55:40.618149,17:55:56.000611,1,-1.0
1,17:55:40.618149,17:55:56.102981,1,-1.0
1,17:55:40.618149,17:55:56.200949,1,-1.0
1,17:55:40.618149,17:55:56.310009,1,-1.0
1,17:55:40.618149,17:55:56.428525,1,-1.0
1,17:55:40.618149,17:55:56.541437,1,-1.0
1,17:55:40.618149,17:55:56.655602,1,-1.0
1,17:55:40.618149,17:55:56.763181,1,-1.0
1,17:55:40.618149,17:55:56.861274,1,-1.0
1,17:55:40.618149,17:55:56.960572,1,-1.0
1,17:55:40.618149,17:55:57.057525,1,-1.0
1,17:55:40.618149,17:55:57.164363,1,-1.0
1,17:55:40.618149,17:55:57.259556,1,-1.0
1,17:55:40.618149,17:55:57.380795,1,-1.0
1,17:55:40.618149,17:55:57.497651,1,-1.0
1,17:55:40.618149,17:55:57.615827,1,-1.0
1,17:55:40.618149,17:55:57.733875,1,-1.0
1,17:55:40.618149,17:55:57.839823,1,-1.0
1,17:55:40.618149,17:55:57.934475,1,-1.0
1,17:55:40.618149,17:55:58.040333,1,-1.0
1,17:55:40.618149,17:55:58.142302,1,-1.0
1,17:55:40.618149,17:55:58.236513,1,-1.0
1,17:55:40.618149,17:55:58.343313,1,-1.0
1,17:55:40.618149,17:55:58.464938,1,-1.0
1,17:55:40.618149,17:55:58.574713,1,-1.0
1,17:55:40.618149,17:55:58.681725,1,-1.0
1,17:55:40.618149,17:55:58.789497,1,-1.0
1,17:55:40.618149,17:56:00.850072,-1,-1.0
1,17:55:40.618149,17:56:00.965222,-1,-1.0
1,17:55:40.618149,17:56:01.079561,-1,-1.0
1,17:55:40.618149,17:56:01.192009,-1,-1.0
1,17:55:40.618149,17:56:01.307848,-1,-1.0
1,17:55:40.618149,17:56:03.378960,-1,-1.0
1,17:55:40.618149,17:56:03.546200,-1,-1.0
1,17:55:40.618149,17:56:03.650615,-1,-1.0
1,17:55:40.618149,17:56:06.540686,1,-1.0
1,17:55:40.618149,17:56:06.635066,1,-1.0
1,17:55:40.618149,17:56:06.727826,1,-1.0
1,17:55:40.618149,17:56:06.816516,1,-1.0
1,17:55:40.618149,17:56:06.911447,1,-1.0
1,17:55:40.618149,17:56:07.019588,1,-1.0
1,17:55:40.618149,17:56:07.135566,1,-1.0
