Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:04:53.082119,12:05:00.551901,-1,-1.0
1,12:04:53.082119,12:05:02.745764,-1,-1.0
1,12:04:53.082119,12:05:07.487798,1,-1.0
1,12:04:53.082119,12:05:08.591834,1,-1.0
1,12:04:53.082119,12:05:10.582826,1,-1.0
1,12:04:53.082119,12:05:14.855168,-1,-1.0
1,12:04:53.082119,12:05:15.878769,-1,-1.0
1,12:04:53.082119,12:05:16.248687,-1,-1.0
1,12:04:53.082119,12:05:21.361697,1,-1.0
1,12:04:53.082119,12:05:23.713302,1,-1.0
1,12:04:53.082119,12:05:24.308974,1,-1.0
1,12:04:53.082119,12:05:24.721816,1,-1.0
1,12:04:53.082119,12:05:26.528691,1,-1.0
1,12:04:53.082119,12:05:27.536020,1,-1.0
1,12:04:53.082119,12:05:28.350130,-1,-1.0
1,12:04:53.082119,12:05:28.769710,-1,-1.0
1,12:04:53.082119,12:05:29.198795,-1,-1.0
1,12:04:53.082119,12:05:30.272229,1,-1.0
1,12:04:53.082119,12:05:31.152921,1,-1.0
1,12:04:53.082119,12:05:35.641682,-1,-1.0
1,12:04:53.082119,12:05:37.265542,1,-1.0
1,12:04:53.082119,12:05:37.606132,1,-1.0
1,12:04:53.082119,12:05:37.988346,1,-1.0
1,12:04:53.082119,12:05:38.652650,1,-1.0
1,12:04:53.082119,12:05:43.872383,-1,-1.0
1,12:04:53.082119,12:05:45.103218,1,-1.0
1,12:04:53.082119,12:05:45.820747,1,-1.0
1,12:04:53.082119,12:05:53.772225,-1,-1.0
1,12:04:53.082119,12:05:54.618908,1,-1.0
1,12:04:53.082119,12:05:55.328989,1,-1.0
1,12:04:53.082119,12:05:55.773715,1,-1.0
1,12:04:53.082119,12:05:57.377968,-1,-1.0
1,12:04:53.082119,12:05:57.885624,-1,-1.0
1,12:04:53.082119,12:05:58.713026,1,-1.0
1,12:04:53.082119,12:05:59.163119,1,-1.0
1,12:04:53.082119,12:05:59.859563,1,-1.0
1,12:04:53.082119,12:06:00.451063,1,-1.0
1,12:04:53.082119,12:06:01.713327,1,-1.0
1,12:04:53.082119,12:06:03.550542,1,-1.0
1,12:04:53.082119,12:06:04.010429,1,-1.0
1,12:04:53.082119,12:06:04.309765,1,-1.0
1,12:04:53.082119,12:06:04.696955,1,-1.0
1,12:04:53.082119,12:06:05.344655,-1,-1.0
1,12:04:53.082119,12:06:05.702857,-1,-1.0
1,12:04:53.082119,12:06:06.142959,1,-1.0
1,12:04:53.082119,12:06:06.432412,1,-1.0
1,12:04:53.082119,12:06:07.713828,1,-1.0
1,12:04:53.082119,12:06:08.096803,1,-1.0
1,12:04:53.082119,12:06:09.238436,1,-1.0
1,12:04:53.082119,12:06:09.710300,1,-1.0
1,12:04:53.082119,12:06:10.152670,1,-1.0
1,12:04:53.082119,12:06:10.794767,1,-1.0
1,12:04:53.082119,12:06:11.732995,-1,-1.0
1,12:04:53.082119,12:06:12.044280,-1,-1.0
1,12:04:53.082119,12:06:13.103054,1,-1.0
1,12:04:53.082119,12:06:13.412131,1,-1.0
1,12:04:53.082119,12:06:13.865446,1,-1.0
1,12:04:53.082119,12:06:14.359896,1,-1.0
1,12:04:53.082119,12:06:14.972989,1,-1.0
1,12:04:53.082119,12:06:16.769547,1,-1.0
1,12:04:53.082119,12:06:17.100308,1,-1.0
1,12:04:53.082119,12:06:17.436835,1,-1.0
1,12:04:53.082119,12:06:19.978316,-1,-1.0
1,12:04:53.082119,12:06:20.464554,-1,-1.0
1,12:04:53.082119,12:06:20.919567,-1,-1.0
1,12:04:53.082119,12:06:21.626277,1,-1.0
1,12:04:53.082119,12:06:21.905475,1,-1.0
1,12:04:53.082119,12:06:22.266139,1,-1.0
1,12:04:53.082119,12:06:22.849673,1,-1.0
1,12:04:53.082119,12:06:23.978858,1,-1.0
1,12:04:53.082119,12:06:25.637167,1,-1.0
1,12:04:53.082119,12:06:26.254090,1,-1.0
1,12:04:53.082119,12:06:27.126817,-1,-1.0
1,12:04:53.082119,12:06:29.613627,-1,-1.0
1,12:04:53.082119,12:06:30.200166,1,-1.0
1,12:04:53.082119,12:06:32.232741,-1,-1.0
1,12:04:53.082119,12:06:39.076303,1,-1.0
