Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:13:18.279593,16:13:21.526473,-1,-1.0
1,16:13:18.279593,16:13:22.636488,-1,-1.0
1,16:13:18.279593,16:13:23.324048,1,-1.0
1,16:13:18.279593,16:13:23.657041,1,-1.0
1,16:13:18.279593,16:13:23.975539,1,-1.0
1,16:13:18.279593,16:13:24.270045,1,-1.0
1,16:13:18.279593,16:13:25.484590,1,-1.0
1,16:13:18.279593,16:13:26.013725,-1,-1.0
1,16:13:18.279593,16:13:26.710873,-1,-1.0
1,16:13:18.279593,16:13:27.083753,-1,-1.0
1,16:13:18.279593,16:13:28.004596,-1,-1.0
1,16:13:18.279593,16:13:28.702800,-1,-1.0
1,16:13:18.279593,16:13:29.612992,-1,-1.0
1,16:13:18.279593,16:13:31.377330,1,-1.0
1,16:13:18.279593,16:13:32.651992,-1,-1.0
1,16:13:18.279593,16:13:32.953662,-1,-1.0
1,16:13:18.279593,16:13:33.436101,-1,-1.0
1,16:13:18.279593,16:13:33.814163,-1,-1.0
1,16:13:18.279593,16:13:34.467486,-1,-1.0
1,16:13:18.279593,16:13:35.668293,-1,-1.0
1,16:13:18.279593,16:13:36.348089,1,-1.0
1,16:13:18.279593,16:13:37.292957,-1,-1.0
1,16:13:18.279593,16:13:37.832811,1,-1.0
1,16:13:18.279593,16:13:38.114357,1,-1.0
1,16:13:18.279593,16:13:38.358148,1,-1.0
1,16:13:18.279593,16:13:38.774546,1,-1.0
1,16:13:18.279593,16:13:39.942627,1,-1.0
1,16:13:18.279593,16:13:41.004035,1,-1.0
1,16:13:18.279593,16:13:41.348800,1,-1.0
1,16:13:18.279593,16:13:41.687182,1,-1.0
1,16:13:18.279593,16:13:42.128001,1,-1.0
1,16:13:18.279593,16:13:42.631178,1,-1.0
1,16:13:18.279593,16:13:42.824778,1,-1.0
1,16:13:18.279593,16:13:43.031793,1,-1.0
1,16:13:18.279593,16:13:43.192486,1,-1.0
1,16:13:18.279593,16:13:43.422427,1,-1.0
1,16:13:18.279593,16:13:43.657329,1,-1.0
1,16:13:18.279593,16:13:43.908475,1,-1.0
1,16:13:18.279593,16:13:44.138782,1,-1.0
1,16:13:18.279593,16:13:44.369560,1,-1.0
1,16:13:18.279593,16:13:44.623731,1,-1.0
1,16:13:18.279593,16:13:44.847802,1,-1.0
1,16:13:18.279593,16:13:45.066687,1,-1.0
1,16:13:18.279593,16:13:45.248367,1,-1.0
1,16:13:18.279593,16:13:45.441817,1,-1.0
1,16:13:18.279593,16:13:45.666810,1,-1.0
1,16:13:18.279593,16:13:45.902032,1,-1.0
1,16:13:18.279593,16:13:46.098805,1,-1.0
1,16:13:18.279593,16:13:46.312975,1,-1.0
1,16:13:18.279593,16:13:46.625143,1,-1.0
1,16:13:18.279593,16:13:46.908563,1,-1.0
1,16:13:18.279593,16:13:47.161781,1,-1.0
1,16:13:18.279593,16:13:47.385249,1,-1.0
1,16:13:18.279593,16:13:47.614806,1,-1.0
1,16:13:18.279593,16:13:47.966542,1,-1.0
1,16:13:18.279593,16:13:48.200197,1,-1.0
1,16:13:18.279593,16:13:48.412545,1,-1.0
1,16:13:18.279593,16:13:48.648614,1,-1.0
1,16:13:18.279593,16:13:48.850431,1,-1.0
1,16:13:18.279593,16:13:49.315990,1,-1.0
1,16:13:18.279593,16:13:49.517535,1,-1.0
1,16:13:18.279593,16:13:49.718014,1,-1.0
1,16:13:18.279593,16:13:49.928202,1,-1.0
1,16:13:18.279593,16:13:50.143768,1,-1.0
1,16:13:18.279593,16:13:50.355993,1,-1.0
1,16:13:18.279593,16:13:50.576052,1,-1.0
1,16:13:18.279593,16:13:50.787932,1,-1.0
1,16:13:18.279593,16:13:51.001117,1,-1.0
1,16:13:18.279593,16:13:51.246792,1,-1.0
1,16:13:18.279593,16:13:51.472085,1,-1.0
1,16:13:18.279593,16:13:51.692485,1,-1.0
1,16:13:18.279593,16:13:51.884753,1,-1.0
1,16:13:18.279593,16:13:52.076259,1,-1.0
1,16:13:18.279593,16:13:52.297963,1,-1.0
1,16:13:18.279593,16:13:52.503190,1,-1.0
1,16:13:18.279593,16:13:52.696263,1,-1.0
1,16:13:18.279593,16:13:52.887613,1,-1.0
1,16:13:18.279593,16:13:53.091021,1,-1.0
1,16:13:18.279593,16:13:53.353509,1,-1.0
1,16:13:18.279593,16:13:53.594665,1,-1.0
1,16:13:18.279593,16:13:53.849616,1,-1.0
1,16:13:18.279593,16:13:54.060581,1,-1.0
1,16:13:18.279593,16:13:54.274542,1,-1.0
1,16:13:18.279593,16:13:54.504021,1,-1.0
1,16:13:18.279593,16:13:54.733170,1,-1.0
1,16:13:18.279593,16:13:54.990919,1,-1.0
1,16:13:18.279593,16:13:55.241421,1,-1.0
1,16:13:18.279593,16:13:55.497525,1,-1.0
1,16:13:18.279593,16:13:55.731920,1,-1.0
1,16:13:18.279593,16:13:56.096234,1,-1.0
1,16:13:18.279593,16:13:56.349795,1,-1.0
1,16:13:18.279593,16:13:56.572977,1,-1.0
1,16:13:18.279593,16:13:56.791035,1,-1.0
1,16:13:18.279593,16:13:57.014579,1,-1.0
1,16:13:18.279593,16:13:57.214026,1,-1.0
1,16:13:18.279593,16:13:57.428164,1,-1.0
1,16:13:18.279593,16:13:57.692578,1,-1.0
1,16:13:18.279593,16:13:57.944312,1,-1.0
1,16:13:18.279593,16:13:58.429860,1,-1.0
1,16:13:18.279593,16:13:58.650598,1,-1.0
1,16:13:18.279593,16:13:58.874303,1,-1.0
1,16:13:18.279593,16:13:59.117843,1,-1.0
1,16:13:18.279593,16:13:59.361283,1,-1.0
1,16:13:18.279593,16:13:59.580772,1,-1.0
1,16:13:18.279593,16:13:59.829636,1,-1.0
1,16:13:18.279593,16:14:00.054468,1,-1.0
1,16:13:18.279593,16:14:00.290728,1,-1.0
1,16:13:18.279593,16:14:00.532673,1,-1.0
1,16:13:18.279593,16:14:00.744136,1,-1.0
1,16:13:18.279593,16:14:00.987680,1,-1.0
1,16:13:18.279593,16:14:01.228663,1,-1.0
1,16:13:18.279593,16:14:01.508843,1,-1.0
1,16:13:18.279593,16:14:01.795770,1,-1.0
1,16:13:18.279593,16:14:02.136140,1,-1.0
1,16:13:18.279593,16:14:02.328571,1,-1.0
1,16:13:18.279593,16:14:02.520175,1,-1.0
1,16:13:18.279593,16:14:02.745682,1,-1.0
1,16:13:18.279593,16:14:02.977324,1,-1.0
1,16:13:18.279593,16:14:03.178319,1,-1.0
1,16:13:18.279593,16:14:03.388526,1,-1.0
1,16:13:18.279593,16:14:03.633517,1,-1.0
1,16:13:18.279593,16:14:03.888543,1,-1.0
1,16:13:18.279593,16:14:04.139576,1,-1.0
1,16:13:18.279593,16:14:04.369608,1,-1.0
1,16:13:18.279593,16:14:04.694735,1,-1.0
1,16:13:18.279593,16:14:04.938140,1,-1.0
1,16:13:18.279593,16:14:05.160903,1,-1.0
1,16:13:18.279593,16:14:05.499557,1,-1.0
1,16:13:18.279593,16:14:06.008073,1,-1.0
1,16:13:18.279593,16:14:06.218091,1,-1.0
1,16:13:18.279593,16:14:06.717198,1,-1.0
1,16:13:18.279593,16:14:06.910607,1,-1.0
1,16:13:18.279593,16:14:07.124280,1,-1.0
1,16:13:18.279593,16:14:07.349820,1,-1.0
1,16:13:18.279593,16:14:07.592704,1,-1.0
1,16:13:18.279593,16:14:07.946840,1,-1.0
1,16:13:18.279593,16:14:08.184828,1,-1.0
1,16:13:18.279593,16:14:08.415104,1,-1.0
1,16:13:18.279593,16:14:08.628075,1,-1.0
1,16:13:18.279593,16:14:08.881029,1,-1.0
1,16:13:18.279593,16:14:09.083129,1,-1.0
1,16:13:18.279593,16:14:09.325999,1,-1.0
1,16:13:18.279593,16:14:09.622530,1,-1.0
1,16:13:18.279593,16:14:09.886894,1,-1.0
