Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,17:16:12.376312,17:16:32.584423,1,-1.0
1,17:16:12.376312,17:16:32.690802,1,-1.0
1,17:16:12.376312,17:16:32.774763,1,-1.0
1,17:16:12.376312,17:16:32.865698,1,-1.0
1,17:16:12.376312,17:16:32.967085,1,-1.0
1,17:16:12.376312,17:16:33.060844,1,-1.0
1,17:16:12.376312,17:16:33.162605,1,-1.0
1,17:16:12.376312,17:16:33.268517,1,-1.0
1,17:16:12.376312,17:16:33.365204,1,-1.0
1,17:16:12.376312,17:16:33.453899,1,-1.0
1,17:16:12.376312,17:16:33.569539,1,-1.0
1,17:16:12.376312,17:16:33.735683,1,-1.0
1,17:16:12.376312,17:16:33.832152,1,-1.0
1,17:16:12.376312,17:16:39.214229,1,-1.0
1,17:16:12.376312,17:16:39.320158,1,-1.0
1,17:16:12.376312,17:16:39.416423,1,-1.0
1,17:16:12.376312,17:16:39.502526,1,-1.0
1,17:16:12.376312,17:16:39.598141,1,-1.0
1,17:16:12.376312,17:16:39.700922,1,-1.0
1,17:16:12.376312,17:16:39.813526,1,-1.0
1,17:16:12.376312,17:16:39.897926,1,-1.0
1,17:16:12.376312,17:16:39.985985,1,-1.0
1,17:16:12.376312,17:16:40.072856,1,-1.0
1,17:16:12.376312,17:16:40.173241,1,-1.0
1,17:16:12.376312,17:16:40.268259,1,-1.0
1,17:16:12.376312,17:16:40.364060,1,-1.0
1,17:16:12.376312,17:16:40.476068,1,-1.0
1,17:16:12.376312,17:16:40.570862,1,-1.0
1,17:16:12.376312,17:16:40.659617,1,-1.0
1,17:16:12.376312,17:16:40.752313,1,-1.0
1,17:16:12.376312,17:16:40.854713,1,-1.0
1,17:16:12.376312,17:16:40.954252,1,-1.0
1,17:16:12.376312,17:16:41.046087,1,-1.0
1,17:16:12.376312,17:16:41.148585,1,-1.0
1,17:16:12.376312,17:16:41.248446,1,-1.0
1,17:16:12.376312,17:16:41.337466,1,-1.0
1,17:16:12.376312,17:16:41.432832,1,-1.0
1,17:16:12.376312,17:16:41.543587,1,-1.0
1,17:16:12.376312,17:16:41.651457,1,-1.0
1,17:16:12.376312,17:16:41.764521,1,-1.0
1,17:16:12.376312,17:16:41.870869,1,-1.0
1,17:16:12.376312,17:16:41.970642,-1,-1.0
1,17:16:12.376312,17:16:42.119519,-1,-1.0
1,17:16:12.376312,17:16:42.206393,-1,-1.0
1,17:16:12.376312,17:16:42.302590,-1,-1.0
1,17:16:12.376312,17:16:42.397013,-1,-1.0
1,17:16:12.376312,17:16:42.483065,-1,-1.0
1,17:16:12.376312,17:16:42.567505,-1,-1.0
1,17:16:12.376312,17:16:42.662591,-1,-1.0
1,17:16:12.376312,17:16:42.757479,-1,-1.0
1,17:16:12.376312,17:16:42.858377,-1,-1.0
1,17:16:12.376312,17:16:42.937334,-1,-1.0
1,17:16:12.376312,17:16:43.023845,-1,-1.0
1,17:16:12.376312,17:16:43.123195,-1,-1.0
1,17:16:12.376312,17:16:43.227229,-1,-1.0
1,17:16:12.376312,17:16:43.348319,-1,-1.0
1,17:16:12.376312,17:16:43.450594,-1,-1.0
1,17:16:12.376312,17:16:43.555834,-1,-1.0
1,17:16:12.376312,17:16:43.659641,-1,-1.0
1,17:16:12.376312,17:16:43.784577,-1,-1.0
1,17:16:12.376312,17:16:43.893187,-1,-1.0
1,17:16:12.376312,17:16:43.990579,-1,-1.0
1,17:16:12.376312,17:16:44.095730,-1,-1.0
1,17:16:12.376312,17:16:44.209678,-1,-1.0
1,17:16:12.376312,17:16:44.322492,-1,-1.0
1,17:16:12.376312,17:16:44.442468,-1,-1.0
1,17:16:12.376312,17:16:44.544454,-1,-1.0
1,17:16:12.376312,17:16:44.644317,-1,-1.0
1,17:16:12.376312,17:16:45.597396,1,-1.0
1,17:16:12.376312,17:16:45.712339,1,-1.0
1,17:16:12.376312,17:16:45.804510,1,-1.0
1,17:16:12.376312,17:16:45.881465,1,-1.0
1,17:16:12.376312,17:16:45.981823,1,-1.0
1,17:16:12.376312,17:16:46.088858,1,-1.0
1,17:16:12.376312,17:16:46.197684,1,-1.0
1,17:16:12.376312,17:16:46.511261,-1,-1.0
1,17:16:12.376312,17:16:53.485905,1,-1.0
1,17:16:12.376312,17:16:53.576119,1,-1.0
1,17:16:12.376312,17:16:53.696322,1,-1.0
1,17:16:12.376312,17:16:53.794133,1,-1.0
1,17:16:12.376312,17:16:53.878359,1,-1.0
1,17:16:12.376312,17:16:53.984420,1,-1.0
1,17:16:12.376312,17:16:54.075647,1,-1.0
1,17:16:12.376312,17:16:54.190169,1,-1.0
1,17:16:12.376312,17:16:54.287027,1,-1.0
1,17:16:12.376312,17:16:54.395308,1,-1.0
1,17:16:12.376312,17:16:54.503195,1,-1.0
1,17:16:12.376312,17:16:54.611475,1,-1.0
1,17:16:12.376312,17:16:54.714954,1,-1.0
1,17:16:12.376312,17:16:54.812464,1,-1.0
1,17:16:12.376312,17:16:54.912985,1,-1.0
1,17:16:12.376312,17:16:54.994195,1,-1.0
1,17:16:12.376312,17:16:55.081720,1,-1.0
1,17:16:12.376312,17:16:55.220205,1,-1.0
1,17:16:12.376312,17:16:55.303158,1,-1.0
1,17:16:12.376312,17:16:55.385823,1,-1.0
1,17:16:12.376312,17:16:55.477847,1,-1.0
1,17:16:12.376312,17:16:55.565757,1,-1.0
1,17:16:12.376312,17:16:55.647041,1,-1.0
1,17:16:12.376312,17:16:55.770648,1,-1.0
1,17:16:12.376312,17:16:55.890972,1,-1.0
1,17:16:12.376312,17:17:05.723021,1,-1.0
1,17:16:12.376312,17:17:05.843156,1,-1.0
1,17:16:12.376312,17:17:05.927223,1,-1.0
1,17:16:12.376312,17:17:06.022327,1,-1.0
1,17:16:12.376312,17:17:06.108467,1,-1.0
1,17:16:12.376312,17:17:06.211912,1,-1.0
1,17:16:12.376312,17:17:06.298215,1,-1.0
1,17:16:12.376312,17:17:06.403180,1,-1.0
1,17:16:12.376312,17:17:06.509518,1,-1.0
1,17:16:12.376312,17:17:06.648979,1,-1.0
1,17:16:12.376312,17:17:06.729975,1,-1.0
1,17:16:12.376312,17:17:06.828158,1,-1.0
1,17:16:12.376312,17:17:09.924053,-1,-1.0
1,17:16:12.376312,17:17:10.678212,-1,-1.0
1,17:16:12.376312,17:17:10.760398,-1,-1.0
1,17:16:12.376312,17:17:10.850921,-1,-1.0
1,17:16:12.376312,17:17:10.963712,-1,-1.0
1,17:16:12.376312,17:17:11.083373,-1,-1.0
1,17:16:12.376312,17:17:11.205502,-1,-1.0
1,17:16:12.376312,17:17:11.314361,-1,-1.0
1,17:16:12.376312,17:17:11.412987,-1,-1.0
1,17:16:12.376312,17:17:11.520462,-1,-1.0
1,17:16:12.376312,17:17:11.635845,-1,-1.0
1,17:16:12.376312,17:17:11.724961,-1,-1.0
1,17:16:12.376312,17:17:11.811213,-1,-1.0
1,17:16:12.376312,17:17:11.909700,-1,-1.0
1,17:16:12.376312,17:17:12.804270,1,-1.0
1,17:16:12.376312,17:17:12.887442,1,-1.0
1,17:16:12.376312,17:17:12.977713,1,-1.0
1,17:16:12.376312,17:17:13.059418,1,-1.0
1,17:16:12.376312,17:17:13.143213,1,-1.0
1,17:16:12.376312,17:17:13.237013,1,-1.0
1,17:16:12.376312,17:17:13.321050,1,-1.0
1,17:16:12.376312,17:17:13.412030,1,-1.0
1,17:16:12.376312,17:17:13.504444,1,-1.0
1,17:16:12.376312,17:17:13.610302,1,-1.0
1,17:16:12.376312,17:17:13.708187,1,-1.0
1,17:16:12.376312,17:17:13.816977,1,-1.0
1,17:16:12.376312,17:17:13.915555,1,-1.0
1,17:16:12.376312,17:17:14.012442,1,-1.0
1,17:16:12.376312,17:17:14.112381,1,-1.0
1,17:16:12.376312,17:17:14.224114,1,-1.0
1,17:16:12.376312,17:17:14.328929,1,-1.0
1,17:16:12.376312,17:17:14.430712,1,-1.0
1,17:16:12.376312,17:17:14.531221,1,-1.0
1,17:16:12.376312,17:17:14.629137,1,-1.0
1,17:16:12.376312,17:17:14.726991,1,-1.0
1,17:16:12.376312,17:17:14.844404,1,-1.0
1,17:16:12.376312,17:17:14.960084,1,-1.0
1,17:16:12.376312,17:17:15.077409,1,-1.0
1,17:16:12.376312,17:17:15.168216,1,-1.0
1,17:16:12.376312,17:17:15.272329,1,-1.0
1,17:16:12.376312,17:17:15.391127,1,-1.0
1,17:16:12.376312,17:17:15.516161,1,-1.0
1,17:16:12.376312,17:17:15.620667,1,-1.0
1,17:16:12.376312,17:17:15.719633,1,-1.0
1,17:16:12.376312,17:17:15.830451,1,-1.0
1,17:16:12.376312,17:17:15.937824,1,-1.0
2,17:17:15.979584,17:17:16.085771,1,-1.0
2,17:17:15.979584,17:17:16.217250,1,-1.0
2,17:17:15.979584,17:17:16.309447,1,-1.0
2,17:17:15.979584,17:17:16.415989,1,-1.0
2,17:17:15.979584,17:17:16.524374,1,-1.0
2,17:17:15.979584,17:17:25.027196,1,-1.0
2,17:17:15.979584,17:17:26.340110,1,-1.0
2,17:17:15.979584,17:17:26.429512,1,-1.0
2,17:17:15.979584,17:17:26.515282,1,-1.0
2,17:17:15.979584,17:17:26.611603,1,-1.0
2,17:17:15.979584,17:17:26.698582,1,-1.0
2,17:17:15.979584,17:17:26.805515,1,-1.0
2,17:17:15.979584,17:17:26.908167,1,-1.0
2,17:17:15.979584,17:17:26.993434,1,-1.0
2,17:17:15.979584,17:17:27.085830,1,-1.0
2,17:17:15.979584,17:17:27.187201,1,-1.0
2,17:17:15.979584,17:17:27.292723,1,-1.0
2,17:17:15.979584,17:17:27.373962,1,-1.0
2,17:17:15.979584,17:17:27.483619,1,-1.0
2,17:17:15.979584,17:17:27.594778,1,-1.0
2,17:17:15.979584,17:17:27.683821,1,-1.0
2,17:17:15.979584,17:17:27.758118,1,-1.0
2,17:17:15.979584,17:17:27.854347,1,-1.0
2,17:17:15.979584,17:17:27.953253,1,-1.0
2,17:17:15.979584,17:17:28.062017,1,-1.0
2,17:17:15.979584,17:17:28.158046,1,-1.0
2,17:17:15.979584,17:17:28.287611,1,-1.0
2,17:17:15.979584,17:17:28.384733,1,-1.0
2,17:17:15.979584,17:17:28.490702,1,-1.0
2,17:17:15.979584,17:17:28.594162,1,-1.0
2,17:17:15.979584,17:17:28.710016,1,-1.0
2,17:17:15.979584,17:17:28.799541,1,-1.0
2,17:17:15.979584,17:17:28.884200,1,-1.0
2,17:17:15.979584,17:17:28.969284,1,-1.0
2,17:17:15.979584,17:17:29.064753,1,-1.0
2,17:17:15.979584,17:17:29.149348,1,-1.0
2,17:17:15.979584,17:17:29.257073,1,-1.0
2,17:17:15.979584,17:17:29.377172,1,-1.0
2,17:17:15.979584,17:17:29.492772,1,-1.0
2,17:17:15.979584,17:17:29.608443,1,-1.0
2,17:17:15.979584,17:17:29.718155,1,-1.0
2,17:17:15.979584,17:17:30.755743,-1,-1.0
2,17:17:15.979584,17:17:30.875932,-1,-1.0
2,17:17:15.979584,17:17:30.967385,-1,-1.0
2,17:17:15.979584,17:17:31.075646,-1,-1.0
2,17:17:15.979584,17:17:31.184377,-1,-1.0
2,17:17:15.979584,17:17:31.289056,-1,-1.0
2,17:17:15.979584,17:17:31.385543,-1,-1.0
2,17:17:15.979584,17:17:31.490539,-1,-1.0
2,17:17:15.979584,17:17:31.612642,-1,-1.0
2,17:17:15.979584,17:17:31.717134,-1,-1.0
2,17:17:15.979584,17:17:31.808273,-1,-1.0
2,17:17:15.979584,17:17:32.292495,1,-1.0
2,17:17:15.979584,17:17:32.403392,1,-1.0
2,17:17:15.979584,17:17:32.513855,1,-1.0
2,17:17:15.979584,17:17:32.613376,1,-1.0
2,17:17:15.979584,17:17:32.711482,1,-1.0
2,17:17:15.979584,17:17:32.801159,1,-1.0
2,17:17:15.979584,17:17:32.910292,1,-1.0
2,17:17:15.979584,17:17:33.011783,1,-1.0
2,17:17:15.979584,17:17:33.162340,1,-1.0
2,17:17:15.979584,17:17:33.251241,1,-1.0
2,17:17:15.979584,17:17:33.361183,1,-1.0
2,17:17:15.979584,17:17:33.465606,1,-1.0
2,17:17:15.979584,17:17:33.598530,1,-1.0
2,17:17:15.979584,17:17:33.714084,1,-1.0
2,17:17:15.979584,17:17:33.829367,1,-1.0
2,17:17:15.979584,17:17:33.927997,1,-1.0
2,17:17:15.979584,17:17:34.041332,1,-1.0
2,17:17:15.979584,17:17:34.154500,1,-1.0
2,17:17:15.979584,17:17:34.270455,1,-1.0
2,17:17:15.979584,17:17:34.379373,1,-1.0
2,17:17:15.979584,17:17:34.481407,1,-1.0
2,17:17:15.979584,17:17:34.591435,1,-1.0
2,17:17:15.979584,17:17:34.705788,1,-1.0
2,17:17:15.979584,17:17:34.824036,1,-1.0
2,17:17:15.979584,17:17:34.943269,1,-1.0
2,17:17:15.979584,17:17:35.051486,1,-1.0
2,17:17:15.979584,17:17:35.158949,1,-1.0
2,17:17:15.979584,17:17:35.274665,1,-1.0
2,17:17:15.979584,17:17:35.409677,1,-1.0
2,17:17:15.979584,17:17:35.523967,-1,-1.0
2,17:17:15.979584,17:17:37.769589,1,-1.0
2,17:17:15.979584,17:17:37.855013,1,-1.0
2,17:17:15.979584,17:17:37.968272,1,-1.0
2,17:17:15.979584,17:17:38.087320,1,-1.0
2,17:17:15.979584,17:17:38.197667,1,-1.0
2,17:17:15.979584,17:17:38.304351,1,-1.0
2,17:17:15.979584,17:17:38.414383,1,-1.0
2,17:17:15.979584,17:17:38.520323,1,-1.0
2,17:17:15.979584,17:17:39.686281,-1,-1.0
2,17:17:15.979584,17:17:39.882072,-1,-1.0
2,17:17:15.979584,17:17:40.002095,-1,-1.0
2,17:17:15.979584,17:17:40.129085,-1,-1.0
2,17:17:15.979584,17:17:40.368618,-1,-1.0
2,17:17:15.979584,17:17:41.261531,-1,-1.0
2,17:17:15.979584,17:17:41.545934,-1,-1.0
2,17:17:15.979584,17:17:41.630306,-1,-1.0
2,17:17:15.979584,17:17:41.719238,-1,-1.0
2,17:17:15.979584,17:17:41.835086,-1,-1.0
2,17:17:15.979584,17:17:41.958778,-1,-1.0
2,17:17:15.979584,17:17:42.074389,-1,-1.0
2,17:17:15.979584,17:17:42.173619,-1,-1.0
2,17:17:15.979584,17:17:42.281296,-1,-1.0
2,17:17:15.979584,17:17:42.396892,-1,-1.0
2,17:17:15.979584,17:17:42.498426,-1,-1.0
2,17:17:15.979584,17:17:42.583451,-1,-1.0
2,17:17:15.979584,17:17:42.683531,-1,-1.0
2,17:17:15.979584,17:17:42.784260,-1,-1.0
2,17:17:15.979584,17:17:42.884014,-1,-1.0
2,17:17:15.979584,17:17:42.992159,-1,-1.0
2,17:17:15.979584,17:17:43.085510,-1,-1.0
2,17:17:15.979584,17:17:43.183583,-1,-1.0
2,17:17:15.979584,17:17:43.289325,-1,-1.0
2,17:17:15.979584,17:17:43.735132,1,-1.0
2,17:17:15.979584,17:17:43.841943,1,-1.0
2,17:17:15.979584,17:17:43.961679,1,-1.0
2,17:17:15.979584,17:17:44.068222,1,-1.0
2,17:17:15.979584,17:17:44.176204,1,-1.0
2,17:17:15.979584,17:17:44.274606,1,-1.0
2,17:17:15.979584,17:17:49.633227,1,-1.0
2,17:17:15.979584,17:17:49.720231,1,-1.0
2,17:17:15.979584,17:17:49.809400,1,-1.0
2,17:17:15.979584,17:17:49.895761,1,-1.0
2,17:17:15.979584,17:17:49.978040,1,-1.0
2,17:17:15.979584,17:17:50.066890,1,-1.0
2,17:17:15.979584,17:17:50.162911,1,-1.0
2,17:17:15.979584,17:17:50.266801,1,-1.0
2,17:17:15.979584,17:17:50.374024,1,-1.0
2,17:17:15.979584,17:17:50.487622,1,-1.0
2,17:17:15.979584,17:17:50.617075,1,-1.0
2,17:17:15.979584,17:17:50.722778,1,-1.0
2,17:17:15.979584,17:17:50.832278,1,-1.0
2,17:17:15.979584,17:17:50.917257,1,-1.0
2,17:17:15.979584,17:17:51.004082,1,-1.0
2,17:17:15.979584,17:17:51.119959,1,-1.0
2,17:17:15.979584,17:17:51.217089,1,-1.0
2,17:17:15.979584,17:17:51.334554,1,-1.0
2,17:17:15.979584,17:17:51.437285,1,-1.0
2,17:17:15.979584,17:17:51.564282,1,-1.0
2,17:17:15.979584,17:17:51.677866,1,-1.0
2,17:17:15.979584,17:17:51.777008,1,-1.0
2,17:17:15.979584,17:17:51.886604,1,-1.0
2,17:17:15.979584,17:17:51.986361,1,-1.0
2,17:17:15.979584,17:17:52.103734,1,-1.0
2,17:17:15.979584,17:17:52.194072,1,-1.0
2,17:17:15.979584,17:17:52.280792,1,-1.0
2,17:17:15.979584,17:17:52.376213,1,-1.0
2,17:17:15.979584,17:17:52.459799,1,-1.0
2,17:17:15.979584,17:17:52.542037,1,-1.0
2,17:17:15.979584,17:17:52.628013,1,-1.0
2,17:17:15.979584,17:17:52.713221,1,-1.0
2,17:17:15.979584,17:17:52.802176,1,-1.0
2,17:17:15.979584,17:17:52.896875,1,-1.0
2,17:17:15.979584,17:17:52.984164,1,-1.0
2,17:17:15.979584,17:17:53.067236,1,-1.0
2,17:17:15.979584,17:17:53.141925,1,-1.0
2,17:17:15.979584,17:17:53.233263,1,-1.0
2,17:17:15.979584,17:17:53.323664,1,-1.0
2,17:17:15.979584,17:17:53.404227,1,-1.0
2,17:17:15.979584,17:17:53.501956,1,-1.0
2,17:17:15.979584,17:17:53.594622,1,-1.0
2,17:17:15.979584,17:17:53.681884,1,-1.0
2,17:17:15.979584,17:17:53.787115,1,-1.0
2,17:17:15.979584,17:17:53.867824,1,-1.0
3,17:17:53.910862,17:17:54.038404,1,-1.0
3,17:17:53.910862,17:17:54.153991,1,-1.0
3,17:17:53.910862,17:17:54.260899,1,-1.0
3,17:17:53.910862,17:17:54.367199,1,-1.0
3,17:17:53.910862,17:17:54.473914,1,-1.0
3,17:17:53.910862,17:17:54.572520,-1,-1.0
3,17:17:53.910862,17:18:01.751466,1,-1.0
3,17:17:53.910862,17:18:01.847643,1,-1.0
3,17:17:53.910862,17:18:01.954011,1,-1.0
3,17:17:53.910862,17:18:02.045294,1,-1.0
3,17:17:53.910862,17:18:02.158719,1,-1.0
3,17:17:53.910862,17:18:02.279562,1,-1.0
3,17:17:53.910862,17:18:02.398994,1,-1.0
3,17:17:53.910862,17:18:02.507890,1,-1.0
3,17:17:53.910862,17:18:02.605384,1,-1.0
3,17:17:53.910862,17:18:02.706774,1,-1.0
3,17:17:53.910862,17:18:02.807720,1,-1.0
3,17:17:53.910862,17:18:02.924106,1,-1.0
3,17:17:53.910862,17:18:03.052271,1,-1.0
3,17:17:53.910862,17:18:03.173094,1,-1.0
3,17:17:53.910862,17:18:03.283091,1,-1.0
3,17:17:53.910862,17:18:03.389160,1,-1.0
3,17:17:53.910862,17:18:03.500243,1,-1.0
3,17:17:53.910862,17:18:03.622903,1,-1.0
3,17:17:53.910862,17:18:03.750321,1,-1.0
3,17:17:53.910862,17:18:03.868894,1,-1.0
3,17:17:53.910862,17:18:03.978084,1,-1.0
3,17:17:53.910862,17:18:04.083390,1,-1.0
3,17:17:53.910862,17:18:04.195845,1,-1.0
3,17:17:53.910862,17:18:04.295566,1,-1.0
3,17:17:53.910862,17:18:04.411053,1,-1.0
3,17:17:53.910862,17:18:04.531878,1,-1.0
3,17:17:53.910862,17:18:04.647077,1,-1.0
3,17:17:53.910862,17:18:04.755634,1,-1.0
3,17:17:53.910862,17:18:04.847912,1,-1.0
3,17:17:53.910862,17:18:04.953505,1,-1.0
3,17:17:53.910862,17:18:05.049201,1,-1.0
3,17:17:53.910862,17:18:05.178222,1,-1.0
3,17:17:53.910862,17:18:05.279151,1,-1.0
3,17:17:53.910862,17:18:05.380178,-1,-1.0
3,17:17:53.910862,17:18:06.703227,-1,-1.0
3,17:17:53.910862,17:18:06.782025,-1,-1.0
3,17:17:53.910862,17:18:06.873742,-1,-1.0
3,17:17:53.910862,17:18:06.959050,-1,-1.0
3,17:17:53.910862,17:18:07.042066,-1,-1.0
3,17:17:53.910862,17:18:07.133823,-1,-1.0
3,17:17:53.910862,17:18:07.248785,-1,-1.0
3,17:17:53.910862,17:18:07.365890,-1,-1.0
3,17:17:53.910862,17:18:07.479334,-1,-1.0
3,17:17:53.910862,17:18:07.603116,-1,-1.0
3,17:17:53.910862,17:18:07.702513,-1,-1.0
3,17:17:53.910862,17:18:07.806083,-1,-1.0
3,17:17:53.910862,17:18:07.894850,-1,-1.0
3,17:17:53.910862,17:18:08.026999,-1,-1.0
3,17:17:53.910862,17:18:08.161260,-1,-1.0
3,17:17:53.910862,17:18:08.348465,1,-1.0
3,17:17:53.910862,17:18:08.422288,1,-1.0
3,17:17:53.910862,17:18:08.542332,1,-1.0
3,17:17:53.910862,17:18:08.629890,1,-1.0
3,17:17:53.910862,17:18:08.708294,1,-1.0
3,17:17:53.910862,17:18:08.782423,1,-1.0
3,17:17:53.910862,17:18:08.867464,1,-1.0
3,17:17:53.910862,17:18:08.949379,1,-1.0
3,17:17:53.910862,17:18:09.065741,1,-1.0
