Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,17:45:27.890111,17:45:38.933462,1,-1.0
1,17:45:27.890111,17:45:39.017552,1,-1.0
1,17:45:27.890111,17:45:39.106491,1,-1.0
1,17:45:27.890111,17:45:39.177916,1,-1.0
1,17:45:27.890111,17:45:39.254123,1,-1.0
1,17:45:27.890111,17:45:39.330300,1,-1.0
1,17:45:27.890111,17:45:39.406752,1,-1.0
1,17:45:27.890111,17:45:39.485698,1,-1.0
1,17:45:27.890111,17:45:39.563550,1,-1.0
1,17:45:27.890111,17:45:39.641882,1,-1.0
1,17:45:27.890111,17:45:41.030640,1,-1.0
1,17:45:27.890111,17:45:41.144962,1,-1.0
1,17:45:27.890111,17:45:41.221929,1,-1.0
1,17:45:27.890111,17:45:41.301858,1,-1.0
1,17:45:27.890111,17:45:41.375662,1,-1.0
1,17:45:27.890111,17:45:41.448078,1,-1.0
1,17:45:27.890111,17:45:41.533107,1,-1.0
1,17:45:27.890111,17:45:41.609109,1,-1.0
1,17:45:27.890111,17:45:41.694123,-1,-1.0
1,17:45:27.890111,17:45:44.100535,1,-1.0
1,17:45:27.890111,17:45:44.182502,1,-1.0
1,17:45:27.890111,17:45:44.262612,1,-1.0
1,17:45:27.890111,17:45:44.357201,1,-1.0
1,17:45:27.890111,17:45:44.451967,1,-1.0
1,17:45:27.890111,17:45:44.539876,1,-1.0
1,17:45:27.890111,17:45:44.630699,1,-1.0
1,17:45:27.890111,17:45:44.713465,1,-1.0
1,17:45:27.890111,17:45:44.788093,1,-1.0
1,17:45:27.890111,17:45:46.070073,-1,-1.0
1,17:45:27.890111,17:45:46.160011,-1,-1.0
1,17:45:27.890111,17:45:46.973670,1,-1.0
1,17:45:27.890111,17:45:47.059211,1,-1.0
1,17:45:27.890111,17:45:47.139205,1,-1.0
1,17:45:27.890111,17:45:47.219000,1,-1.0
1,17:45:27.890111,17:45:47.304644,1,-1.0
1,17:45:27.890111,17:45:47.387889,1,-1.0
1,17:45:27.890111,17:45:47.466439,1,-1.0
1,17:45:27.890111,17:45:47.556700,1,-1.0
1,17:45:27.890111,17:45:47.635742,1,-1.0
1,17:45:27.890111,17:45:47.712949,1,-1.0
1,17:45:27.890111,17:45:47.792698,1,-1.0
1,17:45:27.890111,17:45:47.869723,1,-1.0
1,17:45:27.890111,17:45:47.947333,1,-1.0
1,17:45:27.890111,17:45:48.028870,1,-1.0
1,17:45:27.890111,17:45:48.114492,1,-1.0
1,17:45:27.890111,17:45:48.194770,1,-1.0
1,17:45:27.890111,17:45:48.275581,1,-1.0
1,17:45:27.890111,17:45:48.359494,-1,-1.0
1,17:45:27.890111,17:45:53.564859,1,-1.0
1,17:45:27.890111,17:45:53.672107,1,-1.0
1,17:45:27.890111,17:45:53.757759,1,-1.0
1,17:45:27.890111,17:45:53.838218,1,-1.0
1,17:45:27.890111,17:45:53.917105,1,-1.0
1,17:45:27.890111,17:45:53.995411,1,-1.0
1,17:45:27.890111,17:45:54.107987,1,-1.0
1,17:45:27.890111,17:45:54.380506,1,-1.0
1,17:45:27.890111,17:45:54.450715,1,-1.0
1,17:45:27.890111,17:45:54.730626,1,-1.0
1,17:45:27.890111,17:45:54.921676,1,-1.0
1,17:45:27.890111,17:45:55.009759,1,-1.0
1,17:45:27.890111,17:45:56.995611,-1,-1.0
1,17:45:27.890111,17:45:57.070507,-1,-1.0
1,17:45:27.890111,17:46:01.233870,1,-1.0
1,17:45:27.890111,17:46:02.163178,1,-1.0
1,17:45:27.890111,17:46:02.287633,1,-1.0
1,17:45:27.890111,17:46:02.367157,1,-1.0
1,17:45:27.890111,17:46:02.441594,1,-1.0
1,17:45:27.890111,17:46:02.517124,1,-1.0
1,17:45:27.890111,17:46:02.604116,1,-1.0
1,17:45:27.890111,17:46:02.688879,-1,-1.0
1,17:45:27.890111,17:46:02.759969,-1,-1.0
1,17:45:27.890111,17:46:02.845563,-1,-1.0
1,17:45:27.890111,17:46:02.933280,-1,-1.0
1,17:45:27.890111,17:46:03.017916,-1,-1.0
1,17:45:27.890111,17:46:03.104820,-1,-1.0
1,17:45:27.890111,17:46:03.186977,-1,-1.0
1,17:45:27.890111,17:46:03.269929,-1,-1.0
1,17:45:27.890111,17:46:03.360237,-1,-1.0
1,17:45:27.890111,17:46:03.454913,-1,-1.0
1,17:45:27.890111,17:46:05.209861,-1,-1.0
1,17:45:27.890111,17:46:05.289308,-1,-1.0
