Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,18:53:50.584079,18:53:59.371458,-1,1.0
1,18:53:50.584079,18:53:59.456419,-1,1.0
1,18:53:50.584079,18:53:59.550376,-1,1.0
1,18:53:50.584079,18:53:59.649868,-1,1.0
1,18:53:50.584079,18:54:00.259845,-1,1.0
2,18:54:00.289847,18:54:07.595983,-1,1.0
2,18:54:00.289847,18:54:07.692812,-1,1.0
2,18:54:00.289847,18:54:07.790943,-1,1.0
3,18:54:07.820908,18:54:07.901755,-1,1.0
3,18:54:07.820908,18:54:08.000474,-1,1.0
3,18:54:07.820908,18:54:08.301820,1,1.0
3,18:54:07.820908,18:54:11.671751,-1,1.0
3,18:54:07.820908,18:54:13.711303,-1,1.0
3,18:54:07.820908,18:54:13.820557,-1,1.0
3,18:54:07.820908,18:54:13.907773,-1,1.0
3,18:54:07.820908,18:54:14.058956,-1,1.0
3,18:54:07.820908,18:54:14.415167,-1,1.0
3,18:54:07.820908,18:54:16.384496,-1,1.0
3,18:54:07.820908,18:54:16.479483,-1,1.0
3,18:54:07.820908,18:54:16.650538,-1,1.0
4,18:54:18.838905,18:54:25.432206,-1,1.0
4,18:54:18.838905,18:54:25.546654,-1,1.0
4,18:54:18.838905,18:54:25.642459,-1,1.0
5,18:54:25.672024,18:54:25.749965,-1,1.0
5,18:54:25.672024,18:54:25.856428,-1,1.0
5,18:54:25.672024,18:54:25.954851,-1,1.0
5,18:54:25.672024,18:54:26.058421,-1,1.0
5,18:54:25.672024,18:54:26.164968,-1,1.0
5,18:54:25.672024,18:54:26.271180,-1,1.0
5,18:54:25.672024,18:54:26.376518,-1,1.0
5,18:54:25.672024,18:54:26.478416,-1,1.0
5,18:54:25.672024,18:54:26.586141,-1,1.0
5,18:54:25.672024,18:54:26.669811,-1,1.0
5,18:54:25.672024,18:54:26.762129,-1,1.0
5,18:54:25.672024,18:54:26.863045,-1,1.0
5,18:54:25.672024,18:54:26.971840,-1,1.0
5,18:54:25.672024,18:54:27.076956,-1,1.0
5,18:54:25.672024,18:54:27.188395,-1,1.0
5,18:54:25.672024,18:54:27.287440,-1,1.0
5,18:54:25.672024,18:54:27.394000,-1,1.0
5,18:54:25.672024,18:54:27.508567,-1,1.0
5,18:54:25.672024,18:54:27.608768,-1,1.0
5,18:54:25.672024,18:54:27.697126,-1,1.0
5,18:54:25.672024,18:54:27.805012,-1,1.0
5,18:54:25.672024,18:54:27.912990,-1,1.0
