Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:09:25.647219,16:09:29.117722,1,-1.0
1,16:09:25.647219,16:09:30.318841,-1,-1.0
1,16:09:25.647219,16:09:31.491985,-1,-1.0
1,16:09:25.647219,16:09:32.685526,1,-1.0
1,16:09:25.647219,16:09:33.214238,1,-1.0
1,16:09:25.647219,16:09:34.415384,-1,-1.0
1,16:09:25.647219,16:09:35.752161,1,-1.0
1,16:09:25.647219,16:09:36.997864,-1,-1.0
1,16:09:25.647219,16:09:37.640678,1,-1.0
1,16:09:25.647219,16:09:38.124706,1,-1.0
1,16:09:25.647219,16:09:39.704214,1,-1.0
