Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:08:22.756227,16:08:25.920244,-1,-1.0
1,16:08:22.756227,16:08:26.806698,-1,-1.0
1,16:08:22.756227,16:08:27.920876,1,-1.0
1,16:08:22.756227,16:08:28.506969,1,-1.0
1,16:08:22.756227,16:08:28.917871,1,-1.0
1,16:08:22.756227,16:08:29.387739,1,-1.0
1,16:08:22.756227,16:08:29.825124,1,-1.0
1,16:08:22.756227,16:08:30.625932,1,-1.0
1,16:08:22.756227,16:08:31.041431,1,-1.0
1,16:08:22.756227,16:08:31.408742,1,-1.0
1,16:08:22.756227,16:08:31.812630,1,-1.0
1,16:08:22.756227,16:08:32.171669,1,-1.0
1,16:08:22.756227,16:08:32.517891,1,-1.0
1,16:08:22.756227,16:08:32.871732,1,-1.0
1,16:08:22.756227,16:08:33.272790,1,-1.0
1,16:08:22.756227,16:08:33.629194,1,-1.0
1,16:08:22.756227,16:08:33.977640,1,-1.0
1,16:08:22.756227,16:08:34.376562,1,-1.0
1,16:08:22.756227,16:08:34.767114,1,-1.0
1,16:08:22.756227,16:08:35.187812,1,-1.0
1,16:08:22.756227,16:08:35.605378,1,-1.0
1,16:08:22.756227,16:08:36.034264,1,-1.0
1,16:08:22.756227,16:08:36.525096,1,-1.0
1,16:08:22.756227,16:08:36.904655,1,-1.0
1,16:08:22.756227,16:08:37.303803,1,-1.0
1,16:08:22.756227,16:08:37.681804,1,-1.0
1,16:08:22.756227,16:08:38.110532,1,-1.0
1,16:08:22.756227,16:08:38.524680,1,-1.0
1,16:08:22.756227,16:08:38.934023,1,-1.0
1,16:08:22.756227,16:08:39.365470,1,-1.0
1,16:08:22.756227,16:08:39.786630,1,-1.0
1,16:08:22.756227,16:08:40.129105,1,-1.0
1,16:08:22.756227,16:08:40.452303,1,-1.0
1,16:08:22.756227,16:08:40.806699,1,-1.0
1,16:08:22.756227,16:08:41.142051,1,-1.0
1,16:08:22.756227,16:08:41.519385,1,-1.0
1,16:08:22.756227,16:08:41.793429,1,-1.0
1,16:08:22.756227,16:08:42.220494,1,-1.0
1,16:08:22.756227,16:08:42.600257,1,-1.0
1,16:08:22.756227,16:08:42.953035,1,-1.0
1,16:08:22.756227,16:08:43.351908,1,-1.0
1,16:08:22.756227,16:08:43.640066,1,-1.0
1,16:08:22.756227,16:08:43.903845,1,-1.0
1,16:08:22.756227,16:08:44.154358,1,-1.0
1,16:08:22.756227,16:08:44.404946,1,-1.0
1,16:08:22.756227,16:08:44.771281,1,-1.0
1,16:08:22.756227,16:08:45.329273,1,-1.0
1,16:08:22.756227,16:08:45.866599,1,-1.0
1,16:08:22.756227,16:08:46.387638,1,-1.0
1,16:08:22.756227,16:08:46.791622,1,-1.0
1,16:08:22.756227,16:08:47.078761,1,-1.0
1,16:08:22.756227,16:08:47.435162,1,-1.0
1,16:08:22.756227,16:08:47.739472,1,-1.0
1,16:08:22.756227,16:08:48.026670,1,-1.0
1,16:08:22.756227,16:08:48.289140,1,-1.0
1,16:08:22.756227,16:08:48.535325,1,-1.0
1,16:08:22.756227,16:08:48.819256,1,-1.0
1,16:08:22.756227,16:08:49.098653,1,-1.0
1,16:08:22.756227,16:08:49.382673,1,-1.0
1,16:08:22.756227,16:08:49.768133,1,-1.0
1,16:08:22.756227,16:08:50.082021,1,-1.0
1,16:08:22.756227,16:08:50.354585,1,-1.0
1,16:08:22.756227,16:08:50.620339,1,-1.0
1,16:08:22.756227,16:08:50.822655,1,-1.0
1,16:08:22.756227,16:08:51.025572,1,-1.0
1,16:08:22.756227,16:08:51.372158,1,-1.0
1,16:08:22.756227,16:08:51.652121,1,-1.0
1,16:08:22.756227,16:08:51.929198,1,-1.0
1,16:08:22.756227,16:08:52.192731,1,-1.0
