Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:11:15.445197,15:11:17.941875,-1,1.0
1,15:11:15.445197,15:11:19.605673,-1,1.0
1,15:11:15.445197,15:11:20.271753,-1,1.0
1,15:11:15.445197,15:11:21.638182,-1,1.0
1,15:11:15.445197,15:11:22.216552,-1,1.0
1,15:11:15.445197,15:11:23.156887,-1,1.0
1,15:11:15.445197,15:11:23.657955,-1,1.0
1,15:11:15.445197,15:11:24.187055,-1,1.0
1,15:11:15.445197,15:11:25.212227,-1,1.0
1,15:11:15.445197,15:11:25.703296,-1,1.0
1,15:11:15.445197,15:11:26.131937,-1,1.0
1,15:11:15.445197,15:11:26.626048,-1,1.0
1,15:11:15.445197,15:11:27.072804,-1,1.0
1,15:11:15.445197,15:11:27.556792,-1,1.0
1,15:11:15.445197,15:11:28.037013,-1,1.0
1,15:11:15.445197,15:11:28.426121,-1,1.0
1,15:11:15.445197,15:11:28.874277,-1,1.0
1,15:11:15.445197,15:11:29.303538,-1,1.0
1,15:11:15.445197,15:11:29.708114,-1,1.0
1,15:11:15.445197,15:11:30.101745,-1,1.0
1,15:11:15.445197,15:11:30.514461,-1,1.0
2,15:11:30.537861,15:11:35.422580,-1,1.0
2,15:11:30.537861,15:11:35.552059,-1,1.0
2,15:11:30.537861,15:11:37.342784,-1,1.0
2,15:11:30.537861,15:11:37.776467,-1,1.0
2,15:11:30.537861,15:11:38.506038,-1,1.0
2,15:11:30.537861,15:11:38.998313,1,1.0
