Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,17:42:13.839094,17:42:17.250789,-1,-1.0
1,17:42:13.839094,17:42:18.072560,-1,-1.0
1,17:42:13.839094,17:42:18.672532,-1,-1.0
1,17:42:13.839094,17:42:19.399579,-1,-1.0
1,17:42:13.839094,17:42:20.111220,-1,-1.0
1,17:42:13.839094,17:42:20.568864,1,-1.0
1,17:42:13.839094,17:42:21.511081,-1,-1.0
1,17:42:13.839094,17:42:22.575518,1,-1.0
1,17:42:13.839094,17:42:23.438849,1,-1.0
1,17:42:13.839094,17:42:26.388342,-1,-1.0
1,17:42:13.839094,17:42:26.951590,-1,-1.0
1,17:42:13.839094,17:42:27.419398,1,-1.0
1,17:42:13.839094,17:42:28.055186,1,-1.0
1,17:42:13.839094,17:42:28.928695,1,-1.0
1,17:42:13.839094,17:42:29.777979,1,-1.0
1,17:42:13.839094,17:42:30.688975,-1,-1.0
1,17:42:13.839094,17:42:31.387645,1,-1.0
1,17:42:13.839094,17:42:32.104462,1,-1.0
1,17:42:13.839094,17:42:33.091410,1,-1.0
1,17:42:13.839094,17:42:34.624172,1,-1.0
1,17:42:13.839094,17:42:35.201354,1,-1.0
1,17:42:13.839094,17:42:36.074477,1,-1.0
1,17:42:13.839094,17:42:37.197714,-1,-1.0
1,17:42:13.839094,17:42:38.369106,1,-1.0
1,17:42:13.839094,17:42:40.141059,-1,-1.0
1,17:42:13.839094,17:42:40.601778,1,-1.0
1,17:42:13.839094,17:42:41.133219,1,-1.0
1,17:42:13.839094,17:42:41.750275,1,-1.0
1,17:42:13.839094,17:42:42.687405,1,-1.0
1,17:42:13.839094,17:42:45.440758,1,-1.0
1,17:42:13.839094,17:42:46.169787,-1,-1.0
1,17:42:13.839094,17:42:46.662074,1,-1.0
1,17:42:13.839094,17:42:47.367107,1,-1.0
1,17:42:13.839094,17:42:48.527297,-1,-1.0
1,17:42:13.839094,17:42:49.634510,1,-1.0
1,17:42:13.839094,17:42:50.148794,1,-1.0
1,17:42:13.839094,17:42:50.693597,-1,-1.0
1,17:42:13.839094,17:42:51.990965,1,-1.0
1,17:42:13.839094,17:42:52.803034,1,-1.0
1,17:42:13.839094,17:42:55.742694,-1,-1.0
1,17:42:13.839094,17:42:56.210369,1,-1.0
1,17:42:13.839094,17:42:56.625901,1,-1.0
1,17:42:13.839094,17:42:57.236286,1,-1.0
1,17:42:13.839094,17:43:00.270711,1,-1.0
1,17:42:13.839094,17:43:00.674921,1,-1.0
1,17:42:13.839094,17:43:02.292922,-1,-1.0
1,17:42:13.839094,17:43:03.134213,-1,-1.0
1,17:42:13.839094,17:43:03.612742,1,-1.0
1,17:42:13.839094,17:43:04.405764,1,-1.0
1,17:42:13.839094,17:43:04.997747,1,-1.0
1,17:42:13.839094,17:43:05.571952,1,-1.0
1,17:42:13.839094,17:43:07.517866,-1,-1.0
1,17:42:13.839094,17:43:08.037870,1,-1.0
1,17:42:13.839094,17:43:08.532238,1,-1.0
1,17:42:13.839094,17:43:11.389601,1,-1.0
1,17:42:13.839094,17:43:11.798939,1,-1.0
1,17:42:13.839094,17:43:12.170667,1,-1.0
1,17:42:13.839094,17:43:12.743811,1,-1.0
1,17:42:13.839094,17:43:13.610053,1,-1.0
1,17:42:13.839094,17:43:14.142653,1,-1.0
1,17:42:13.839094,17:43:14.653423,1,-1.0
1,17:42:13.839094,17:43:15.027236,1,-1.0
1,17:42:13.839094,17:43:15.405118,1,-1.0
1,17:42:13.839094,17:43:15.823332,1,-1.0
1,17:42:13.839094,17:43:16.642402,1,-1.0
1,17:42:13.839094,17:43:17.572747,1,-1.0
1,17:42:13.839094,17:43:17.844589,1,-1.0
1,17:42:13.839094,17:43:18.168390,1,-1.0
1,17:42:13.839094,17:43:18.481498,1,-1.0
1,17:42:13.839094,17:43:18.805222,1,-1.0
1,17:42:13.839094,17:43:20.217244,1,-1.0
1,17:42:13.839094,17:43:20.621919,1,-1.0
1,17:42:13.839094,17:43:20.872327,1,-1.0
1,17:42:13.839094,17:43:21.071003,1,-1.0
1,17:42:13.839094,17:43:21.316387,1,-1.0
1,17:42:13.839094,17:43:21.676916,1,-1.0
1,17:42:13.839094,17:43:22.272262,1,-1.0
1,17:42:13.839094,17:43:22.616461,1,-1.0
1,17:42:13.839094,17:43:23.152269,1,-1.0
1,17:42:13.839094,17:43:23.331380,1,-1.0
1,17:42:13.839094,17:43:23.628179,1,-1.0
1,17:42:13.839094,17:43:23.863653,1,-1.0
1,17:42:13.839094,17:43:26.488043,1,-1.0
1,17:42:13.839094,17:43:26.793833,1,-1.0
1,17:42:13.839094,17:43:27.345322,-1,-1.0
1,17:42:13.839094,17:43:28.008444,1,-1.0
1,17:42:13.839094,17:43:28.815805,1,-1.0
