Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:48:24.618697,16:48:27.961025,1,-1.0
1,16:48:24.618697,16:48:28.043018,1,-1.0
1,16:48:24.618697,16:48:28.122461,-1,-1.0
1,16:48:24.618697,16:48:28.209838,1,-1.0
1,16:48:24.618697,16:48:28.294103,1,-1.0
1,16:48:24.618697,16:48:28.376651,1,-1.0
1,16:48:24.618697,16:48:28.455485,1,-1.0
1,16:48:24.618697,16:48:28.536117,1,-1.0
1,16:48:24.618697,16:48:28.615284,1,-1.0
1,16:48:24.618697,16:48:28.696621,1,-1.0
1,16:48:24.618697,16:48:28.779665,1,-1.0
1,16:48:24.618697,16:48:28.858106,1,-1.0
1,16:48:24.618697,16:48:28.946503,1,-1.0
1,16:48:24.618697,16:48:29.028553,1,-1.0
1,16:48:24.618697,16:48:29.113405,1,-1.0
1,16:48:24.618697,16:48:29.193961,-1,-1.0
1,16:48:24.618697,16:48:29.277119,-1,-1.0
1,16:48:24.618697,16:48:29.355017,1,-1.0
1,16:48:24.618697,16:48:29.438940,1,-1.0
1,16:48:24.618697,16:48:29.518220,1,-1.0
1,16:48:24.618697,16:48:29.589962,1,-1.0
1,16:48:24.618697,16:48:29.671237,1,-1.0
1,16:48:24.618697,16:48:29.744702,1,-1.0
1,16:48:24.618697,16:48:29.829121,1,-1.0
1,16:48:24.618697,16:48:29.920616,1,-1.0
1,16:48:24.618697,16:48:30.003819,1,-1.0
1,16:48:24.618697,16:48:30.084688,1,-1.0
1,16:48:24.618697,16:48:30.167025,1,-1.0
1,16:48:24.618697,16:48:30.248007,1,-1.0
1,16:48:24.618697,16:48:30.324094,1,-1.0
1,16:48:24.618697,16:48:30.402319,1,-1.0
1,16:48:24.618697,16:48:30.487138,1,-1.0
1,16:48:24.618697,16:48:30.566396,1,-1.0
1,16:48:24.618697,16:48:30.652759,1,-1.0
1,16:48:24.618697,16:48:30.736017,1,-1.0
1,16:48:24.618697,16:48:30.811840,1,-1.0
1,16:48:24.618697,16:48:30.889727,1,-1.0
1,16:48:24.618697,16:48:30.964969,1,-1.0
1,16:48:24.618697,16:48:31.050708,1,-1.0
1,16:48:24.618697,16:48:31.131867,1,-1.0
1,16:48:24.618697,16:48:31.214939,1,-1.0
1,16:48:24.618697,16:48:31.299029,1,-1.0
1,16:48:24.618697,16:48:31.380735,1,-1.0
1,16:48:24.618697,16:48:31.462597,1,-1.0
1,16:48:24.618697,16:48:31.552778,1,-1.0
1,16:48:24.618697,16:48:31.635404,1,-1.0
1,16:48:24.618697,16:48:31.719155,1,-1.0
1,16:48:24.618697,16:48:31.798740,1,-1.0
1,16:48:24.618697,16:48:31.877259,1,-1.0
1,16:48:24.618697,16:48:31.960784,1,-1.0
1,16:48:24.618697,16:48:32.039176,1,-1.0
1,16:48:24.618697,16:48:32.121839,1,-1.0
1,16:48:24.618697,16:48:32.200694,1,-1.0
1,16:48:24.618697,16:48:32.275291,1,-1.0
1,16:48:24.618697,16:48:32.529279,1,-1.0
