Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:10:50.651167,16:10:53.030514,-1,-1.0
1,16:10:50.651167,16:10:54.490195,-1,-1.0
1,16:10:50.651167,16:10:55.224517,1,-1.0
1,16:10:50.651167,16:10:55.639433,1,-1.0
1,16:10:50.651167,16:10:56.023111,1,-1.0
1,16:10:50.651167,16:10:56.774099,1,-1.0
1,16:10:50.651167,16:10:58.159410,-1,-1.0
1,16:10:50.651167,16:10:59.575845,-1,-1.0
1,16:10:50.651167,16:10:59.963492,-1,-1.0
1,16:10:50.651167,16:11:01.562685,1,-1.0
1,16:10:50.651167,16:11:02.123481,-1,-1.0
1,16:10:50.651167,16:11:02.674124,1,-1.0
1,16:10:50.651167,16:11:02.968323,1,-1.0
1,16:10:50.651167,16:11:03.500191,1,-1.0
1,16:10:50.651167,16:11:04.334100,1,-1.0
1,16:10:50.651167,16:11:05.113409,-1,-1.0
1,16:10:50.651167,16:11:05.541419,-1,-1.0
1,16:10:50.651167,16:11:06.117957,-1,-1.0
1,16:10:50.651167,16:11:08.346144,1,-1.0
1,16:10:50.651167,16:11:08.830063,1,-1.0
1,16:10:50.651167,16:11:09.867267,1,-1.0
1,16:10:50.651167,16:11:10.293166,1,-1.0
1,16:10:50.651167,16:11:10.813526,1,-1.0
1,16:10:50.651167,16:11:11.431002,1,-1.0
1,16:10:50.651167,16:11:12.210128,1,-1.0
1,16:10:50.651167,16:11:12.606996,-1,-1.0
1,16:10:50.651167,16:11:13.735582,1,-1.0
1,16:10:50.651167,16:11:14.230312,1,-1.0
1,16:10:50.651167,16:11:14.658335,1,-1.0
1,16:10:50.651167,16:11:15.264277,1,-1.0
1,16:10:50.651167,16:11:15.724300,1,-1.0
1,16:10:50.651167,16:11:16.395258,1,-1.0
1,16:10:50.651167,16:11:16.741611,1,-1.0
1,16:10:50.651167,16:11:17.097003,1,-1.0
1,16:10:50.651167,16:11:17.557762,1,-1.0
1,16:10:50.651167,16:11:17.942725,1,-1.0
1,16:10:50.651167,16:11:18.338536,1,-1.0
1,16:10:50.651167,16:11:19.040226,1,-1.0
1,16:10:50.651167,16:11:19.325426,1,-1.0
1,16:10:50.651167,16:11:19.607245,1,-1.0
1,16:10:50.651167,16:11:19.887349,1,-1.0
1,16:10:50.651167,16:11:20.108575,1,-1.0
1,16:10:50.651167,16:11:20.364030,1,-1.0
1,16:10:50.651167,16:11:20.605637,1,-1.0
1,16:10:50.651167,16:11:20.827904,1,-1.0
1,16:10:50.651167,16:11:21.071087,1,-1.0
1,16:10:50.651167,16:11:21.318790,1,-1.0
1,16:10:50.651167,16:11:21.531798,1,-1.0
1,16:10:50.651167,16:11:21.777619,1,-1.0
1,16:10:50.651167,16:11:22.058531,1,-1.0
1,16:10:50.651167,16:11:22.343664,1,-1.0
1,16:10:50.651167,16:11:22.588523,1,-1.0
1,16:10:50.651167,16:11:22.847231,1,-1.0
1,16:10:50.651167,16:11:23.093634,1,-1.0
1,16:10:50.651167,16:11:23.341255,1,-1.0
1,16:10:50.651167,16:11:23.554950,1,-1.0
1,16:10:50.651167,16:11:23.798571,1,-1.0
1,16:10:50.651167,16:11:24.061290,1,-1.0
1,16:10:50.651167,16:11:24.303809,1,-1.0
1,16:10:50.651167,16:11:24.528218,1,-1.0
1,16:10:50.651167,16:11:24.761886,1,-1.0
1,16:10:50.651167,16:11:25.046852,1,-1.0
1,16:10:50.651167,16:11:25.343422,1,-1.0
1,16:10:50.651167,16:11:25.587408,1,-1.0
1,16:10:50.651167,16:11:25.799280,1,-1.0
1,16:10:50.651167,16:11:26.031286,1,-1.0
1,16:10:50.651167,16:11:26.249348,1,-1.0
1,16:10:50.651167,16:11:26.483419,1,-1.0
1,16:10:50.651167,16:11:26.713805,1,-1.0
1,16:10:50.651167,16:11:26.954125,1,-1.0
1,16:10:50.651167,16:11:27.178044,1,-1.0
1,16:10:50.651167,16:11:27.399243,1,-1.0
1,16:10:50.651167,16:11:27.614503,1,-1.0
1,16:10:50.651167,16:11:27.975529,1,-1.0
1,16:10:50.651167,16:11:28.195294,1,-1.0
