Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,18:23:43.195089,18:23:51.814468,1,-1.0
1,18:23:43.195089,18:23:51.921683,1,-1.0
1,18:23:43.195089,18:23:52.091198,1,-1.0
1,18:23:43.195089,18:23:52.650643,1,-1.0
1,18:23:43.195089,18:23:52.875557,-1,-1.0
1,18:23:43.195089,18:23:53.029587,-1,-1.0
1,18:23:43.195089,18:23:53.128387,-1,-1.0
1,18:23:43.195089,18:23:53.355493,-1,-1.0
1,18:23:43.195089,18:23:53.647842,-1,-1.0
1,18:23:43.195089,18:23:56.674358,-1,-1.0
1,18:23:43.195089,18:23:56.773306,-1,-1.0
1,18:23:43.195089,18:23:56.881921,-1,-1.0
1,18:23:43.195089,18:23:56.976279,-1,-1.0
1,18:23:43.195089,18:23:57.082485,-1,-1.0
1,18:23:43.195089,18:23:57.183181,-1,-1.0
1,18:23:43.195089,18:23:57.284446,-1,-1.0
1,18:23:43.195089,18:23:57.392722,-1,-1.0
1,18:23:43.195089,18:23:57.495489,-1,-1.0
1,18:23:43.195089,18:23:57.593609,-1,-1.0
1,18:23:43.195089,18:24:02.804755,1,-1.0
1,18:23:43.195089,18:24:02.910095,1,-1.0
1,18:23:43.195089,18:24:03.021038,1,-1.0
1,18:23:43.195089,18:24:03.124543,1,-1.0
1,18:23:43.195089,18:24:03.218272,1,-1.0
1,18:23:43.195089,18:24:03.325115,1,-1.0
1,18:23:43.195089,18:24:03.446777,1,-1.0
1,18:23:43.195089,18:24:03.565714,1,-1.0
1,18:23:43.195089,18:24:03.677253,-1,-1.0
1,18:23:43.195089,18:24:05.534497,1,-1.0
1,18:23:43.195089,18:24:05.622727,1,-1.0
1,18:23:43.195089,18:24:05.715246,1,-1.0
1,18:23:43.195089,18:24:05.822908,1,-1.0
1,18:23:43.195089,18:24:05.921584,1,-1.0
1,18:23:43.195089,18:24:06.012968,1,-1.0
1,18:23:43.195089,18:24:06.105249,1,-1.0
1,18:23:43.195089,18:24:06.199220,1,-1.0
1,18:23:43.195089,18:24:06.280972,1,-1.0
1,18:23:43.195089,18:24:06.395537,1,-1.0
1,18:23:43.195089,18:24:06.527702,-1,-1.0
1,18:23:43.195089,18:24:08.282378,1,-1.0
1,18:23:43.195089,18:24:08.380557,1,-1.0
1,18:23:43.195089,18:24:08.472802,1,-1.0
1,18:23:43.195089,18:24:08.583323,1,-1.0
1,18:23:43.195089,18:24:08.692705,1,-1.0
1,18:23:43.195089,18:24:08.807264,1,-1.0
1,18:23:43.195089,18:24:08.902338,-1,-1.0
1,18:23:43.195089,18:24:08.996675,-1,-1.0
1,18:23:43.195089,18:24:09.100281,-1,-1.0
1,18:23:43.195089,18:24:09.188724,-1,-1.0
