Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,16:28:15.884415,16:28:17.073809,1,1.0
2,16:28:15.884415,16:28:17.163303,1,1.0
2,16:28:15.884415,16:28:17.246190,1,1.0
2,16:28:15.884415,16:28:17.327519,1,1.0
2,16:28:15.884415,16:28:17.406877,1,1.0
2,16:28:15.884415,16:28:17.502199,1,1.0
2,16:28:15.884415,16:28:17.580157,1,1.0
2,16:28:15.884415,16:28:17.653601,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,16:28:17.671489,16:28:17.748540,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,16:28:20.606190,16:28:22.560799,1,1.0
4,16:28:20.606190,16:28:23.762457,1,1.0
4,16:28:20.606190,16:28:23.842306,1,1.0
4,16:28:20.606190,16:28:23.920713,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,16:28:27.577885,16:28:29.717668,1,1.0
6,16:28:27.577885,16:28:29.802647,1,1.0
6,16:28:27.577885,16:28:29.895518,1,1.0
6,16:28:27.577885,16:28:29.958328,1,1.0
6,16:28:27.577885,16:28:30.039120,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
7,16:28:30.055084,16:28:30.121206,1,1.0
7,16:28:30.055084,16:28:30.199268,1,1.0
7,16:28:30.055084,16:28:30.284715,1,1.0
7,16:28:30.055084,16:28:30.362885,1,1.0
7,16:28:30.055084,16:28:30.431862,1,1.0
7,16:28:30.055084,16:28:30.506869,1,1.0
7,16:28:30.055084,16:28:30.581570,1,1.0
7,16:28:30.055084,16:28:30.663759,1,1.0
7,16:28:30.055084,16:28:30.735163,1,1.0
7,16:28:30.055084,16:28:30.815576,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
8,16:28:30.845564,16:28:30.924803,1,1.0
8,16:28:30.845564,16:28:31.002507,1,1.0
8,16:28:30.845564,16:28:31.074685,1,1.0
8,16:28:30.845564,16:28:31.156417,1,1.0
8,16:28:30.845564,16:28:31.233184,1,1.0
8,16:28:30.845564,16:28:31.310332,1,1.0
8,16:28:30.845564,16:28:31.384580,1,1.0
8,16:28:30.845564,16:28:31.463594,1,1.0
8,16:28:30.845564,16:28:31.540033,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
9,16:28:31.564080,16:28:31.638833,1,1.0
9,16:28:31.564080,16:28:31.722451,1,1.0
9,16:28:31.564080,16:28:31.801092,1,1.0
9,16:28:31.564080,16:28:31.877260,1,1.0
9,16:28:31.564080,16:28:31.951210,1,1.0
9,16:28:31.564080,16:28:32.033454,1,1.0
9,16:28:31.564080,16:28:32.109145,1,1.0
9,16:28:31.564080,16:28:32.187493,1,1.0
9,16:28:31.564080,16:28:32.268010,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
10,16:28:32.285287,16:28:32.364971,1,1.0
10,16:28:32.285287,16:28:32.447030,1,1.0
10,16:28:32.285287,16:28:32.518468,1,1.0
10,16:28:32.285287,16:28:32.596549,1,1.0
10,16:28:32.285287,16:28:32.684691,1,1.0
10,16:28:32.285287,16:28:32.763972,1,1.0
10,16:28:32.285287,16:28:32.847092,1,1.0
10,16:28:32.285287,16:28:32.934052,1,1.0
