Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:52:08.144554,11:52:12.764663,1,-1.0
1,11:52:08.144554,11:52:13.160440,1,-1.0
1,11:52:08.144554,11:52:13.492771,1,-1.0
1,11:52:08.144554,11:52:13.822359,1,-1.0
1,11:52:08.144554,11:52:14.139758,1,-1.0
1,11:52:08.144554,11:52:14.485897,1,-1.0
1,11:52:08.144554,11:52:14.802942,1,-1.0
1,11:52:08.144554,11:52:15.087430,1,-1.0
1,11:52:08.144554,11:52:15.389357,1,-1.0
1,11:52:08.144554,11:52:15.659364,1,-1.0
1,11:52:08.144554,11:52:15.928467,1,-1.0
1,11:52:08.144554,11:52:16.205845,1,-1.0
1,11:52:08.144554,11:52:17.192211,1,-1.0
1,11:52:08.144554,11:52:17.669372,1,-1.0
1,11:52:08.144554,11:52:17.885481,1,-1.0
1,11:52:08.144554,11:52:18.113139,1,-1.0
1,11:52:08.144554,11:52:18.321887,1,-1.0
1,11:52:08.144554,11:52:18.506168,1,-1.0
1,11:52:08.144554,11:52:18.716573,1,-1.0
1,11:52:08.144554,11:52:18.930609,1,-1.0
1,11:52:08.144554,11:52:19.226092,1,-1.0
1,11:52:08.144554,11:52:19.351630,1,-1.0
1,11:52:08.144554,11:52:19.561986,1,-1.0
1,11:52:08.144554,11:52:19.811532,1,-1.0
1,11:52:08.144554,11:52:20.119969,1,-1.0
1,11:52:08.144554,11:52:21.085784,-1,-1.0
1,11:52:08.144554,11:52:21.396875,-1,-1.0
1,11:52:08.144554,11:52:21.693916,-1,-1.0
1,11:52:08.144554,11:52:21.981749,-1,-1.0
1,11:52:08.144554,11:52:22.217631,-1,-1.0
1,11:52:08.144554,11:52:22.944381,-1,-1.0
1,11:52:08.144554,11:52:23.535927,-1,-1.0
1,11:52:08.144554,11:52:23.886438,-1,-1.0
1,11:52:08.144554,11:52:24.225876,-1,-1.0
1,11:52:08.144554,11:52:24.564305,-1,-1.0
1,11:52:08.144554,11:52:25.184413,-1,-1.0
1,11:52:08.144554,11:52:25.917230,1,-1.0
1,11:52:08.144554,11:52:26.163547,1,-1.0
