Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:21:42.251220,12:21:46.399129,-1,-1.0
1,12:21:42.251220,12:21:48.274974,1,-1.0
1,12:21:42.251220,12:21:53.362664,1,-1.0
1,12:21:42.251220,12:21:54.577882,-1,-1.0
1,12:21:42.251220,12:21:55.597813,-1,-1.0
1,12:21:42.251220,12:21:56.407261,1,-1.0
1,12:21:42.251220,12:22:03.083689,-1,-1.0
1,12:21:42.251220,12:22:04.071107,-1,-1.0
1,12:21:42.251220,12:22:05.477158,-1,-1.0
1,12:21:42.251220,12:22:06.219460,1,-1.0
1,12:21:42.251220,12:22:06.916783,1,-1.0
1,12:21:42.251220,12:22:07.827898,-1,-1.0
1,12:21:42.251220,12:22:08.380485,1,-1.0
1,12:21:42.251220,12:22:08.741036,1,-1.0
1,12:21:42.251220,12:22:09.737407,1,-1.0
1,12:21:42.251220,12:22:10.438286,1,-1.0
1,12:21:42.251220,12:22:11.556829,-1,-1.0
1,12:21:42.251220,12:22:12.169596,1,-1.0
1,12:21:42.251220,12:22:12.485120,1,-1.0
1,12:21:42.251220,12:22:12.877857,1,-1.0
1,12:21:42.251220,12:22:13.642262,1,-1.0
1,12:21:42.251220,12:22:15.573654,1,-1.0
1,12:21:42.251220,12:22:16.480780,1,-1.0
1,12:21:42.251220,12:22:16.780053,1,-1.0
1,12:21:42.251220,12:22:17.107940,1,-1.0
1,12:21:42.251220,12:22:17.441284,1,-1.0
1,12:21:42.251220,12:22:17.932030,1,-1.0
1,12:21:42.251220,12:22:19.006782,1,-1.0
1,12:21:42.251220,12:22:19.211450,1,-1.0
1,12:21:42.251220,12:22:19.385658,1,-1.0
1,12:21:42.251220,12:22:19.756580,1,-1.0
1,12:21:42.251220,12:22:20.064301,1,-1.0
1,12:21:42.251220,12:22:20.800815,1,-1.0
1,12:21:42.251220,12:22:20.991290,1,-1.0
1,12:21:42.251220,12:22:21.505787,1,-1.0
1,12:21:42.251220,12:22:21.895904,1,-1.0
1,12:21:42.251220,12:22:23.137468,1,-1.0
1,12:21:42.251220,12:22:24.850090,1,-1.0
1,12:21:42.251220,12:22:25.406949,1,-1.0
1,12:21:42.251220,12:22:25.591775,1,-1.0
1,12:21:42.251220,12:22:25.986266,1,-1.0
1,12:21:42.251220,12:22:26.353568,1,-1.0
1,12:21:42.251220,12:22:26.537707,1,-1.0
1,12:21:42.251220,12:22:26.761762,1,-1.0
1,12:21:42.251220,12:22:27.017142,1,-1.0
1,12:21:42.251220,12:22:27.210243,1,-1.0
1,12:21:42.251220,12:22:27.419124,1,-1.0
1,12:21:42.251220,12:22:27.688014,1,-1.0
1,12:21:42.251220,12:22:27.916345,1,-1.0
1,12:21:42.251220,12:22:28.181802,1,-1.0
1,12:21:42.251220,12:22:28.420413,1,-1.0
1,12:21:42.251220,12:22:28.616562,1,-1.0
1,12:21:42.251220,12:22:28.822378,1,-1.0
1,12:21:42.251220,12:22:29.010276,1,-1.0
1,12:21:42.251220,12:22:29.216742,1,-1.0
1,12:21:42.251220,12:22:29.400082,1,-1.0
1,12:21:42.251220,12:22:29.596547,1,-1.0
1,12:21:42.251220,12:22:29.897806,1,-1.0
1,12:21:42.251220,12:22:30.090965,1,-1.0
1,12:21:42.251220,12:22:30.277290,1,-1.0
1,12:21:42.251220,12:22:30.451143,1,-1.0
1,12:21:42.251220,12:22:30.645379,1,-1.0
1,12:21:42.251220,12:22:30.914878,1,-1.0
1,12:21:42.251220,12:22:31.120473,1,-1.0
1,12:21:42.251220,12:22:31.332416,1,-1.0
1,12:21:42.251220,12:22:31.520796,1,-1.0
1,12:21:42.251220,12:22:31.715018,1,-1.0
1,12:21:42.251220,12:22:31.910781,1,-1.0
1,12:21:42.251220,12:22:32.107048,1,-1.0
1,12:21:42.251220,12:22:32.342686,1,-1.0
1,12:21:42.251220,12:22:32.560708,1,-1.0
1,12:21:42.251220,12:22:32.767683,1,-1.0
1,12:21:42.251220,12:22:32.951475,1,-1.0
1,12:21:42.251220,12:22:33.142521,1,-1.0
1,12:21:42.251220,12:22:33.340156,1,-1.0
1,12:21:42.251220,12:22:33.545013,1,-1.0
1,12:21:42.251220,12:22:33.740469,1,-1.0
1,12:21:42.251220,12:22:33.942753,1,-1.0
1,12:21:42.251220,12:22:34.128231,1,-1.0
1,12:21:42.251220,12:22:34.352148,1,-1.0
1,12:21:42.251220,12:22:34.540896,1,-1.0
1,12:21:42.251220,12:22:34.839775,1,-1.0
1,12:21:42.251220,12:22:35.065674,1,-1.0
1,12:21:42.251220,12:22:35.270722,1,-1.0
1,12:21:42.251220,12:22:35.471105,1,-1.0
1,12:21:42.251220,12:22:35.675318,1,-1.0
1,12:21:42.251220,12:22:35.876711,1,-1.0
1,12:21:42.251220,12:22:36.050366,1,-1.0
