Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,17:23:18.590947,17:23:31.172553,1,-1.0
1,17:23:18.590947,17:23:31.244135,1,-1.0
1,17:23:18.590947,17:23:31.317930,1,-1.0
1,17:23:18.590947,17:23:31.393505,1,-1.0
1,17:23:18.590947,17:23:31.765970,1,-1.0
1,17:23:18.590947,17:23:31.841693,1,-1.0
1,17:23:18.590947,17:23:31.915776,1,-1.0
1,17:23:18.590947,17:23:31.991037,1,-1.0
1,17:23:18.590947,17:23:32.060995,1,-1.0
1,17:23:18.590947,17:23:32.131994,1,-1.0
1,17:23:18.590947,17:23:32.203392,1,-1.0
1,17:23:18.590947,17:23:32.280249,1,-1.0
1,17:23:18.590947,17:23:32.363206,1,-1.0
1,17:23:18.590947,17:23:32.437093,1,-1.0
1,17:23:18.590947,17:23:32.509197,1,-1.0
1,17:23:18.590947,17:23:32.579080,1,-1.0
1,17:23:18.590947,17:23:32.652915,1,-1.0
1,17:23:18.590947,17:23:32.724780,1,-1.0
1,17:23:18.590947,17:23:32.794891,1,-1.0
1,17:23:18.590947,17:23:32.867262,1,-1.0
1,17:23:18.590947,17:23:32.938887,1,-1.0
1,17:23:18.590947,17:23:33.008327,1,-1.0
1,17:23:18.590947,17:23:33.078217,1,-1.0
1,17:23:18.590947,17:23:33.154900,1,-1.0
1,17:23:18.590947,17:23:33.223396,1,-1.0
1,17:23:18.590947,17:23:33.293526,1,-1.0
1,17:23:18.590947,17:23:33.363627,1,-1.0
1,17:23:18.590947,17:23:33.440344,1,-1.0
1,17:23:18.590947,17:23:33.513206,1,-1.0
1,17:23:18.590947,17:23:33.587882,1,-1.0
1,17:23:18.590947,17:23:33.662684,-1,-1.0
1,17:23:18.590947,17:23:33.734396,-1,-1.0
1,17:23:18.590947,17:23:33.808205,-1,-1.0
1,17:23:18.590947,17:23:33.883258,-1,-1.0
1,17:23:18.590947,17:23:33.957181,-1,-1.0
1,17:23:18.590947,17:23:34.028070,-1,-1.0
1,17:23:18.590947,17:23:34.102843,-1,-1.0
1,17:23:18.590947,17:23:34.179660,-1,-1.0
1,17:23:18.590947,17:23:34.254802,-1,-1.0
1,17:23:18.590947,17:23:34.326002,-1,-1.0
1,17:23:18.590947,17:23:34.395895,-1,-1.0
1,17:23:18.590947,17:23:36.304592,1,-1.0
1,17:23:18.590947,17:23:36.378963,1,-1.0
1,17:23:18.590947,17:23:36.452662,1,-1.0
1,17:23:18.590947,17:23:36.522277,1,-1.0
1,17:23:18.590947,17:23:36.592134,1,-1.0
1,17:23:18.590947,17:23:36.659922,1,-1.0
1,17:23:18.590947,17:23:36.732233,1,-1.0
1,17:23:18.590947,17:23:36.802172,1,-1.0
1,17:23:18.590947,17:23:36.874373,1,-1.0
1,17:23:18.590947,17:23:36.947092,1,-1.0
1,17:23:18.590947,17:23:37.019953,1,-1.0
1,17:23:18.590947,17:23:37.092513,1,-1.0
1,17:23:18.590947,17:23:37.160499,1,-1.0
1,17:23:18.590947,17:23:37.237008,1,-1.0
1,17:23:18.590947,17:23:37.311277,1,-1.0
1,17:23:18.590947,17:23:37.386756,1,-1.0
1,17:23:18.590947,17:23:37.456731,1,-1.0
1,17:23:18.590947,17:23:37.533578,1,-1.0
1,17:23:18.590947,17:23:37.606090,1,-1.0
1,17:23:18.590947,17:23:37.676838,1,-1.0
1,17:23:18.590947,17:23:37.752249,1,-1.0
1,17:23:18.590947,17:23:37.830429,1,-1.0
1,17:23:18.590947,17:23:37.910321,1,-1.0
1,17:23:18.590947,17:23:37.984460,1,-1.0
1,17:23:18.590947,17:23:38.060199,1,-1.0
1,17:23:18.590947,17:23:38.134915,1,-1.0
1,17:23:18.590947,17:23:38.208524,1,-1.0
1,17:23:18.590947,17:23:38.280577,1,-1.0
1,17:23:18.590947,17:23:38.349769,1,-1.0
1,17:23:18.590947,17:23:38.424309,1,-1.0
1,17:23:18.590947,17:23:38.498889,-1,-1.0
1,17:23:18.590947,17:23:38.573218,-1,-1.0
1,17:23:18.590947,17:23:38.646801,-1,-1.0
1,17:23:18.590947,17:23:38.721530,-1,-1.0
1,17:23:18.590947,17:23:38.791013,-1,-1.0
1,17:23:18.590947,17:23:38.864168,-1,-1.0
