Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:36:17.961919,11:36:24.940040,1,-1.0
1,11:36:17.961919,11:36:25.768181,1,-1.0
1,11:36:17.961919,11:36:26.138235,1,-1.0
1,11:36:17.961919,11:36:26.373516,1,-1.0
1,11:36:17.961919,11:36:26.569866,1,-1.0
1,11:36:17.961919,11:36:26.763387,1,-1.0
1,11:36:17.961919,11:36:26.958246,1,-1.0
1,11:36:17.961919,11:36:27.157673,1,-1.0
1,11:36:17.961919,11:36:27.360121,1,-1.0
1,11:36:17.961919,11:36:27.563654,1,-1.0
1,11:36:17.961919,11:36:27.750413,1,-1.0
1,11:36:17.961919,11:36:27.932476,1,-1.0
1,11:36:17.961919,11:36:28.127133,1,-1.0
1,11:36:17.961919,11:36:28.321199,1,-1.0
1,11:36:17.961919,11:36:28.504360,1,-1.0
1,11:36:17.961919,11:36:28.700882,1,-1.0
1,11:36:17.961919,11:36:28.896658,1,-1.0
1,11:36:17.961919,11:36:29.080313,1,-1.0
1,11:36:17.961919,11:36:29.287744,1,-1.0
1,11:36:17.961919,11:36:29.489986,1,-1.0
1,11:36:17.961919,11:36:29.686449,1,-1.0
1,11:36:17.961919,11:36:29.893165,1,-1.0
1,11:36:17.961919,11:36:30.089063,1,-1.0
1,11:36:17.961919,11:36:30.295943,1,-1.0
1,11:36:17.961919,11:36:30.514361,1,-1.0
1,11:36:17.961919,11:36:30.710477,1,-1.0
1,11:36:17.961919,11:36:30.908471,1,-1.0
1,11:36:17.961919,11:36:31.112263,1,-1.0
1,11:36:17.961919,11:36:31.317828,1,-1.0
1,11:36:17.961919,11:36:31.500620,1,-1.0
1,11:36:17.961919,11:36:31.703699,1,-1.0
1,11:36:17.961919,11:36:31.927935,1,-1.0
1,11:36:17.961919,11:36:32.133402,1,-1.0
1,11:36:17.961919,11:36:32.336863,1,-1.0
1,11:36:17.961919,11:36:32.553456,1,-1.0
1,11:36:17.961919,11:36:32.766668,1,-1.0
1,11:36:17.961919,11:36:32.982497,1,-1.0
1,11:36:17.961919,11:36:33.218916,1,-1.0
1,11:36:17.961919,11:36:33.448388,1,-1.0
1,11:36:17.961919,11:36:34.614544,1,-1.0
1,11:36:17.961919,11:36:35.149507,-1,-1.0
1,11:36:17.961919,11:36:35.900569,-1,-1.0
1,11:36:17.961919,11:36:36.343766,-1,-1.0
1,11:36:17.961919,11:36:36.753609,-1,-1.0
1,11:36:17.961919,11:36:37.021486,-1,-1.0
1,11:36:17.961919,11:36:37.236489,-1,-1.0
1,11:36:17.961919,11:36:37.432546,-1,-1.0
1,11:36:17.961919,11:36:37.660251,-1,-1.0
1,11:36:17.961919,11:36:37.855727,-1,-1.0
1,11:36:17.961919,11:36:38.058046,-1,-1.0
1,11:36:17.961919,11:36:38.249966,-1,-1.0
1,11:36:17.961919,11:36:38.447082,-1,-1.0
1,11:36:17.961919,11:36:39.601256,-1,-1.0
1,11:36:17.961919,11:36:40.967314,-1,-1.0
1,11:36:17.961919,11:36:41.438914,-1,-1.0
1,11:36:17.961919,11:36:42.103621,1,-1.0
1,11:36:17.961919,11:36:42.560160,1,-1.0
1,11:36:17.961919,11:36:42.723643,1,-1.0
1,11:36:17.961919,11:36:42.895667,1,-1.0
1,11:36:17.961919,11:36:43.079620,1,-1.0
1,11:36:17.961919,11:36:43.242344,1,-1.0
1,11:36:17.961919,11:36:43.405909,1,-1.0
1,11:36:17.961919,11:36:43.579892,1,-1.0
