Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,18:46:16.066291,18:46:19.952380,1,1.0
1,18:46:16.066291,18:46:21.101607,-1,1.0
1,18:46:16.066291,18:46:22.435475,-1,1.0
1,18:46:16.066291,18:46:23.474764,-1,1.0
1,18:46:16.066291,18:46:24.266662,-1,1.0
1,18:46:16.066291,18:46:25.091259,-1,1.0
1,18:46:16.066291,18:46:25.742689,-1,1.0
1,18:46:16.066291,18:46:26.408445,-1,1.0
1,18:46:16.066291,18:46:28.045491,-1,1.0
1,18:46:16.066291,18:46:28.858349,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,18:46:28.878686,18:46:32.399295,-1,1.0
2,18:46:28.878686,18:46:33.225639,-1,1.0
2,18:46:28.878686,18:46:33.765216,-1,1.0
2,18:46:28.878686,18:46:34.251777,-1,1.0
2,18:46:28.878686,18:46:34.811599,-1,1.0
2,18:46:28.878686,18:46:35.321506,-1,1.0
2,18:46:28.878686,18:46:35.945666,-1,1.0
2,18:46:28.878686,18:46:37.409362,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,18:46:37.434342,18:46:40.861285,-1,1.0
3,18:46:37.434342,18:46:43.190744,1,1.0
3,18:46:37.434342,18:46:45.232721,-1,1.0
3,18:46:37.434342,18:46:46.118606,-1,1.0
3,18:46:37.434342,18:46:47.348971,-1,1.0
3,18:46:37.434342,18:46:47.860449,-1,1.0
3,18:46:37.434342,18:46:48.480953,-1,1.0
3,18:46:37.434342,18:46:48.974438,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,18:46:48.997298,18:46:56.777041,-1,1.0
4,18:46:48.997298,18:46:57.838164,-1,1.0
4,18:46:48.997298,18:46:58.460934,-1,1.0
4,18:46:48.997298,18:46:59.480443,-1,1.0
4,18:46:48.997298,18:46:59.920814,-1,1.0
4,18:46:48.997298,18:47:00.402258,-1,1.0
4,18:46:48.997298,18:47:00.836247,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,18:47:00.858552,18:47:03.240275,-1,1.0
5,18:47:00.858552,18:47:03.568541,-1,1.0
5,18:47:00.858552,18:47:03.861562,-1,1.0
5,18:47:00.858552,18:47:04.137523,-1,1.0
5,18:47:00.858552,18:47:04.423515,-1,1.0
5,18:47:00.858552,18:47:04.710802,-1,1.0
5,18:47:00.858552,18:47:05.030743,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,18:47:05.054903,18:47:06.376827,-1,1.0
6,18:47:05.054903,18:47:06.791687,-1,1.0
6,18:47:05.054903,18:47:07.541399,-1,1.0
6,18:47:05.054903,18:47:08.279811,-1,1.0
6,18:47:05.054903,18:47:08.722395,-1,1.0
6,18:47:05.054903,18:47:09.132192,-1,1.0
6,18:47:05.054903,18:47:09.437544,-1,1.0
6,18:47:05.054903,18:47:09.708449,-1,1.0
6,18:47:05.054903,18:47:10.022340,-1,1.0
6,18:47:05.054903,18:47:10.398347,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
7,18:47:10.422937,18:47:12.346507,-1,1.0
7,18:47:10.422937,18:47:13.814568,-1,1.0
7,18:47:10.422937,18:47:14.201024,-1,1.0
7,18:47:10.422937,18:47:14.517465,-1,1.0
7,18:47:10.422937,18:47:14.799927,-1,1.0
7,18:47:10.422937,18:47:15.047237,-1,1.0
7,18:47:10.422937,18:47:15.521736,-1,1.0
7,18:47:10.422937,18:47:15.838705,-1,1.0
7,18:47:10.422937,18:47:16.653853,-1,1.0
7,18:47:10.422937,18:47:17.181034,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
8,18:47:17.203415,18:47:19.773942,-1,1.0
8,18:47:17.203415,18:47:20.606040,-1,1.0
8,18:47:17.203415,18:47:20.964612,-1,1.0
8,18:47:17.203415,18:47:21.268901,-1,1.0
8,18:47:17.203415,18:47:21.560374,-1,1.0
8,18:47:17.203415,18:47:22.027052,-1,1.0
8,18:47:17.203415,18:47:22.338572,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
9,18:47:22.366761,18:47:26.460306,-1,1.0
9,18:47:22.366761,18:47:27.315966,-1,1.0
9,18:47:22.366761,18:47:27.677121,-1,1.0
9,18:47:22.366761,18:47:27.962487,-1,1.0
9,18:47:22.366761,18:47:28.794997,-1,1.0
9,18:47:22.366761,18:47:29.268105,-1,1.0
9,18:47:22.366761,18:47:29.644469,-1,1.0
9,18:47:22.366761,18:47:29.964647,-1,1.0
9,18:47:22.366761,18:47:30.306948,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
10,18:47:30.344714,18:47:31.995170,-1,1.0
10,18:47:30.344714,18:47:32.264328,-1,1.0
10,18:47:30.344714,18:47:32.488744,-1,1.0
10,18:47:30.344714,18:47:32.707105,-1,1.0
10,18:47:30.344714,18:47:32.948989,-1,1.0
10,18:47:30.344714,18:47:33.217019,-1,1.0
10,18:47:30.344714,18:47:33.518049,-1,1.0
10,18:47:30.344714,18:47:33.807980,-1,1.0
10,18:47:30.344714,18:47:34.151503,-1,1.0
