Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,17:46:50.479571,17:47:01.670921,1,-1.0
1,17:46:50.479571,17:47:01.754766,1,-1.0
1,17:46:50.479571,17:47:01.834014,1,-1.0
1,17:46:50.479571,17:47:01.920271,1,-1.0
1,17:46:50.479571,17:47:02.007508,-1,-1.0
1,17:46:50.479571,17:47:02.085061,-1,-1.0
1,17:46:50.479571,17:47:06.044702,-1,-1.0
1,17:46:50.479571,17:47:06.129150,-1,-1.0
1,17:46:50.479571,17:47:06.209613,-1,-1.0
1,17:46:50.479571,17:47:06.294521,-1,-1.0
1,17:46:50.479571,17:47:06.375504,-1,-1.0
1,17:46:50.479571,17:47:06.462889,-1,-1.0
1,17:46:50.479571,17:47:06.547559,-1,-1.0
1,17:46:50.479571,17:47:06.677506,-1,-1.0
1,17:46:50.479571,17:47:06.767097,-1,-1.0
1,17:46:50.479571,17:47:09.578396,1,-1.0
1,17:46:50.479571,17:47:09.670331,1,-1.0
1,17:46:50.479571,17:47:09.760852,1,-1.0
1,17:46:50.479571,17:47:09.841573,1,-1.0
1,17:46:50.479571,17:47:09.933159,1,-1.0
1,17:46:50.479571,17:47:10.011536,1,-1.0
1,17:46:50.479571,17:47:10.283971,1,-1.0
1,17:46:50.479571,17:47:10.470864,1,-1.0
1,17:46:50.479571,17:47:10.698006,1,-1.0
1,17:46:50.479571,17:47:10.874515,1,-1.0
1,17:46:50.479571,17:47:10.966507,1,-1.0
1,17:46:50.479571,17:47:11.041072,1,-1.0
1,17:46:50.479571,17:47:11.112871,1,-1.0
1,17:46:50.479571,17:47:11.185771,1,-1.0
1,17:46:50.479571,17:47:11.307472,1,-1.0
1,17:46:50.479571,17:47:11.497903,1,-1.0
1,17:46:50.479571,17:47:11.575581,1,-1.0
1,17:46:50.479571,17:47:11.662030,1,-1.0
1,17:46:50.479571,17:47:11.743225,1,-1.0
1,17:46:50.479571,17:47:11.820218,1,-1.0
1,17:46:50.479571,17:47:11.910684,1,-1.0
1,17:46:50.479571,17:47:11.980786,1,-1.0
1,17:46:50.479571,17:47:12.071879,1,-1.0
1,17:46:50.479571,17:47:12.139542,1,-1.0
1,17:46:50.479571,17:47:12.231831,1,-1.0
1,17:46:50.479571,17:47:12.308143,1,-1.0
1,17:46:50.479571,17:47:12.412226,1,-1.0
1,17:46:50.479571,17:47:12.515850,1,-1.0
1,17:46:50.479571,17:47:12.615160,1,-1.0
1,17:46:50.479571,17:47:12.707803,1,-1.0
1,17:46:50.479571,17:47:12.777284,1,-1.0
