Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:10:06.741002,12:10:11.751450,-1,-1.0
1,12:10:06.741002,12:10:12.885495,-1,-1.0
1,12:10:06.741002,12:10:13.610099,1,-1.0
1,12:10:06.741002,12:10:14.443949,1,-1.0
1,12:10:06.741002,12:10:16.077914,-1,-1.0
1,12:10:06.741002,12:10:16.699986,-1,-1.0
1,12:10:06.741002,12:10:17.587028,-1,-1.0
1,12:10:06.741002,12:10:18.623861,1,-1.0
1,12:10:06.741002,12:10:19.585828,1,-1.0
1,12:10:06.741002,12:10:20.560065,-1,-1.0
1,12:10:06.741002,12:10:21.105749,1,-1.0
1,12:10:06.741002,12:10:21.350954,1,-1.0
1,12:10:06.741002,12:10:21.587162,1,-1.0
1,12:10:06.741002,12:10:22.409334,1,-1.0
1,12:10:06.741002,12:10:25.670183,-1,-1.0
1,12:10:06.741002,12:10:26.668808,1,-1.0
1,12:10:06.741002,12:10:27.030055,1,-1.0
1,12:10:06.741002,12:10:27.380762,1,-1.0
1,12:10:06.741002,12:10:27.925737,1,-1.0
1,12:10:06.741002,12:10:30.045325,1,-1.0
1,12:10:06.741002,12:10:30.676416,1,-1.0
1,12:10:06.741002,12:10:30.899829,1,-1.0
1,12:10:06.741002,12:10:31.178774,1,-1.0
1,12:10:06.741002,12:10:31.968891,1,-1.0
1,12:10:06.741002,12:10:32.275327,1,-1.0
1,12:10:06.741002,12:10:33.109157,1,-1.0
1,12:10:06.741002,12:10:33.332933,1,-1.0
1,12:10:06.741002,12:10:33.536348,1,-1.0
1,12:10:06.741002,12:10:33.812579,1,-1.0
1,12:10:06.741002,12:10:34.129988,1,-1.0
1,12:10:06.741002,12:10:34.359478,1,-1.0
1,12:10:06.741002,12:10:34.546879,1,-1.0
1,12:10:06.741002,12:10:34.826593,1,-1.0
1,12:10:06.741002,12:10:35.066045,1,-1.0
1,12:10:06.741002,12:10:35.281654,1,-1.0
1,12:10:06.741002,12:10:35.505860,1,-1.0
1,12:10:06.741002,12:10:35.698947,1,-1.0
1,12:10:06.741002,12:10:35.887145,1,-1.0
1,12:10:06.741002,12:10:36.202630,1,-1.0
1,12:10:06.741002,12:10:36.419665,1,-1.0
