Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:36:00.778806,16:36:07.834212,1,-1.0
1,16:36:00.778806,16:36:07.908307,1,-1.0
1,16:36:00.778806,16:36:07.987904,1,-1.0
1,16:36:00.778806,16:36:08.069700,1,-1.0
1,16:36:00.778806,16:36:08.152696,1,-1.0
1,16:36:00.778806,16:36:08.237932,1,-1.0
1,16:36:00.778806,16:36:08.318250,1,-1.0
1,16:36:00.778806,16:36:08.398543,1,-1.0
1,16:36:00.778806,16:36:08.478840,1,-1.0
1,16:36:00.778806,16:36:08.557767,1,-1.0
1,16:36:00.778806,16:36:08.649738,1,-1.0
1,16:36:00.778806,16:36:08.729974,1,-1.0
1,16:36:00.778806,16:36:08.811919,1,-1.0
1,16:36:00.778806,16:36:08.893108,1,-1.0
1,16:36:00.778806,16:36:08.969696,1,-1.0
1,16:36:00.778806,16:36:09.051523,1,-1.0
1,16:36:00.778806,16:36:09.126256,1,-1.0
1,16:36:00.778806,16:36:09.201686,1,-1.0
1,16:36:00.778806,16:36:12.772679,-1,-1.0
1,16:36:00.778806,16:36:12.906221,1,-1.0
1,16:36:00.778806,16:36:12.993947,1,-1.0
1,16:36:00.778806,16:36:13.071586,1,-1.0
1,16:36:00.778806,16:36:13.161008,1,-1.0
1,16:36:00.778806,16:36:13.244324,1,-1.0
1,16:36:00.778806,16:36:13.316730,1,-1.0
1,16:36:00.778806,16:36:13.394394,1,-1.0
1,16:36:00.778806,16:36:13.479720,1,-1.0
1,16:36:00.778806,16:36:13.564135,1,-1.0
1,16:36:00.778806,16:36:13.643936,1,-1.0
1,16:36:00.778806,16:36:13.728696,1,-1.0
1,16:36:00.778806,16:36:13.806128,1,-1.0
1,16:36:00.778806,16:36:13.890751,1,-1.0
1,16:36:00.778806,16:36:13.972596,1,-1.0
1,16:36:00.778806,16:36:14.046370,1,-1.0
1,16:36:00.778806,16:36:14.120641,1,-1.0
1,16:36:00.778806,16:36:14.197728,1,-1.0
1,16:36:00.778806,16:36:14.274584,1,-1.0
1,16:36:00.778806,16:36:14.353141,1,-1.0
1,16:36:00.778806,16:36:14.437894,1,-1.0
1,16:36:00.778806,16:36:14.520419,1,-1.0
1,16:36:00.778806,16:36:14.598481,1,-1.0
1,16:36:00.778806,16:36:14.672460,1,-1.0
1,16:36:00.778806,16:36:14.748841,1,-1.0
1,16:36:00.778806,16:36:14.826552,1,-1.0
1,16:36:00.778806,16:36:14.909697,1,-1.0
1,16:36:00.778806,16:36:14.987403,1,-1.0
1,16:36:00.778806,16:36:15.062626,1,-1.0
1,16:36:00.778806,16:36:15.139836,1,-1.0
1,16:36:00.778806,16:36:15.217696,1,-1.0
1,16:36:00.778806,16:36:15.299511,1,-1.0
1,16:36:00.778806,16:36:15.385531,1,-1.0
1,16:36:00.778806,16:36:15.467472,1,-1.0
1,16:36:00.778806,16:36:15.543413,1,-1.0
1,16:36:00.778806,16:36:15.625936,1,-1.0
1,16:36:00.778806,16:36:15.710743,1,-1.0
1,16:36:00.778806,16:36:15.797362,1,-1.0
1,16:36:00.778806,16:36:15.877593,1,-1.0
1,16:36:00.778806,16:36:15.956077,1,-1.0
1,16:36:00.778806,16:36:16.038287,1,-1.0
1,16:36:00.778806,16:36:16.130460,1,-1.0
1,16:36:00.778806,16:36:16.195591,1,-1.0
1,16:36:00.778806,16:36:16.265036,1,-1.0
1,16:36:00.778806,16:36:16.349413,1,-1.0
1,16:36:00.778806,16:36:16.441930,1,-1.0
1,16:36:00.778806,16:36:16.527324,1,-1.0
1,16:36:00.778806,16:36:16.602070,-1,-1.0
1,16:36:00.778806,16:36:16.683480,-1,-1.0
1,16:36:00.778806,16:36:16.762951,-1,-1.0
1,16:36:00.778806,16:36:16.835526,1,-1.0
1,16:36:00.778806,16:36:16.920501,1,-1.0
1,16:36:00.778806,16:36:16.999731,1,-1.0
1,16:36:00.778806,16:36:17.081789,1,-1.0
1,16:36:00.778806,16:36:17.161129,1,-1.0
1,16:36:00.778806,16:36:17.240368,1,-1.0
1,16:36:00.778806,16:36:17.317247,1,-1.0
1,16:36:00.778806,16:36:17.401542,1,-1.0
1,16:36:00.778806,16:36:17.472869,1,-1.0
1,16:36:00.778806,16:36:17.545710,1,-1.0
1,16:36:00.778806,16:36:17.626871,1,-1.0
1,16:36:00.778806,16:36:17.707232,1,-1.0
1,16:36:00.778806,16:36:17.786276,1,-1.0
1,16:36:00.778806,16:36:17.875007,1,-1.0
1,16:36:00.778806,16:36:17.953564,1,-1.0
1,16:36:00.778806,16:36:18.032128,1,-1.0
1,16:36:00.778806,16:36:18.116308,1,-1.0
1,16:36:00.778806,16:36:18.201318,1,-1.0
1,16:36:00.778806,16:36:18.280406,1,-1.0
1,16:36:00.778806,16:36:18.364953,1,-1.0
1,16:36:00.778806,16:36:18.446665,1,-1.0
1,16:36:00.778806,16:36:18.528706,1,-1.0
1,16:36:00.778806,16:36:18.606227,1,-1.0
1,16:36:00.778806,16:36:18.683461,1,-1.0
1,16:36:00.778806,16:36:18.765073,1,-1.0
1,16:36:00.778806,16:36:18.840801,1,-1.0
1,16:36:00.778806,16:36:18.921845,1,-1.0
1,16:36:00.778806,16:36:19.008690,1,-1.0
1,16:36:00.778806,16:36:19.087259,1,-1.0
1,16:36:00.778806,16:36:19.176866,1,-1.0
1,16:36:00.778806,16:36:19.259776,1,-1.0
1,16:36:00.778806,16:36:19.341816,1,-1.0
1,16:36:00.778806,16:36:19.413378,1,-1.0
1,16:36:00.778806,16:36:19.498193,1,-1.0
1,16:36:00.778806,16:36:19.578010,1,-1.0
1,16:36:00.778806,16:36:19.653354,1,-1.0
1,16:36:00.778806,16:36:19.737627,1,-1.0
1,16:36:00.778806,16:36:19.817090,1,-1.0
1,16:36:00.778806,16:36:19.896905,1,-1.0
1,16:36:00.778806,16:36:19.970004,1,-1.0
1,16:36:00.778806,16:36:20.047893,1,-1.0
1,16:36:00.778806,16:36:20.125760,1,-1.0
1,16:36:00.778806,16:36:20.201813,1,-1.0
1,16:36:00.778806,16:36:20.278103,1,-1.0
1,16:36:00.778806,16:36:20.354969,1,-1.0
1,16:36:00.778806,16:36:20.446063,1,-1.0
1,16:36:00.778806,16:36:20.520817,1,-1.0
1,16:36:00.778806,16:36:20.597615,1,-1.0
1,16:36:00.778806,16:36:20.678106,1,-1.0
1,16:36:00.778806,16:36:20.756874,1,-1.0
1,16:36:00.778806,16:36:20.836191,1,-1.0
1,16:36:00.778806,16:36:20.912645,1,-1.0
1,16:36:00.778806,16:36:20.992137,1,-1.0
1,16:36:00.778806,16:36:21.073450,1,-1.0
1,16:36:00.778806,16:36:21.157195,1,-1.0
1,16:36:00.778806,16:36:21.234191,1,-1.0
1,16:36:00.778806,16:36:21.318142,1,-1.0
1,16:36:00.778806,16:36:21.402967,1,-1.0
1,16:36:00.778806,16:36:21.479637,1,-1.0
1,16:36:00.778806,16:36:21.555118,1,-1.0
1,16:36:00.778806,16:36:21.639613,-1,-1.0
1,16:36:00.778806,16:36:21.721229,-1,-1.0
1,16:36:00.778806,16:36:21.800350,-1,-1.0
1,16:36:00.778806,16:36:21.877010,-1,-1.0
1,16:36:00.778806,16:36:21.950582,-1,-1.0
1,16:36:00.778806,16:36:22.033434,-1,-1.0
1,16:36:00.778806,16:36:22.117344,-1,-1.0
1,16:36:00.778806,16:36:22.195488,-1,-1.0
1,16:36:00.778806,16:36:22.287909,-1,-1.0
1,16:36:00.778806,16:36:22.370218,-1,-1.0
1,16:36:00.778806,16:36:22.451376,-1,-1.0
1,16:36:00.778806,16:36:22.539555,-1,-1.0
1,16:36:00.778806,16:36:22.620069,-1,-1.0
1,16:36:00.778806,16:36:22.700886,-1,-1.0
1,16:36:00.778806,16:36:22.783254,-1,-1.0
1,16:36:00.778806,16:36:22.865744,-1,-1.0
1,16:36:00.778806,16:36:22.948000,-1,-1.0
1,16:36:00.778806,16:36:23.028173,-1,-1.0
1,16:36:00.778806,16:36:23.107974,-1,-1.0
1,16:36:00.778806,16:36:23.189824,-1,-1.0
1,16:36:00.778806,16:36:23.270479,-1,-1.0
1,16:36:00.778806,16:36:23.354041,-1,-1.0
1,16:36:00.778806,16:36:23.438714,-1,-1.0
1,16:36:00.778806,16:36:23.516793,-1,-1.0
1,16:36:00.778806,16:36:23.596292,-1,-1.0
1,16:36:00.778806,16:36:23.670960,-1,-1.0
1,16:36:00.778806,16:36:23.756735,-1,-1.0
1,16:36:00.778806,16:36:23.838025,-1,-1.0
1,16:36:00.778806,16:36:23.919679,-1,-1.0
1,16:36:00.778806,16:36:24.002000,-1,-1.0
1,16:36:00.778806,16:36:24.082358,-1,-1.0
1,16:36:00.778806,16:36:24.164512,-1,-1.0
1,16:36:00.778806,16:36:24.242900,-1,-1.0
1,16:36:00.778806,16:36:24.324018,-1,-1.0
1,16:36:00.778806,16:36:24.401113,-1,-1.0
1,16:36:00.778806,16:36:24.482631,-1,-1.0
1,16:36:00.778806,16:36:24.560160,-1,-1.0
1,16:36:00.778806,16:36:24.635229,-1,-1.0
1,16:36:00.778806,16:36:24.715188,-1,-1.0
