Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:40:29.305778,16:40:29.700458,-1,-1.0
1,16:40:29.305778,16:40:29.776299,-1,-1.0
1,16:40:29.305778,16:40:29.854436,-1,-1.0
1,16:40:29.305778,16:40:29.930743,-1,-1.0
1,16:40:29.305778,16:40:30.012281,-1,-1.0
1,16:40:29.305778,16:40:30.093410,-1,-1.0
1,16:40:29.305778,16:40:30.180284,-1,-1.0
1,16:40:29.305778,16:40:30.248451,-1,-1.0
1,16:40:29.305778,16:40:30.337025,-1,-1.0
1,16:40:29.305778,16:40:30.404853,-1,-1.0
1,16:40:29.305778,16:40:30.488645,-1,-1.0
1,16:40:29.305778,16:40:30.559757,-1,-1.0
1,16:40:29.305778,16:40:30.651941,-1,-1.0
1,16:40:29.305778,16:40:30.719541,-1,-1.0
1,16:40:29.305778,16:40:30.794528,-1,-1.0
1,16:40:29.305778,16:40:30.874408,-1,-1.0
1,16:40:29.305778,16:40:30.953490,-1,-1.0
1,16:40:29.305778,16:40:31.038441,-1,-1.0
1,16:40:29.305778,16:40:31.116557,1,-1.0
1,16:40:29.305778,16:40:31.197552,1,-1.0
1,16:40:29.305778,16:40:31.286315,1,-1.0
1,16:40:29.305778,16:40:31.366667,1,-1.0
1,16:40:29.305778,16:40:31.447257,1,-1.0
1,16:40:29.305778,16:40:31.527569,1,-1.0
1,16:40:29.305778,16:40:31.601679,1,-1.0
1,16:40:29.305778,16:40:31.676223,1,-1.0
1,16:40:29.305778,16:40:31.761929,1,-1.0
1,16:40:29.305778,16:40:31.841186,1,-1.0
1,16:40:29.305778,16:40:31.922509,1,-1.0
1,16:40:29.305778,16:40:32.005533,1,-1.0
1,16:40:29.305778,16:40:32.078298,1,-1.0
1,16:40:29.305778,16:40:32.159260,1,-1.0
1,16:40:29.305778,16:40:32.236979,1,-1.0
1,16:40:29.305778,16:40:32.314909,1,-1.0
1,16:40:29.305778,16:40:32.397679,1,-1.0
1,16:40:29.305778,16:40:32.485522,1,-1.0
1,16:40:29.305778,16:40:32.561131,1,-1.0
1,16:40:29.305778,16:40:32.636884,1,-1.0
1,16:40:29.305778,16:40:32.716804,1,-1.0
1,16:40:29.305778,16:40:32.805149,1,-1.0
1,16:40:29.305778,16:40:32.882475,1,-1.0
1,16:40:29.305778,16:40:32.954262,1,-1.0
1,16:40:29.305778,16:40:33.030993,1,-1.0
1,16:40:29.305778,16:40:33.108641,1,-1.0
1,16:40:29.305778,16:40:33.185369,1,-1.0
1,16:40:29.305778,16:40:33.263404,1,-1.0
1,16:40:29.305778,16:40:33.338714,1,-1.0
1,16:40:29.305778,16:40:33.413850,1,-1.0
1,16:40:29.305778,16:40:33.497570,1,-1.0
1,16:40:29.305778,16:40:33.571637,1,-1.0
1,16:40:29.305778,16:40:33.649275,1,-1.0
1,16:40:29.305778,16:40:33.730647,1,-1.0
1,16:40:29.305778,16:40:33.806440,1,-1.0
1,16:40:29.305778,16:40:33.884210,1,-1.0
1,16:40:29.305778,16:40:33.966518,1,-1.0
1,16:40:29.305778,16:40:34.045064,1,-1.0
1,16:40:29.305778,16:40:34.121571,1,-1.0
1,16:40:29.305778,16:40:34.200218,1,-1.0
1,16:40:29.305778,16:40:34.278515,1,-1.0
1,16:40:29.305778,16:40:34.355642,1,-1.0
1,16:40:29.305778,16:40:34.429334,1,-1.0
1,16:40:29.305778,16:40:34.506757,1,-1.0
1,16:40:29.305778,16:40:34.586597,1,-1.0
1,16:40:29.305778,16:40:34.668368,1,-1.0
1,16:40:29.305778,16:40:34.797508,1,-1.0
1,16:40:29.305778,16:40:34.887252,1,-1.0
1,16:40:29.305778,16:40:34.967980,1,-1.0
1,16:40:29.305778,16:40:35.051601,1,-1.0
1,16:40:29.305778,16:40:35.139933,1,-1.0
1,16:40:29.305778,16:40:35.218247,1,-1.0
1,16:40:29.305778,16:40:35.300243,1,-1.0
1,16:40:29.305778,16:40:35.375233,1,-1.0
1,16:40:29.305778,16:40:35.448287,1,-1.0
1,16:40:29.305778,16:40:35.524608,1,-1.0
1,16:40:29.305778,16:40:35.603734,1,-1.0
1,16:40:29.305778,16:40:35.678956,1,-1.0
1,16:40:29.305778,16:40:35.751908,1,-1.0
1,16:40:29.305778,16:40:35.823662,1,-1.0
1,16:40:29.305778,16:40:35.913328,1,-1.0
1,16:40:29.305778,16:40:35.993346,1,-1.0
1,16:40:29.305778,16:40:36.079662,1,-1.0
1,16:40:29.305778,16:40:36.163503,1,-1.0
1,16:40:29.305778,16:40:36.240158,1,-1.0
1,16:40:29.305778,16:40:36.317910,1,-1.0
1,16:40:29.305778,16:40:36.394901,1,-1.0
1,16:40:29.305778,16:40:36.474373,1,-1.0
1,16:40:29.305778,16:40:36.550165,1,-1.0
1,16:40:29.305778,16:40:36.625796,1,-1.0
1,16:40:29.305778,16:40:36.707352,1,-1.0
1,16:40:29.305778,16:40:36.779310,1,-1.0
1,16:40:29.305778,16:40:36.853990,1,-1.0
1,16:40:29.305778,16:40:36.931975,1,-1.0
1,16:40:29.305778,16:40:37.010876,1,-1.0
1,16:40:29.305778,16:40:37.090646,1,-1.0
1,16:40:29.305778,16:40:37.176056,1,-1.0
1,16:40:29.305778,16:40:37.260073,1,-1.0
1,16:40:29.305778,16:40:37.339370,1,-1.0
1,16:40:29.305778,16:40:37.423863,1,-1.0
1,16:40:29.305778,16:40:37.505443,1,-1.0
1,16:40:29.305778,16:40:37.583157,1,-1.0
1,16:40:29.305778,16:40:37.656628,1,-1.0
1,16:40:29.305778,16:40:37.734846,1,-1.0
1,16:40:29.305778,16:40:37.819715,1,-1.0
1,16:40:29.305778,16:40:37.898310,1,-1.0
1,16:40:29.305778,16:40:37.977571,1,-1.0
1,16:40:29.305778,16:40:38.053757,1,-1.0
1,16:40:29.305778,16:40:38.131132,1,-1.0
1,16:40:29.305778,16:40:38.205611,1,-1.0
1,16:40:29.305778,16:40:38.290298,1,-1.0
1,16:40:29.305778,16:40:38.365921,1,-1.0
1,16:40:29.305778,16:40:38.440629,1,-1.0
1,16:40:29.305778,16:40:38.523766,1,-1.0
1,16:40:29.305778,16:40:38.600970,1,-1.0
1,16:40:29.305778,16:40:38.681497,1,-1.0
1,16:40:29.305778,16:40:38.760938,1,-1.0
1,16:40:29.305778,16:40:38.841968,1,-1.0
1,16:40:29.305778,16:40:38.926001,1,-1.0
1,16:40:29.305778,16:40:39.003370,1,-1.0
1,16:40:29.305778,16:40:39.081529,1,-1.0
1,16:40:29.305778,16:40:39.158498,1,-1.0
1,16:40:29.305778,16:40:39.236601,1,-1.0
1,16:40:29.305778,16:40:39.313241,1,-1.0
1,16:40:29.305778,16:40:39.394840,1,-1.0
1,16:40:29.305778,16:40:39.470532,1,-1.0
1,16:40:29.305778,16:40:39.549555,1,-1.0
1,16:40:29.305778,16:40:39.629256,-1,-1.0
1,16:40:29.305778,16:40:39.703654,-1,-1.0
1,16:40:29.305778,16:40:39.778158,1,-1.0
1,16:40:29.305778,16:40:39.861670,1,-1.0
1,16:40:29.305778,16:40:39.939630,1,-1.0
1,16:40:29.305778,16:40:40.018159,1,-1.0
1,16:40:29.305778,16:40:40.093595,1,-1.0
1,16:40:29.305778,16:40:40.168609,1,-1.0
1,16:40:29.305778,16:40:40.246136,1,-1.0
1,16:40:29.305778,16:40:40.327734,1,-1.0
1,16:40:29.305778,16:40:40.402311,1,-1.0
1,16:40:29.305778,16:40:40.481668,1,-1.0
1,16:40:29.305778,16:40:40.558019,1,-1.0
1,16:40:29.305778,16:40:40.636884,1,-1.0
1,16:40:29.305778,16:40:40.711097,1,-1.0
1,16:40:29.305778,16:40:40.793055,1,-1.0
1,16:40:29.305778,16:40:40.871926,1,-1.0
1,16:40:29.305778,16:40:40.945633,1,-1.0
1,16:40:29.305778,16:40:41.031417,1,-1.0
1,16:40:29.305778,16:40:41.111723,1,-1.0
1,16:40:29.305778,16:40:41.194628,1,-1.0
1,16:40:29.305778,16:40:41.272326,1,-1.0
1,16:40:29.305778,16:40:41.353892,1,-1.0
1,16:40:29.305778,16:40:41.431786,1,-1.0
1,16:40:29.305778,16:40:41.508634,1,-1.0
1,16:40:29.305778,16:40:41.587932,1,-1.0
1,16:40:29.305778,16:40:41.661637,1,-1.0
1,16:40:29.305778,16:40:41.740011,1,-1.0
1,16:40:29.305778,16:40:41.821831,1,-1.0
1,16:40:29.305778,16:40:41.903882,1,-1.0
1,16:40:29.305778,16:40:41.978477,1,-1.0
1,16:40:29.305778,16:40:42.059660,1,-1.0
1,16:40:29.305778,16:40:42.144379,1,-1.0
1,16:40:29.305778,16:40:42.230658,1,-1.0
1,16:40:29.305778,16:40:42.331650,1,-1.0
1,16:40:29.305778,16:40:42.445325,1,-1.0
1,16:40:29.305778,16:40:42.559957,1,-1.0
1,16:40:29.305778,16:40:42.648385,1,-1.0
1,16:40:29.305778,16:40:42.734959,1,-1.0
1,16:40:29.305778,16:40:42.821382,1,-1.0
1,16:40:29.305778,16:40:42.898330,1,-1.0
1,16:40:29.305778,16:40:42.979304,1,-1.0
