Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:10:57.024864,11:10:59.502497,1,-1.0
1,11:10:57.024864,11:10:59.978426,1,-1.0
1,11:10:57.024864,11:11:00.460005,1,-1.0
1,11:10:57.024864,11:11:00.890013,1,-1.0
1,11:10:57.024864,11:11:01.309453,1,-1.0
1,11:10:57.024864,11:11:01.782342,1,-1.0
1,11:10:57.024864,11:11:02.244462,1,-1.0
1,11:10:57.024864,11:11:02.681736,1,-1.0
1,11:10:57.024864,11:11:03.171601,1,-1.0
1,11:10:57.024864,11:11:03.641989,1,-1.0
1,11:10:57.024864,11:11:04.074630,1,-1.0
1,11:10:57.024864,11:11:04.541524,1,-1.0
1,11:10:57.024864,11:11:05.017390,1,-1.0
1,11:10:57.024864,11:11:05.518074,1,-1.0
1,11:10:57.024864,11:11:05.981397,1,-1.0
1,11:10:57.024864,11:11:06.424105,1,-1.0
1,11:10:57.024864,11:11:06.858022,1,-1.0
1,11:10:57.024864,11:11:07.373651,1,-1.0
1,11:10:57.024864,11:11:08.094352,-1,-1.0
1,11:10:57.024864,11:11:08.484045,-1,-1.0
1,11:10:57.024864,11:11:08.904147,-1,-1.0
1,11:10:57.024864,11:11:09.625944,-1,-1.0
1,11:10:57.024864,11:11:10.163573,-1,-1.0
1,11:10:57.024864,11:11:10.508568,-1,-1.0
1,11:10:57.024864,11:11:11.252893,-1,-1.0
1,11:10:57.024864,11:11:11.742270,-1,-1.0
1,11:10:57.024864,11:11:12.179390,-1,-1.0
1,11:10:57.024864,11:11:12.946231,-1,-1.0
1,11:10:57.024864,11:11:13.433084,1,-1.0
1,11:10:57.024864,11:11:13.669294,1,-1.0
1,11:10:57.024864,11:11:13.947997,1,-1.0
1,11:10:57.024864,11:11:14.175240,1,-1.0
1,11:10:57.024864,11:11:14.404760,1,-1.0
1,11:10:57.024864,11:11:14.643192,1,-1.0
1,11:10:57.024864,11:11:14.860095,1,-1.0
1,11:10:57.024864,11:11:15.066663,1,-1.0
1,11:10:57.024864,11:11:15.274208,1,-1.0
1,11:10:57.024864,11:11:15.491427,1,-1.0
1,11:10:57.024864,11:11:15.687161,1,-1.0
1,11:10:57.024864,11:11:15.884509,1,-1.0
1,11:10:57.024864,11:11:16.082791,1,-1.0
1,11:10:57.024864,11:11:16.293762,1,-1.0
1,11:10:57.024864,11:11:16.483761,1,-1.0
1,11:10:57.024864,11:11:16.689741,1,-1.0
1,11:10:57.024864,11:11:16.913549,1,-1.0
1,11:10:57.024864,11:11:17.122575,1,-1.0
1,11:10:57.024864,11:11:17.355338,1,-1.0
1,11:10:57.024864,11:11:17.568646,1,-1.0
1,11:10:57.024864,11:11:17.799936,1,-1.0
1,11:10:57.024864,11:11:18.023784,1,-1.0
1,11:10:57.024864,11:11:18.308728,1,-1.0
1,11:10:57.024864,11:11:18.539284,1,-1.0
1,11:10:57.024864,11:11:18.763221,1,-1.0
1,11:10:57.024864,11:11:18.999715,1,-1.0
1,11:10:57.024864,11:11:19.226325,1,-1.0
1,11:10:57.024864,11:11:19.453516,1,-1.0
1,11:10:57.024864,11:11:19.680876,1,-1.0
1,11:10:57.024864,11:11:19.898286,1,-1.0
1,11:10:57.024864,11:11:20.123819,1,-1.0
1,11:10:57.024864,11:11:20.342028,1,-1.0
1,11:10:57.024864,11:11:20.578078,1,-1.0
1,11:10:57.024864,11:11:20.834620,1,-1.0
1,11:10:57.024864,11:11:21.233892,1,-1.0
1,11:10:57.024864,11:11:21.548696,1,-1.0
1,11:10:57.024864,11:11:22.324254,-1,-1.0
1,11:10:57.024864,11:11:22.786225,-1,-1.0
1,11:10:57.024864,11:11:23.200989,-1,-1.0
1,11:10:57.024864,11:11:23.611432,-1,-1.0
