Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,19:22:28.239117,19:22:51.264689,-1,-1.0
1,19:22:28.239117,19:22:51.344101,-1,-1.0
1,19:22:28.239117,19:22:51.422492,-1,-1.0
1,19:22:28.239117,19:22:51.499248,-1,-1.0
1,19:22:28.239117,19:22:51.575577,-1,-1.0
1,19:22:28.239117,19:22:51.664282,-1,-1.0
1,19:22:28.239117,19:22:52.998467,1,-1.0
1,19:22:28.239117,19:22:53.077066,1,-1.0
1,19:22:28.239117,19:22:53.163171,1,-1.0
1,19:22:28.239117,19:22:53.248476,1,-1.0
1,19:22:28.239117,19:22:53.324463,1,-1.0
1,19:22:28.239117,19:22:53.407358,-1,-1.0
1,19:22:28.239117,19:22:58.291312,-1,-1.0
1,19:22:28.239117,19:22:58.495266,1,-1.0
1,19:22:28.239117,19:22:58.574769,1,-1.0
1,19:22:28.239117,19:22:58.664402,1,-1.0
1,19:22:28.239117,19:22:58.747031,1,-1.0
1,19:22:28.239117,19:22:58.835608,1,-1.0
1,19:22:28.239117,19:22:58.918201,1,-1.0
1,19:22:28.239117,19:22:59.006110,-1,-1.0
1,19:22:28.239117,19:23:02.712077,1,-1.0
1,19:22:28.239117,19:23:02.796139,1,-1.0
1,19:22:28.239117,19:23:02.894574,1,-1.0
1,19:22:28.239117,19:23:02.970110,1,-1.0
1,19:22:28.239117,19:23:03.051852,1,-1.0
1,19:22:28.239117,19:23:03.133311,1,-1.0
1,19:22:28.239117,19:23:03.227201,1,-1.0
1,19:22:28.239117,19:23:03.287058,-1,-1.0
1,19:22:28.239117,19:23:04.699247,-1,-1.0
1,19:22:28.239117,19:23:04.779523,-1,-1.0
1,19:22:28.239117,19:23:04.868277,-1,-1.0
1,19:22:28.239117,19:23:04.936016,-1,-1.0
1,19:22:28.239117,19:23:05.017989,-1,-1.0
1,19:22:28.239117,19:23:05.434629,1,-1.0
1,19:22:28.239117,19:23:05.521923,1,-1.0
1,19:22:28.239117,19:23:05.595426,1,-1.0
1,19:22:28.239117,19:23:05.683233,1,-1.0
1,19:22:28.239117,19:23:05.763172,1,-1.0
1,19:22:28.239117,19:23:05.844506,-1,-1.0
1,19:22:28.239117,19:23:05.924787,-1,-1.0
1,19:22:28.239117,19:23:06.038906,-1,-1.0
1,19:22:28.239117,19:23:06.120796,-1,-1.0
1,19:22:28.239117,19:23:10.401017,-1,-1.0
1,19:22:28.239117,19:23:10.494440,-1,-1.0
1,19:22:28.239117,19:23:10.588167,-1,-1.0
1,19:22:28.239117,19:23:10.661182,-1,-1.0
1,19:22:28.239117,19:23:10.751707,-1,-1.0
1,19:22:28.239117,19:23:12.471011,1,-1.0
1,19:22:28.239117,19:23:12.550171,1,-1.0
1,19:22:28.239117,19:23:12.635859,1,-1.0
1,19:22:28.239117,19:23:12.713320,1,-1.0
1,19:22:28.239117,19:23:12.791500,1,-1.0
1,19:22:28.239117,19:23:12.870862,1,-1.0
1,19:22:28.239117,19:23:12.962020,-1,-1.0
1,19:22:28.239117,19:23:13.047817,-1,-1.0
1,19:22:28.239117,19:23:13.123838,-1,-1.0
1,19:22:28.239117,19:23:13.203903,-1,-1.0
