Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:06:50.748818,12:07:07.756415,1,-1.0
1,12:06:50.748818,12:07:09.486829,1,-1.0
1,12:06:50.748818,12:07:10.183348,1,-1.0
1,12:06:50.748818,12:07:10.746727,1,-1.0
1,12:06:50.748818,12:07:11.088240,1,-1.0
1,12:06:50.748818,12:07:11.410660,1,-1.0
1,12:06:50.748818,12:07:11.740778,1,-1.0
1,12:06:50.748818,12:07:12.072177,1,-1.0
1,12:06:50.748818,12:07:12.482168,1,-1.0
1,12:06:50.748818,12:07:12.953278,1,-1.0
1,12:06:50.748818,12:07:13.663793,1,-1.0
1,12:06:50.748818,12:07:14.062268,1,-1.0
1,12:06:50.748818,12:07:14.415643,1,-1.0
1,12:06:50.748818,12:07:14.827093,1,-1.0
1,12:06:50.748818,12:07:17.904864,-1,-1.0
1,12:06:50.748818,12:07:18.692687,-1,-1.0
1,12:06:50.748818,12:07:19.123425,-1,-1.0
1,12:06:50.748818,12:07:20.641813,1,-1.0
1,12:06:50.748818,12:07:21.197993,1,-1.0
1,12:06:50.748818,12:07:22.097957,-1,-1.0
1,12:06:50.748818,12:07:22.542849,-1,-1.0
1,12:06:50.748818,12:07:22.931397,-1,-1.0
1,12:06:50.748818,12:07:23.415258,-1,-1.0
1,12:06:50.748818,12:07:24.158555,-1,-1.0
1,12:06:50.748818,12:07:25.628144,1,-1.0
1,12:06:50.748818,12:07:26.066614,1,-1.0
1,12:06:50.748818,12:07:26.448291,1,-1.0
1,12:06:50.748818,12:07:26.806297,1,-1.0
1,12:06:50.748818,12:07:27.176531,1,-1.0
1,12:06:50.748818,12:07:27.668299,1,-1.0
1,12:06:50.748818,12:07:28.102054,1,-1.0
1,12:06:50.748818,12:07:30.436293,-1,-1.0
1,12:06:50.748818,12:07:31.526912,-1,-1.0
1,12:06:50.748818,12:07:31.812675,-1,-1.0
1,12:06:50.748818,12:07:32.046416,-1,-1.0
1,12:06:50.748818,12:07:32.319440,-1,-1.0
1,12:06:50.748818,12:07:32.566449,-1,-1.0
1,12:06:50.748818,12:07:32.812637,-1,-1.0
1,12:06:50.748818,12:07:33.131822,-1,-1.0
1,12:06:50.748818,12:07:33.439940,-1,-1.0
1,12:06:50.748818,12:07:34.091705,-1,-1.0
1,12:06:50.748818,12:07:34.571888,-1,-1.0
1,12:06:50.748818,12:07:35.478176,1,-1.0
1,12:06:50.748818,12:07:35.706192,1,-1.0
1,12:06:50.748818,12:07:36.576530,1,-1.0
1,12:06:50.748818,12:07:46.753294,1,-1.0
1,12:06:50.748818,12:07:47.216519,1,-1.0
1,12:06:50.748818,12:07:47.762745,1,-1.0
1,12:06:50.748818,12:07:48.206841,1,-1.0
1,12:06:50.748818,12:07:48.603916,1,-1.0
1,12:06:50.748818,12:07:51.098402,-1,-1.0
1,12:06:50.748818,12:07:51.625253,-1,-1.0
1,12:06:50.748818,12:07:52.376283,-1,-1.0
1,12:06:50.748818,12:07:52.761686,-1,-1.0
1,12:06:50.748818,12:07:53.226868,-1,-1.0
1,12:06:50.748818,12:07:59.807100,1,-1.0
1,12:06:50.748818,12:08:00.453016,1,-1.0
1,12:06:50.748818,12:08:00.835225,1,-1.0
1,12:06:50.748818,12:08:01.657718,1,-1.0
1,12:06:50.748818,12:08:02.606667,1,-1.0
1,12:06:50.748818,12:08:03.359313,1,-1.0
1,12:06:50.748818,12:08:03.701239,-1,-1.0
1,12:06:50.748818,12:08:03.926914,-1,-1.0
1,12:06:50.748818,12:08:04.101672,-1,-1.0
1,12:06:50.748818,12:08:04.399919,-1,-1.0
