Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:37:43.135515,16:37:46.810378,1,-1.0
1,16:37:43.135515,16:37:46.892928,1,-1.0
1,16:37:43.135515,16:37:46.970042,1,-1.0
1,16:37:43.135515,16:37:47.053535,1,-1.0
1,16:37:43.135515,16:37:47.146350,1,-1.0
1,16:37:43.135515,16:37:47.219995,1,-1.0
1,16:37:43.135515,16:37:47.302226,1,-1.0
1,16:37:43.135515,16:37:47.379235,1,-1.0
1,16:37:43.135515,16:37:47.460490,1,-1.0
1,16:37:43.135515,16:37:47.544969,1,-1.0
1,16:37:43.135515,16:37:47.631743,1,-1.0
1,16:37:43.135515,16:37:47.711561,1,-1.0
1,16:37:43.135515,16:37:47.794978,1,-1.0
1,16:37:43.135515,16:37:47.882268,1,-1.0
1,16:37:43.135515,16:37:47.964626,1,-1.0
1,16:37:43.135515,16:37:48.047652,1,-1.0
1,16:37:43.135515,16:37:48.136334,1,-1.0
1,16:37:43.135515,16:37:48.225190,1,-1.0
1,16:37:43.135515,16:37:48.306744,1,-1.0
1,16:37:43.135515,16:37:48.383969,1,-1.0
1,16:37:43.135515,16:37:48.462326,-1,-1.0
1,16:37:43.135515,16:37:48.549770,-1,-1.0
1,16:37:43.135515,16:37:48.633849,-1,-1.0
1,16:37:43.135515,16:37:48.713647,-1,-1.0
1,16:37:43.135515,16:37:48.803998,-1,-1.0
1,16:37:43.135515,16:37:48.882699,-1,-1.0
1,16:37:43.135515,16:37:48.966186,-1,-1.0
1,16:37:43.135515,16:37:49.047732,-1,-1.0
1,16:37:43.135515,16:37:49.135235,-1,-1.0
1,16:37:43.135515,16:37:49.208825,-1,-1.0
1,16:37:43.135515,16:37:49.289952,-1,-1.0
1,16:37:43.135515,16:37:49.359641,-1,-1.0
1,16:37:43.135515,16:37:49.432409,-1,-1.0
1,16:37:43.135515,16:37:49.508990,-1,-1.0
1,16:37:43.135515,16:37:49.585630,-1,-1.0
1,16:37:43.135515,16:37:49.663892,-1,-1.0
1,16:37:43.135515,16:37:49.743846,-1,-1.0
1,16:37:43.135515,16:37:49.824594,1,-1.0
1,16:37:43.135515,16:37:49.900091,1,-1.0
1,16:37:43.135515,16:37:49.977806,1,-1.0
1,16:37:43.135515,16:37:50.062886,1,-1.0
1,16:37:43.135515,16:37:50.142393,1,-1.0
1,16:37:43.135515,16:37:50.226103,1,-1.0
1,16:37:43.135515,16:37:50.306313,1,-1.0
1,16:37:43.135515,16:37:50.380732,1,-1.0
1,16:37:43.135515,16:37:50.461499,1,-1.0
1,16:37:43.135515,16:37:50.547472,1,-1.0
1,16:37:43.135515,16:37:50.622723,1,-1.0
1,16:37:43.135515,16:37:50.696823,1,-1.0
1,16:37:43.135515,16:37:50.777691,1,-1.0
1,16:37:43.135515,16:37:50.861008,1,-1.0
1,16:37:43.135515,16:37:50.948795,1,-1.0
1,16:37:43.135515,16:37:51.027992,1,-1.0
1,16:37:43.135515,16:37:51.112079,1,-1.0
1,16:37:43.135515,16:37:51.196115,1,-1.0
1,16:37:43.135515,16:37:51.279072,1,-1.0
1,16:37:43.135515,16:37:51.362024,1,-1.0
1,16:37:43.135515,16:37:51.446734,1,-1.0
1,16:37:43.135515,16:37:51.529040,1,-1.0
1,16:37:43.135515,16:37:51.622899,1,-1.0
1,16:37:43.135515,16:37:51.705722,1,-1.0
1,16:37:43.135515,16:37:51.783780,1,-1.0
1,16:37:43.135515,16:37:51.861475,1,-1.0
1,16:37:43.135515,16:37:51.946574,1,-1.0
1,16:37:43.135515,16:37:52.023907,1,-1.0
1,16:37:43.135515,16:37:52.100130,1,-1.0
1,16:37:43.135515,16:37:52.177158,1,-1.0
1,16:37:43.135515,16:37:52.257193,1,-1.0
1,16:37:43.135515,16:37:52.331996,1,-1.0
1,16:37:43.135515,16:37:52.417599,1,-1.0
1,16:37:43.135515,16:37:52.494653,1,-1.0
1,16:37:43.135515,16:37:52.572653,1,-1.0
1,16:37:43.135515,16:37:52.651554,1,-1.0
1,16:37:43.135515,16:37:52.730495,1,-1.0
1,16:37:43.135515,16:37:52.816484,1,-1.0
1,16:37:43.135515,16:37:52.898471,1,-1.0
1,16:37:43.135515,16:37:52.973745,1,-1.0
1,16:37:43.135515,16:37:53.052125,1,-1.0
1,16:37:43.135515,16:37:53.128132,1,-1.0
1,16:37:43.135515,16:37:53.211011,1,-1.0
1,16:37:43.135515,16:37:53.287345,1,-1.0
1,16:37:43.135515,16:37:53.370082,1,-1.0
1,16:37:43.135515,16:37:53.454250,1,-1.0
1,16:37:43.135515,16:37:53.528748,1,-1.0
1,16:37:43.135515,16:37:53.610378,1,-1.0
1,16:37:43.135515,16:37:53.691206,1,-1.0
1,16:37:43.135515,16:37:53.772486,1,-1.0
1,16:37:43.135515,16:37:53.854537,1,-1.0
1,16:37:43.135515,16:37:53.939437,1,-1.0
1,16:37:43.135515,16:37:54.017608,-1,-1.0
