Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,19:09:43.568872,19:09:43.918934,-1,1.0
2,19:09:43.568872,19:09:43.999215,-1,1.0
2,19:09:43.568872,19:09:44.118207,-1,1.0
2,19:09:43.568872,19:09:44.186537,-1,1.0
2,19:09:43.568872,19:09:44.257356,-1,1.0
2,19:09:43.568872,19:09:44.489880,-1,1.0
2,19:09:43.568872,19:09:44.604924,-1,1.0
2,19:09:43.568872,19:09:44.717084,-1,1.0
2,19:09:43.568872,19:09:45.640616,-1,1.0
2,19:09:43.568872,19:09:45.713824,-1,1.0
2,19:09:43.568872,19:09:46.500289,-1,1.0
2,19:09:43.568872,19:09:47.242149,-1,1.0
2,19:09:43.568872,19:09:47.317670,-1,1.0
2,19:09:43.568872,19:09:47.386346,-1,1.0
2,19:09:43.568872,19:09:47.462815,-1,1.0
2,19:09:43.568872,19:09:47.532738,-1,1.0
2,19:09:43.568872,19:09:47.601718,-1,1.0
2,19:09:43.568872,19:09:47.678848,-1,1.0
2,19:09:43.568872,19:09:47.756293,-1,1.0
2,19:09:43.568872,19:09:47.830469,-1,1.0
3,19:09:47.846781,19:09:47.968031,-1,1.0
3,19:09:47.846781,19:09:48.051699,-1,1.0
3,19:09:47.846781,19:09:48.143954,-1,1.0
3,19:09:47.846781,19:09:48.238245,-1,1.0
3,19:09:47.846781,19:09:48.313988,-1,1.0
3,19:09:47.846781,19:09:48.532674,-1,1.0
3,19:09:47.846781,19:09:48.601177,-1,1.0
3,19:09:47.846781,19:09:50.444104,1,1.0
3,19:09:47.846781,19:09:50.522686,1,1.0
3,19:09:47.846781,19:09:50.595020,1,1.0
3,19:09:47.846781,19:09:50.671242,1,1.0
3,19:09:47.846781,19:09:50.744520,1,1.0
3,19:09:47.846781,19:09:50.816147,-1,1.0
3,19:09:47.846781,19:09:51.849115,1,1.0
3,19:09:47.846781,19:09:51.919079,1,1.0
3,19:09:47.846781,19:09:51.997968,1,1.0
3,19:09:47.846781,19:09:52.069050,1,1.0
3,19:09:47.846781,19:09:52.142623,1,1.0
3,19:09:47.846781,19:09:52.217412,1,1.0
3,19:09:47.846781,19:09:52.294702,-1,1.0
4,19:09:54.415823,19:09:56.970871,-1,1.0
4,19:09:54.415823,19:09:57.106836,-1,1.0
4,19:09:54.415823,19:09:57.231551,-1,1.0
4,19:09:54.415823,19:09:57.303462,-1,1.0
4,19:09:54.415823,19:09:57.383789,-1,1.0
4,19:09:54.415823,19:09:57.455717,-1,1.0
4,19:09:54.415823,19:09:57.534787,-1,1.0
5,19:09:57.548986,19:09:57.651202,-1,1.0
5,19:09:57.548986,19:09:57.739483,-1,1.0
5,19:09:57.548986,19:09:59.401249,-1,1.0
5,19:09:57.548986,19:09:59.471886,-1,1.0
5,19:09:57.548986,19:09:59.559546,-1,1.0
5,19:09:57.548986,19:09:59.631541,-1,1.0
5,19:09:57.548986,19:09:59.704577,-1,1.0
5,19:09:57.548986,19:09:59.781665,-1,1.0
5,19:09:57.548986,19:09:59.857792,-1,1.0
5,19:09:57.548986,19:09:59.931544,-1,1.0
5,19:09:57.548986,19:10:01.104331,-1,1.0
5,19:09:57.548986,19:10:01.303626,-1,1.0
5,19:09:57.548986,19:10:01.387603,-1,1.0
