Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:50:50.299821,14:50:52.418191,1,1.0
2,14:50:53.462068,14:50:55.016800,-1,1.0
2,14:50:53.462068,14:50:55.363051,-1,1.0
2,14:50:53.462068,14:50:55.778926,-1,1.0
2,14:50:53.462068,14:50:56.169726,-1,1.0
4,14:50:59.620054,14:51:02.604263,-1,1.0
5,14:51:02.620014,14:51:08.267379,-1,1.0
6,14:51:08.300914,14:51:10.738480,-1,1.0
7,14:51:10.769650,14:51:14.761710,1,1.0
8,14:51:14.793026,14:51:16.889116,-1,1.0
8,14:51:14.793026,14:51:17.156521,-1,1.0
8,14:51:14.793026,14:51:17.449814,-1,1.0
8,14:51:14.793026,14:51:17.723337,-1,1.0
9,14:51:17.748601,14:51:20.410418,-1,1.0
9,14:51:17.748601,14:51:20.730544,-1,1.0
10,14:51:21.101539,14:51:24.539111,-1,1.0
10,14:51:21.101539,14:51:24.740461,-1,1.0
