Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,18:40:37.987296,18:40:39.836976,-1,1.0
1,18:40:37.987296,18:40:40.272831,-1,1.0
1,18:40:37.987296,18:40:40.749226,-1,1.0
1,18:40:37.987296,18:40:41.125265,-1,1.0
1,18:40:37.987296,18:40:41.418526,-1,1.0
1,18:40:37.987296,18:40:41.670215,-1,1.0
1,18:40:37.987296,18:40:41.940619,-1,1.0
1,18:40:37.987296,18:40:42.228403,-1,1.0
1,18:40:37.987296,18:40:42.524877,-1,1.0
1,18:40:37.987296,18:40:42.823647,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,18:40:42.841740,18:40:44.738451,-1,1.0
2,18:40:42.841740,18:40:44.930267,-1,1.0
2,18:40:42.841740,18:40:45.132945,-1,1.0
2,18:40:42.841740,18:40:45.293616,-1,1.0
2,18:40:42.841740,18:40:45.472446,-1,1.0
2,18:40:42.841740,18:40:45.640732,-1,1.0
2,18:40:42.841740,18:40:45.829053,-1,1.0
2,18:40:42.841740,18:40:46.034631,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,18:40:46.058968,18:40:47.582806,-1,1.0
3,18:40:46.058968,18:40:47.814719,-1,1.0
3,18:40:46.058968,18:40:47.991011,-1,1.0
3,18:40:46.058968,18:40:48.194722,-1,1.0
3,18:40:46.058968,18:40:48.378422,-1,1.0
3,18:40:46.058968,18:40:48.564772,-1,1.0
3,18:40:46.058968,18:40:48.730017,-1,1.0
3,18:40:46.058968,18:40:49.040974,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,18:40:49.067680,18:40:50.495434,-1,1.0
4,18:40:49.067680,18:40:51.406216,-1,1.0
4,18:40:49.067680,18:40:51.685586,-1,1.0
4,18:40:49.067680,18:40:51.934352,-1,1.0
4,18:40:49.067680,18:40:52.179719,-1,1.0
4,18:40:49.067680,18:40:52.411901,-1,1.0
4,18:40:49.067680,18:40:52.628644,-1,1.0
4,18:40:49.067680,18:40:52.911846,-1,1.0
4,18:40:49.067680,18:40:53.270179,-1,1.0
4,18:40:49.067680,18:40:53.604497,-1,1.0
4,18:40:49.067680,18:40:53.942794,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,18:40:53.965779,18:40:55.166573,-1,1.0
5,18:40:53.965779,18:40:55.378358,-1,1.0
5,18:40:53.965779,18:40:55.574061,-1,1.0
5,18:40:53.965779,18:40:55.763491,-1,1.0
5,18:40:53.965779,18:40:55.949138,-1,1.0
5,18:40:53.965779,18:40:56.120783,-1,1.0
5,18:40:53.965779,18:40:56.296354,-1,1.0
5,18:40:53.965779,18:40:56.503322,-1,1.0
5,18:40:53.965779,18:40:56.811346,-1,1.0
