Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,18:47:46.630392,18:47:49.112937,-1,1.0
1,18:47:46.630392,18:47:50.172419,-1,1.0
1,18:47:46.630392,18:47:50.873982,-1,1.0
1,18:47:46.630392,18:47:51.476536,-1,1.0
1,18:47:46.630392,18:47:52.117627,-1,1.0
1,18:47:46.630392,18:47:52.695659,-1,1.0
1,18:47:46.630392,18:47:53.294838,-1,1.0
1,18:47:46.630392,18:47:53.881075,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,18:47:53.900950,18:47:55.535709,-1,1.0
2,18:47:53.900950,18:47:56.349510,-1,1.0
2,18:47:53.900950,18:47:56.907199,-1,1.0
2,18:47:53.900950,18:47:57.910626,-1,1.0
2,18:47:53.900950,18:47:58.590722,-1,1.0
2,18:47:53.900950,18:47:59.107360,-1,1.0
2,18:47:53.900950,18:47:59.528601,-1,1.0
2,18:47:53.900950,18:47:59.880941,-1,1.0
2,18:47:53.900950,18:48:00.215885,-1,1.0
2,18:47:53.900950,18:48:00.715656,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,18:48:00.735716,18:48:01.740641,-1,1.0
3,18:48:00.735716,18:48:02.080611,-1,1.0
3,18:48:00.735716,18:48:02.386248,-1,1.0
3,18:48:00.735716,18:48:02.656961,-1,1.0
3,18:48:00.735716,18:48:02.950872,-1,1.0
3,18:48:00.735716,18:48:03.257857,-1,1.0
3,18:48:00.735716,18:48:03.630434,-1,1.0
3,18:48:00.735716,18:48:03.971009,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,18:48:03.994248,18:48:05.200595,-1,1.0
4,18:48:03.994248,18:48:06.037285,-1,1.0
4,18:48:03.994248,18:48:06.800759,-1,1.0
4,18:48:03.994248,18:48:07.171744,-1,1.0
4,18:48:03.994248,18:48:07.451745,-1,1.0
4,18:48:03.994248,18:48:07.728396,-1,1.0
4,18:48:03.994248,18:48:08.057804,-1,1.0
4,18:48:03.994248,18:48:08.363806,-1,1.0
4,18:48:03.994248,18:48:08.666283,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,18:48:08.690433,18:48:09.816817,-1,1.0
5,18:48:08.690433,18:48:10.251489,-1,1.0
5,18:48:08.690433,18:48:10.819682,-1,1.0
