Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,18:41:16.215034,18:41:18.434888,-1,1.0
1,18:41:16.215034,18:41:18.868640,-1,1.0
1,18:41:16.215034,18:41:19.116300,-1,1.0
1,18:41:16.215034,18:41:19.300156,-1,1.0
1,18:41:16.215034,18:41:19.462646,-1,1.0
1,18:41:16.215034,18:41:19.656545,-1,1.0
1,18:41:16.215034,18:41:19.992667,-1,1.0
1,18:41:16.215034,18:41:20.284161,-1,1.0
1,18:41:16.215034,18:41:20.565367,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,18:41:20.590438,18:41:22.218383,-1,1.0
2,18:41:20.590438,18:41:22.529730,-1,1.0
2,18:41:20.590438,18:41:22.844075,-1,1.0
2,18:41:20.590438,18:41:23.094449,-1,1.0
2,18:41:20.590438,18:41:23.407465,-1,1.0
2,18:41:20.590438,18:41:23.694739,-1,1.0
2,18:41:20.590438,18:41:23.982716,-1,1.0
2,18:41:20.590438,18:41:24.353054,-1,1.0
2,18:41:20.590438,18:41:24.856077,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,18:41:24.879093,18:41:25.865738,-1,1.0
3,18:41:24.879093,18:41:26.221625,-1,1.0
3,18:41:24.879093,18:41:27.505772,-1,1.0
3,18:41:24.879093,18:41:27.914200,-1,1.0
3,18:41:24.879093,18:41:28.313508,-1,1.0
3,18:41:24.879093,18:41:28.734238,-1,1.0
3,18:41:24.879093,18:41:29.104321,-1,1.0
3,18:41:24.879093,18:41:29.455544,-1,1.0
3,18:41:24.879093,18:41:29.901217,-1,1.0
3,18:41:24.879093,18:41:30.331438,-1,1.0
3,18:41:24.879093,18:41:30.763339,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,18:41:30.785125,18:41:32.398920,-1,1.0
4,18:41:30.785125,18:41:32.845776,-1,1.0
4,18:41:30.785125,18:41:33.298539,-1,1.0
4,18:41:30.785125,18:41:33.883473,-1,1.0
4,18:41:30.785125,18:41:34.533838,-1,1.0
4,18:41:30.785125,18:41:35.065565,-1,1.0
4,18:41:30.785125,18:41:35.452361,-1,1.0
4,18:41:30.785125,18:41:35.767115,-1,1.0
4,18:41:30.785125,18:41:36.159957,-1,1.0
4,18:41:30.785125,18:41:36.576690,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,18:41:36.597219,18:41:37.637195,-1,1.0
5,18:41:36.597219,18:41:38.031066,-1,1.0
5,18:41:36.597219,18:41:38.396175,-1,1.0
5,18:41:36.597219,18:41:38.710344,-1,1.0
5,18:41:36.597219,18:41:38.999254,-1,1.0
5,18:41:36.597219,18:41:39.312795,-1,1.0
5,18:41:36.597219,18:41:39.627452,-1,1.0
5,18:41:36.597219,18:41:39.936022,-1,1.0
5,18:41:36.597219,18:41:40.233473,-1,1.0
5,18:41:36.597219,18:41:40.616029,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,18:41:40.636585,18:41:42.399880,-1,1.0
6,18:41:40.636585,18:41:42.738596,-1,1.0
6,18:41:40.636585,18:41:42.959182,-1,1.0
6,18:41:40.636585,18:41:43.157204,-1,1.0
6,18:41:40.636585,18:41:43.409204,-1,1.0
6,18:41:40.636585,18:41:43.618603,-1,1.0
6,18:41:40.636585,18:41:43.881267,-1,1.0
6,18:41:40.636585,18:41:44.128584,-1,1.0
6,18:41:40.636585,18:41:44.476298,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
7,18:41:44.499330,18:41:45.767596,-1,1.0
7,18:41:44.499330,18:41:46.207179,-1,1.0
7,18:41:44.499330,18:41:47.154162,-1,1.0
7,18:41:44.499330,18:41:47.646767,-1,1.0
7,18:41:44.499330,18:41:48.191805,-1,1.0
7,18:41:44.499330,18:41:48.453887,-1,1.0
7,18:41:44.499330,18:41:48.798602,-1,1.0
7,18:41:44.499330,18:41:49.245427,-1,1.0
7,18:41:44.499330,18:41:49.790763,-1,1.0
7,18:41:44.499330,18:41:50.344821,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
8,18:41:50.369884,18:41:51.695011,-1,1.0
8,18:41:50.369884,18:41:52.247711,-1,1.0
8,18:41:50.369884,18:41:52.594847,-1,1.0
8,18:41:50.369884,18:41:52.878625,-1,1.0
8,18:41:50.369884,18:41:53.124990,-1,1.0
8,18:41:50.369884,18:41:53.381122,-1,1.0
8,18:41:50.369884,18:41:53.699832,-1,1.0
8,18:41:50.369884,18:41:54.022554,-1,1.0
8,18:41:50.369884,18:41:54.338258,-1,1.0
8,18:41:50.369884,18:41:54.872384,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
9,18:41:54.887164,18:41:58.070660,-1,1.0
9,18:41:54.887164,18:41:58.367295,-1,1.0
9,18:41:54.887164,18:41:58.598125,-1,1.0
9,18:41:54.887164,18:41:58.814794,-1,1.0
9,18:41:54.887164,18:41:58.969113,-1,1.0
9,18:41:54.887164,18:41:59.146025,-1,1.0
9,18:41:54.887164,18:41:59.602072,-1,1.0
9,18:41:54.887164,18:41:59.939745,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
10,18:41:59.966385,18:42:01.044695,-1,1.0
10,18:41:59.966385,18:42:01.326075,-1,1.0
10,18:41:59.966385,18:42:01.629490,-1,1.0
10,18:41:59.966385,18:42:01.955599,-1,1.0
10,18:41:59.966385,18:42:02.243937,-1,1.0
10,18:41:59.966385,18:42:02.442692,-1,1.0
10,18:41:59.966385,18:42:02.750255,-1,1.0
10,18:41:59.966385,18:42:03.084991,-1,1.0
10,18:41:59.966385,18:42:03.432944,-1,1.0
10,18:41:59.966385,18:42:03.771042,-1,1.0
