Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,18:44:19.845388,18:44:22.028086,-1,1.0
1,18:44:19.845388,18:44:22.883869,-1,1.0
1,18:44:19.845388,18:44:24.589761,-1,1.0
1,18:44:19.845388,18:44:26.156317,1,1.0
1,18:44:19.845388,18:44:27.325716,-1,1.0
1,18:44:19.845388,18:44:29.548637,1,1.0
1,18:44:19.845388,18:44:30.489655,-1,1.0
1,18:44:19.845388,18:44:32.235836,1,1.0
1,18:44:19.845388,18:44:33.089879,-1,1.0
1,18:44:19.845388,18:44:34.325976,-1,1.0
1,18:44:19.845388,18:44:35.047456,-1,1.0
1,18:44:19.845388,18:44:35.578388,-1,1.0
1,18:44:19.845388,18:44:36.147831,-1,1.0
1,18:44:19.845388,18:44:37.179227,-1,1.0
1,18:44:19.845388,18:44:37.779628,-1,1.0
1,18:44:19.845388,18:44:38.936812,-1,1.0
1,18:44:19.845388,18:44:40.556666,1,1.0
1,18:44:19.845388,18:44:41.443776,1,1.0
1,18:44:19.845388,18:44:45.485677,-1,1.0
1,18:44:19.845388,18:44:46.380964,1,1.0
1,18:44:19.845388,18:44:48.847988,1,1.0
1,18:44:19.845388,18:44:49.454935,-1,1.0
1,18:44:19.845388,18:44:50.067456,-1,1.0
1,18:44:19.845388,18:44:50.467826,-1,1.0
1,18:44:19.845388,18:44:50.867597,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,18:44:50.889931,18:44:54.610657,1,1.0
2,18:44:50.889931,18:44:55.868185,1,1.0
2,18:44:50.889931,18:44:57.741266,1,1.0
2,18:44:50.889931,18:44:58.430638,-1,1.0
2,18:44:50.889931,18:44:59.021136,-1,1.0
2,18:44:50.889931,18:44:59.650300,-1,1.0
2,18:44:50.889931,18:45:00.413008,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,18:45:00.437158,18:45:02.941392,1,1.0
3,18:45:00.437158,18:45:04.011991,1,1.0
3,18:45:00.437158,18:45:04.789647,1,1.0
3,18:45:00.437158,18:45:05.529614,1,1.0
3,18:45:00.437158,18:45:06.145712,1,1.0
3,18:45:00.437158,18:45:06.709120,-1,1.0
3,18:45:00.437158,18:45:07.141872,-1,1.0
3,18:45:00.437158,18:45:07.518986,-1,1.0
3,18:45:00.437158,18:45:07.909501,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,18:45:07.935151,18:45:09.564950,1,1.0
4,18:45:07.935151,18:45:10.570330,1,1.0
4,18:45:07.935151,18:45:11.031118,1,1.0
4,18:45:07.935151,18:45:11.764422,1,1.0
4,18:45:07.935151,18:45:12.890528,1,1.0
4,18:45:07.935151,18:45:13.250483,-1,1.0
4,18:45:07.935151,18:45:13.867813,-1,1.0
4,18:45:07.935151,18:45:14.262267,-1,1.0
4,18:45:07.935151,18:45:14.629676,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,18:45:14.653594,18:45:17.463826,1,1.0
5,18:45:14.653594,18:45:18.294609,1,1.0
5,18:45:14.653594,18:45:18.936383,1,1.0
5,18:45:14.653594,18:45:20.009944,1,1.0
5,18:45:14.653594,18:45:20.712172,-1,1.0
5,18:45:14.653594,18:45:22.148332,1,1.0
5,18:45:14.653594,18:45:23.318933,-1,1.0
5,18:45:14.653594,18:45:24.367387,-1,1.0
5,18:45:14.653594,18:45:25.068791,-1,1.0
5,18:45:14.653594,18:45:25.858764,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,18:45:25.881812,18:45:28.856654,1,1.0
6,18:45:25.881812,18:45:31.007133,1,1.0
6,18:45:25.881812,18:45:31.621075,1,1.0
6,18:45:25.881812,18:45:32.967780,1,1.0
6,18:45:25.881812,18:45:33.401290,-1,1.0
6,18:45:25.881812,18:45:33.994770,-1,1.0
6,18:45:25.881812,18:45:35.190758,-1,1.0
6,18:45:25.881812,18:45:36.491085,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
7,18:45:36.511958,18:45:38.470848,1,1.0
7,18:45:36.511958,18:45:39.250017,1,1.0
7,18:45:36.511958,18:45:40.076442,1,1.0
