Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:09:50.623367,16:09:53.089459,-1,-1.0
1,16:09:50.623367,16:09:54.076390,-1,-1.0
1,16:09:50.623367,16:09:54.626517,1,-1.0
1,16:09:50.623367,16:09:55.295209,1,-1.0
1,16:09:50.623367,16:09:56.316885,1,-1.0
1,16:09:50.623367,16:09:56.909357,1,-1.0
1,16:09:50.623367,16:09:57.407569,1,-1.0
1,16:09:50.623367,16:09:57.946882,1,-1.0
1,16:09:50.623367,16:09:58.571262,1,-1.0
1,16:09:50.623367,16:09:59.402736,-1,-1.0
1,16:09:50.623367,16:10:00.379443,-1,-1.0
1,16:09:50.623367,16:10:00.950855,-1,-1.0
1,16:09:50.623367,16:10:01.555077,-1,-1.0
1,16:09:50.623367,16:10:03.079476,1,-1.0
1,16:09:50.623367,16:10:03.898864,-1,-1.0
1,16:09:50.623367,16:10:04.394319,-1,-1.0
1,16:09:50.623367,16:10:04.819839,-1,-1.0
1,16:09:50.623367,16:10:05.346533,-1,-1.0
1,16:09:50.623367,16:10:06.170467,-1,-1.0
1,16:09:50.623367,16:10:07.430856,-1,-1.0
1,16:09:50.623367,16:10:07.956035,1,-1.0
1,16:09:50.623367,16:10:08.276954,1,-1.0
1,16:09:50.623367,16:10:08.598403,1,-1.0
1,16:09:50.623367,16:10:08.817626,1,-1.0
1,16:09:50.623367,16:10:09.028603,1,-1.0
1,16:09:50.623367,16:10:09.301537,1,-1.0
1,16:09:50.623367,16:10:09.562359,1,-1.0
1,16:09:50.623367,16:10:09.840394,1,-1.0
1,16:09:50.623367,16:10:10.279749,1,-1.0
1,16:09:50.623367,16:10:10.517292,1,-1.0
1,16:09:50.623367,16:10:10.783017,1,-1.0
1,16:09:50.623367,16:10:11.002960,1,-1.0
1,16:09:50.623367,16:10:11.217435,1,-1.0
1,16:09:50.623367,16:10:11.488272,-1,-1.0
1,16:09:50.623367,16:10:11.737112,-1,-1.0
1,16:09:50.623367,16:10:11.969755,-1,-1.0
1,16:09:50.623367,16:10:12.193472,-1,-1.0
1,16:09:50.623367,16:10:12.406806,-1,-1.0
1,16:09:50.623367,16:10:12.680079,-1,-1.0
1,16:09:50.623367,16:10:12.917891,1,-1.0
1,16:09:50.623367,16:10:13.135408,1,-1.0
1,16:09:50.623367,16:10:13.347882,1,-1.0
1,16:09:50.623367,16:10:13.554730,1,-1.0
1,16:09:50.623367,16:10:13.746636,1,-1.0
1,16:09:50.623367,16:10:13.947887,1,-1.0
1,16:09:50.623367,16:10:14.158409,1,-1.0
1,16:09:50.623367,16:10:14.340771,1,-1.0
1,16:09:50.623367,16:10:14.612276,-1,-1.0
1,16:09:50.623367,16:10:14.865128,-1,-1.0
1,16:09:50.623367,16:10:15.087429,-1,-1.0
1,16:09:50.623367,16:10:15.309624,-1,-1.0
1,16:09:50.623367,16:10:15.499292,-1,-1.0
1,16:09:50.623367,16:10:15.700666,-1,-1.0
1,16:09:50.623367,16:10:15.978375,-1,-1.0
1,16:09:50.623367,16:10:16.386107,1,-1.0
1,16:09:50.623367,16:10:16.649367,1,-1.0
1,16:09:50.623367,16:10:16.866433,1,-1.0
1,16:09:50.623367,16:10:17.080561,1,-1.0
1,16:09:50.623367,16:10:17.263191,1,-1.0
1,16:09:50.623367,16:10:17.516291,1,-1.0
1,16:09:50.623367,16:10:17.759696,-1,-1.0
1,16:09:50.623367,16:10:18.000912,-1,-1.0
1,16:09:50.623367,16:10:18.225179,-1,-1.0
1,16:09:50.623367,16:10:18.454701,-1,-1.0
1,16:09:50.623367,16:10:18.704095,-1,-1.0
1,16:09:50.623367,16:10:18.939675,-1,-1.0
1,16:09:50.623367,16:10:19.124262,-1,-1.0
