Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,17:40:14.835445,17:40:17.332130,-1,1.0
1,17:40:14.835445,17:40:17.811889,-1,1.0
1,17:40:14.835445,17:40:18.166237,-1,1.0
1,17:40:14.835445,17:40:18.824526,-1,1.0
1,17:40:14.835445,17:40:19.260112,-1,1.0
1,17:40:14.835445,17:40:19.682076,-1,1.0
1,17:40:14.835445,17:40:20.566128,-1,1.0
1,17:40:14.835445,17:40:21.504893,-1,1.0
1,17:40:14.835445,17:40:21.928487,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,17:40:21.950357,17:40:23.925031,-1,1.0
2,17:40:21.950357,17:40:24.553795,-1,1.0
2,17:40:21.950357,17:40:25.085049,-1,1.0
2,17:40:21.950357,17:40:25.548407,-1,1.0
2,17:40:21.950357,17:40:25.900371,-1,1.0
2,17:40:21.950357,17:40:26.228110,-1,1.0
2,17:40:21.950357,17:40:26.553522,-1,1.0
2,17:40:21.950357,17:40:26.887630,-1,1.0
2,17:40:21.950357,17:40:27.838296,-1,1.0
2,17:40:21.950357,17:40:28.268580,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,17:40:28.297085,17:40:30.753122,-1,1.0
3,17:40:28.297085,17:40:31.147364,-1,1.0
3,17:40:28.297085,17:40:31.515653,-1,1.0
3,17:40:28.297085,17:40:32.019368,-1,1.0
3,17:40:28.297085,17:40:32.477463,-1,1.0
3,17:40:28.297085,17:40:32.834231,-1,1.0
3,17:40:28.297085,17:40:33.156326,-1,1.0
3,17:40:28.297085,17:40:33.430221,-1,1.0
3,17:40:28.297085,17:40:33.830176,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,17:40:33.857241,17:40:35.943565,-1,1.0
4,17:40:33.857241,17:40:36.251224,-1,1.0
4,17:40:33.857241,17:40:36.569375,-1,1.0
4,17:40:33.857241,17:40:36.854392,-1,1.0
4,17:40:33.857241,17:40:37.197416,-1,1.0
4,17:40:33.857241,17:40:37.501290,-1,1.0
4,17:40:33.857241,17:40:37.961615,-1,1.0
4,17:40:33.857241,17:40:38.322694,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,17:40:38.342911,17:40:40.487518,-1,1.0
5,17:40:38.342911,17:40:41.088563,-1,1.0
5,17:40:38.342911,17:40:41.549074,-1,1.0
5,17:40:38.342911,17:40:41.866408,-1,1.0
5,17:40:38.342911,17:40:42.100327,-1,1.0
5,17:40:38.342911,17:40:42.354116,-1,1.0
5,17:40:38.342911,17:40:42.884818,-1,1.0
