Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:44:47.836992,16:44:49.662861,-1,-1.0
1,16:44:47.836992,16:44:49.743990,-1,-1.0
1,16:44:47.836992,16:44:49.826749,-1,-1.0
1,16:44:47.836992,16:44:49.910966,-1,-1.0
1,16:44:47.836992,16:44:49.984815,-1,-1.0
1,16:44:47.836992,16:44:50.062120,-1,-1.0
1,16:44:47.836992,16:44:50.140931,-1,-1.0
1,16:44:47.836992,16:44:50.215670,-1,-1.0
1,16:44:47.836992,16:44:50.299110,-1,-1.0
1,16:44:47.836992,16:44:50.374150,-1,-1.0
1,16:44:47.836992,16:44:50.450973,-1,-1.0
1,16:44:47.836992,16:44:50.534939,-1,-1.0
1,16:44:47.836992,16:44:50.620088,-1,-1.0
1,16:44:47.836992,16:44:50.708249,1,-1.0
1,16:44:47.836992,16:44:50.787828,-1,-1.0
1,16:44:47.836992,16:44:50.870019,-1,-1.0
1,16:44:47.836992,16:44:50.948521,-1,-1.0
1,16:44:47.836992,16:44:51.025237,-1,-1.0
1,16:44:47.836992,16:44:51.120505,-1,-1.0
1,16:44:47.836992,16:44:51.196927,-1,-1.0
1,16:44:47.836992,16:44:51.280467,-1,-1.0
1,16:44:47.836992,16:44:51.365570,-1,-1.0
1,16:44:47.836992,16:44:51.442754,-1,-1.0
1,16:44:47.836992,16:44:51.522205,-1,-1.0
1,16:44:47.836992,16:44:51.605338,-1,-1.0
1,16:44:47.836992,16:44:51.684907,-1,-1.0
1,16:44:47.836992,16:44:51.766935,-1,-1.0
1,16:44:47.836992,16:44:51.846896,1,-1.0
1,16:44:47.836992,16:44:52.290197,-1,-1.0
1,16:44:47.836992,16:44:52.369378,-1,-1.0
1,16:44:47.836992,16:44:52.453081,-1,-1.0
1,16:44:47.836992,16:44:52.527215,-1,-1.0
1,16:44:47.836992,16:44:52.605841,-1,-1.0
1,16:44:47.836992,16:44:52.688903,-1,-1.0
1,16:44:47.836992,16:44:52.768113,-1,-1.0
1,16:44:47.836992,16:44:52.844536,-1,-1.0
1,16:44:47.836992,16:44:52.930882,-1,-1.0
1,16:44:47.836992,16:44:53.008343,-1,-1.0
1,16:44:47.836992,16:44:53.091645,-1,-1.0
1,16:44:47.836992,16:44:53.174949,-1,-1.0
1,16:44:47.836992,16:44:53.260329,-1,-1.0
1,16:44:47.836992,16:44:53.344887,-1,-1.0
1,16:44:47.836992,16:44:53.427210,-1,-1.0
1,16:44:47.836992,16:44:53.502048,-1,-1.0
1,16:44:47.836992,16:44:53.578603,-1,-1.0
1,16:44:47.836992,16:44:53.665449,-1,-1.0
1,16:44:47.836992,16:44:53.747945,-1,-1.0
1,16:44:47.836992,16:44:53.831726,-1,-1.0
1,16:44:47.836992,16:44:53.913347,-1,-1.0
1,16:44:47.836992,16:44:54.005728,-1,-1.0
1,16:44:47.836992,16:44:54.090208,-1,-1.0
1,16:44:47.836992,16:44:54.171819,-1,-1.0
1,16:44:47.836992,16:44:54.248304,-1,-1.0
1,16:44:47.836992,16:44:54.329486,-1,-1.0
1,16:44:47.836992,16:44:54.411200,-1,-1.0
1,16:44:47.836992,16:44:54.497091,-1,-1.0
1,16:44:47.836992,16:44:54.578734,-1,-1.0
1,16:44:47.836992,16:44:54.652367,-1,-1.0
1,16:44:47.836992,16:44:54.731910,-1,-1.0
1,16:44:47.836992,16:44:54.811772,-1,-1.0
1,16:44:47.836992,16:44:54.894893,-1,-1.0
1,16:44:47.836992,16:44:54.982036,1,-1.0
1,16:44:47.836992,16:44:55.068077,1,-1.0
1,16:44:47.836992,16:44:55.151617,1,-1.0
1,16:44:47.836992,16:44:55.223791,-1,-1.0
1,16:44:47.836992,16:44:55.304021,-1,-1.0
1,16:44:47.836992,16:44:55.384958,-1,-1.0
1,16:44:47.836992,16:44:55.469028,-1,-1.0
1,16:44:47.836992,16:44:55.543589,-1,-1.0
1,16:44:47.836992,16:44:55.622964,-1,-1.0
1,16:44:47.836992,16:44:55.706629,-1,-1.0
1,16:44:47.836992,16:44:55.788042,-1,-1.0
1,16:44:47.836992,16:44:55.873240,-1,-1.0
1,16:44:47.836992,16:44:55.949667,1,-1.0
1,16:44:47.836992,16:44:56.253548,-1,-1.0
1,16:44:47.836992,16:44:56.335313,-1,-1.0
1,16:44:47.836992,16:44:56.423084,-1,-1.0
1,16:44:47.836992,16:44:56.511680,1,-1.0
1,16:44:47.836992,16:44:56.593856,-1,-1.0
1,16:44:47.836992,16:44:56.675351,1,-1.0
1,16:44:47.836992,16:44:56.756838,-1,-1.0
1,16:44:47.836992,16:44:56.843134,-1,-1.0
1,16:44:47.836992,16:44:57.114351,-1,-1.0
1,16:44:47.836992,16:44:57.198800,-1,-1.0
1,16:44:47.836992,16:44:57.286783,-1,-1.0
1,16:44:47.836992,16:44:57.380945,-1,-1.0
1,16:44:47.836992,16:44:57.458202,-1,-1.0
1,16:44:47.836992,16:44:57.536584,-1,-1.0
1,16:44:47.836992,16:44:57.613678,-1,-1.0
1,16:44:47.836992,16:44:57.693857,-1,-1.0
1,16:44:47.836992,16:44:57.771954,-1,-1.0
1,16:44:47.836992,16:44:57.865246,-1,-1.0
1,16:44:47.836992,16:44:57.945511,-1,-1.0
1,16:44:47.836992,16:44:58.334972,-1,-1.0
1,16:44:47.836992,16:44:58.412288,-1,-1.0
1,16:44:47.836992,16:44:58.495166,-1,-1.0
1,16:44:47.836992,16:44:58.582920,-1,-1.0
1,16:44:47.836992,16:44:58.665101,-1,-1.0
1,16:44:47.836992,16:45:00.015148,1,-1.0
1,16:44:47.836992,16:45:00.094187,1,-1.0
1,16:44:47.836992,16:45:00.172615,1,-1.0
1,16:44:47.836992,16:45:00.250860,1,-1.0
1,16:44:47.836992,16:45:00.338356,1,-1.0
1,16:44:47.836992,16:45:00.422923,1,-1.0
1,16:44:47.836992,16:45:00.507994,1,-1.0
1,16:44:47.836992,16:45:00.592741,1,-1.0
1,16:44:47.836992,16:45:00.675708,1,-1.0
1,16:44:47.836992,16:45:00.758337,1,-1.0
1,16:44:47.836992,16:45:00.837074,1,-1.0
1,16:44:47.836992,16:45:00.916865,1,-1.0
1,16:44:47.836992,16:45:00.999519,1,-1.0
1,16:44:47.836992,16:45:01.084255,1,-1.0
1,16:44:47.836992,16:45:01.166611,1,-1.0
1,16:44:47.836992,16:45:01.245027,1,-1.0
1,16:44:47.836992,16:45:01.330780,1,-1.0
1,16:44:47.836992,16:45:01.417831,1,-1.0
1,16:44:47.836992,16:45:01.507451,1,-1.0
1,16:44:47.836992,16:45:01.589920,1,-1.0
1,16:44:47.836992,16:45:01.682974,1,-1.0
1,16:44:47.836992,16:45:01.761267,1,-1.0
1,16:44:47.836992,16:45:01.839471,1,-1.0
1,16:44:47.836992,16:45:01.925002,1,-1.0
1,16:44:47.836992,16:45:02.011899,1,-1.0
1,16:44:47.836992,16:45:02.106792,1,-1.0
1,16:44:47.836992,16:45:02.183952,1,-1.0
1,16:44:47.836992,16:45:02.262939,1,-1.0
1,16:44:47.836992,16:45:02.353468,1,-1.0
1,16:44:47.836992,16:45:02.436528,1,-1.0
1,16:44:47.836992,16:45:02.518990,1,-1.0
1,16:44:47.836992,16:45:02.600706,1,-1.0
1,16:44:47.836992,16:45:04.025588,1,-1.0
1,16:44:47.836992,16:45:04.113011,1,-1.0
1,16:44:47.836992,16:45:04.214641,1,-1.0
1,16:44:47.836992,16:45:04.319594,1,-1.0
1,16:44:47.836992,16:45:04.395096,1,-1.0
1,16:44:47.836992,16:45:04.482825,1,-1.0
1,16:44:47.836992,16:45:04.564968,1,-1.0
1,16:44:47.836992,16:45:04.650806,1,-1.0
1,16:44:47.836992,16:45:04.734906,1,-1.0
1,16:44:47.836992,16:45:04.816461,1,-1.0
1,16:44:47.836992,16:45:04.898111,1,-1.0
1,16:44:47.836992,16:45:04.978576,1,-1.0
1,16:44:47.836992,16:45:05.054873,1,-1.0
1,16:44:47.836992,16:45:05.133562,1,-1.0
1,16:44:47.836992,16:45:05.213068,1,-1.0
1,16:44:47.836992,16:45:05.293632,1,-1.0
1,16:44:47.836992,16:45:05.373950,1,-1.0
1,16:44:47.836992,16:45:05.456654,1,-1.0
1,16:44:47.836992,16:45:05.542063,1,-1.0
1,16:44:47.836992,16:45:05.624657,1,-1.0
1,16:44:47.836992,16:45:05.705784,1,-1.0
1,16:44:47.836992,16:45:05.791165,1,-1.0
1,16:44:47.836992,16:45:05.869330,1,-1.0
1,16:44:47.836992,16:45:05.951132,1,-1.0
1,16:44:47.836992,16:45:06.034920,-1,-1.0
1,16:44:47.836992,16:45:06.114784,-1,-1.0
1,16:44:47.836992,16:45:06.196833,-1,-1.0
1,16:44:47.836992,16:45:06.278409,-1,-1.0
1,16:44:47.836992,16:45:06.372045,-1,-1.0
1,16:44:47.836992,16:45:06.458487,-1,-1.0
1,16:44:47.836992,16:45:06.541232,-1,-1.0
1,16:44:47.836992,16:45:06.628346,-1,-1.0
1,16:44:47.836992,16:45:06.707857,-1,-1.0
1,16:44:47.836992,16:45:06.795345,-1,-1.0
1,16:44:47.836992,16:45:06.874110,-1,-1.0
1,16:44:47.836992,16:45:06.953869,-1,-1.0
1,16:44:47.836992,16:45:07.037295,-1,-1.0
1,16:44:47.836992,16:45:07.114802,-1,-1.0
1,16:44:47.836992,16:45:07.194969,-1,-1.0
1,16:44:47.836992,16:45:07.280328,-1,-1.0
1,16:44:47.836992,16:45:07.366721,-1,-1.0
1,16:44:47.836992,16:45:07.446972,-1,-1.0
1,16:44:47.836992,16:45:07.534132,-1,-1.0
1,16:44:47.836992,16:45:07.618230,-1,-1.0
1,16:44:47.836992,16:45:07.696649,-1,-1.0
1,16:44:47.836992,16:45:07.775429,-1,-1.0
1,16:44:47.836992,16:45:07.853694,1,-1.0
1,16:44:47.836992,16:45:07.939787,1,-1.0
1,16:44:47.836992,16:45:08.022308,1,-1.0
1,16:44:47.836992,16:45:08.102258,1,-1.0
1,16:44:47.836992,16:45:08.182578,1,-1.0
1,16:44:47.836992,16:45:08.262545,1,-1.0
1,16:44:47.836992,16:45:08.346904,1,-1.0
1,16:44:47.836992,16:45:08.424558,1,-1.0
1,16:44:47.836992,16:45:08.506577,1,-1.0
1,16:44:47.836992,16:45:08.587929,1,-1.0
1,16:44:47.836992,16:45:08.671155,1,-1.0
1,16:44:47.836992,16:45:08.754953,1,-1.0
1,16:44:47.836992,16:45:08.837580,1,-1.0
1,16:44:47.836992,16:45:08.914640,1,-1.0
1,16:44:47.836992,16:45:08.999348,1,-1.0
1,16:44:47.836992,16:45:09.080733,1,-1.0
1,16:44:47.836992,16:45:09.165034,1,-1.0
1,16:44:47.836992,16:45:09.253343,1,-1.0
1,16:44:47.836992,16:45:09.333551,1,-1.0
1,16:44:47.836992,16:45:09.416959,1,-1.0
1,16:44:47.836992,16:45:09.497597,1,-1.0
1,16:44:47.836992,16:45:09.580304,1,-1.0
1,16:44:47.836992,16:45:09.659005,1,-1.0
1,16:44:47.836992,16:45:09.745330,-1,-1.0
1,16:44:47.836992,16:45:09.827432,-1,-1.0
1,16:44:47.836992,16:45:09.908651,-1,-1.0
