Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,17:49:26.139060,17:49:35.745515,1,-1.0
1,17:49:26.139060,17:49:35.861125,1,-1.0
1,17:49:26.139060,17:49:35.967807,1,-1.0
1,17:49:26.139060,17:49:36.075813,1,-1.0
1,17:49:26.139060,17:49:36.170406,1,-1.0
1,17:49:26.139060,17:49:36.262542,1,-1.0
1,17:49:26.139060,17:49:36.377143,1,-1.0
1,17:49:26.139060,17:49:36.663220,-1,-1.0
1,17:49:26.139060,17:49:36.764261,-1,-1.0
1,17:49:26.139060,17:49:36.866909,-1,-1.0
1,17:49:26.139060,17:49:36.992333,-1,-1.0
1,17:49:26.139060,17:49:37.163929,-1,-1.0
1,17:49:26.139060,17:49:37.336302,-1,-1.0
1,17:49:26.139060,17:49:38.582730,1,-1.0
1,17:49:26.139060,17:49:38.692370,1,-1.0
1,17:49:26.139060,17:49:38.802199,1,-1.0
1,17:49:26.139060,17:49:38.920219,1,-1.0
1,17:49:26.139060,17:49:39.026655,1,-1.0
1,17:49:26.139060,17:49:39.132856,1,-1.0
1,17:49:26.139060,17:49:39.226972,1,-1.0
1,17:49:26.139060,17:49:39.332784,1,-1.0
1,17:49:26.139060,17:49:39.444135,-1,-1.0
1,17:49:26.139060,17:49:43.564895,1,-1.0
1,17:49:26.139060,17:49:43.663775,1,-1.0
1,17:49:26.139060,17:49:43.756169,1,-1.0
1,17:49:26.139060,17:49:43.846526,1,-1.0
1,17:49:26.139060,17:49:47.894098,1,-1.0
1,17:49:26.139060,17:49:47.996784,1,-1.0
1,17:49:26.139060,17:49:48.120015,1,-1.0
1,17:49:26.139060,17:49:48.212827,1,-1.0
1,17:49:26.139060,17:49:48.308939,1,-1.0
1,17:49:26.139060,17:49:48.414144,1,-1.0
1,17:49:26.139060,17:49:48.511579,1,-1.0
1,17:49:26.139060,17:49:48.607716,1,-1.0
1,17:49:26.139060,17:49:48.692758,1,-1.0
1,17:49:26.139060,17:49:48.767906,1,-1.0
1,17:49:26.139060,17:49:48.847450,1,-1.0
1,17:49:26.139060,17:49:48.921468,1,-1.0
1,17:49:26.139060,17:49:48.994810,1,-1.0
1,17:49:26.139060,17:49:51.015852,1,-1.0
1,17:49:26.139060,17:49:51.145698,1,-1.0
1,17:49:26.139060,17:49:51.275385,1,-1.0
1,17:49:26.139060,17:49:51.389442,1,-1.0
1,17:49:26.139060,17:49:54.874070,1,-1.0
1,17:49:26.139060,17:49:59.875038,1,-1.0
1,17:49:26.139060,17:49:59.987536,1,-1.0
1,17:49:26.139060,17:50:03.908819,1,-1.0
1,17:49:26.139060,17:50:04.014985,1,-1.0
1,17:49:26.139060,17:50:04.134951,1,-1.0
1,17:49:26.139060,17:50:04.226308,1,-1.0
1,17:49:26.139060,17:50:04.308712,1,-1.0
1,17:49:26.139060,17:50:04.409892,1,-1.0
1,17:49:26.139060,17:50:04.522602,1,-1.0
1,17:49:26.139060,17:50:04.713993,-1,-1.0
1,17:49:26.139060,17:50:05.507318,1,-1.0
1,17:49:26.139060,17:50:05.614050,1,-1.0
1,17:49:26.139060,17:50:06.548329,1,-1.0
1,17:49:26.139060,17:50:09.455133,1,-1.0
1,17:49:26.139060,17:50:09.563750,1,-1.0
1,17:49:26.139060,17:50:09.682914,1,-1.0
1,17:49:26.139060,17:50:09.818231,1,-1.0
1,17:49:26.139060,17:50:10.720259,1,-1.0
1,17:49:26.139060,17:50:10.845563,1,-1.0
1,17:49:26.139060,17:50:10.948641,1,-1.0
1,17:49:26.139060,17:50:11.065881,1,-1.0
1,17:49:26.139060,17:50:11.167256,1,-1.0
