Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:59:13.007247,16:59:18.439927,1,-1.0
1,16:59:13.007247,16:59:18.511136,1,-1.0
1,16:59:13.007247,16:59:18.582043,1,-1.0
1,16:59:13.007247,16:59:18.657969,1,-1.0
1,16:59:13.007247,16:59:18.729770,1,-1.0
1,16:59:13.007247,16:59:18.802635,1,-1.0
1,16:59:13.007247,16:59:18.877796,1,-1.0
1,16:59:13.007247,16:59:18.957924,1,-1.0
1,16:59:13.007247,16:59:19.033414,1,-1.0
1,16:59:13.007247,16:59:19.109897,1,-1.0
1,16:59:13.007247,16:59:19.181231,1,-1.0
1,16:59:13.007247,16:59:19.253650,1,-1.0
1,16:59:13.007247,16:59:19.333357,1,-1.0
1,16:59:13.007247,16:59:19.404341,1,-1.0
1,16:59:13.007247,16:59:19.477776,1,-1.0
1,16:59:13.007247,16:59:19.561253,1,-1.0
1,16:59:13.007247,16:59:19.635294,1,-1.0
1,16:59:13.007247,16:59:19.712117,1,-1.0
1,16:59:13.007247,16:59:19.789997,1,-1.0
1,16:59:13.007247,16:59:19.870513,1,-1.0
1,16:59:13.007247,16:59:19.946255,-1,-1.0
1,16:59:13.007247,16:59:20.018998,-1,-1.0
1,16:59:13.007247,16:59:20.089846,-1,-1.0
1,16:59:13.007247,16:59:20.165699,-1,-1.0
1,16:59:13.007247,16:59:20.245523,-1,-1.0
1,16:59:13.007247,16:59:20.319176,-1,-1.0
1,16:59:13.007247,16:59:20.395566,-1,-1.0
1,16:59:13.007247,16:59:20.466612,-1,-1.0
1,16:59:13.007247,16:59:20.545606,-1,-1.0
1,16:59:13.007247,16:59:20.624749,-1,-1.0
1,16:59:13.007247,16:59:20.700118,-1,-1.0
1,16:59:13.007247,16:59:20.778763,-1,-1.0
1,16:59:13.007247,16:59:20.855257,-1,-1.0
1,16:59:13.007247,16:59:20.933828,-1,-1.0
1,16:59:13.007247,16:59:21.013300,-1,-1.0
1,16:59:13.007247,16:59:21.094658,-1,-1.0
1,16:59:13.007247,16:59:21.168991,-1,-1.0
1,16:59:13.007247,16:59:21.238794,-1,-1.0
1,16:59:13.007247,16:59:21.313402,-1,-1.0
1,16:59:13.007247,16:59:21.391081,1,-1.0
1,16:59:13.007247,16:59:21.462930,1,-1.0
1,16:59:13.007247,16:59:21.553269,1,-1.0
1,16:59:13.007247,16:59:21.637705,1,-1.0
1,16:59:13.007247,16:59:21.716072,1,-1.0
1,16:59:13.007247,16:59:21.801647,1,-1.0
1,16:59:13.007247,16:59:21.885448,1,-1.0
1,16:59:13.007247,16:59:21.973070,1,-1.0
1,16:59:13.007247,16:59:22.047715,1,-1.0
1,16:59:13.007247,16:59:22.135296,1,-1.0
1,16:59:13.007247,16:59:22.218237,1,-1.0
1,16:59:13.007247,16:59:22.299132,1,-1.0
1,16:59:13.007247,16:59:22.371978,-1,-1.0
1,16:59:13.007247,16:59:22.447808,-1,-1.0
1,16:59:13.007247,16:59:22.526632,-1,-1.0
1,16:59:13.007247,16:59:22.599105,-1,-1.0
1,16:59:13.007247,16:59:22.675690,-1,-1.0
1,16:59:13.007247,16:59:22.751186,-1,-1.0
1,16:59:13.007247,16:59:22.831016,-1,-1.0
1,16:59:13.007247,16:59:22.910610,-1,-1.0
1,16:59:13.007247,16:59:22.988747,-1,-1.0
1,16:59:13.007247,16:59:23.062548,-1,-1.0
1,16:59:13.007247,16:59:23.140026,-1,-1.0
1,16:59:13.007247,16:59:23.216208,-1,-1.0
1,16:59:13.007247,16:59:23.289033,-1,-1.0
1,16:59:13.007247,16:59:23.363322,-1,-1.0
1,16:59:13.007247,16:59:23.442768,-1,-1.0
1,16:59:13.007247,16:59:23.518957,-1,-1.0
1,16:59:13.007247,16:59:23.591195,-1,-1.0
1,16:59:13.007247,16:59:23.667832,-1,-1.0
1,16:59:13.007247,16:59:23.748834,-1,-1.0
1,16:59:13.007247,16:59:23.821794,-1,-1.0
1,16:59:13.007247,16:59:23.895881,-1,-1.0
1,16:59:13.007247,16:59:23.968715,1,-1.0
1,16:59:13.007247,16:59:24.045521,-1,-1.0
1,16:59:13.007247,16:59:24.126131,1,-1.0
1,16:59:13.007247,16:59:24.192798,1,-1.0
1,16:59:13.007247,16:59:24.269654,1,-1.0
1,16:59:13.007247,16:59:24.340921,1,-1.0
1,16:59:13.007247,16:59:24.420252,1,-1.0
1,16:59:13.007247,16:59:24.496368,1,-1.0
1,16:59:13.007247,16:59:24.565781,1,-1.0
1,16:59:13.007247,16:59:24.640996,1,-1.0
1,16:59:13.007247,16:59:24.716770,1,-1.0
1,16:59:13.007247,16:59:24.794244,1,-1.0
1,16:59:13.007247,16:59:24.869040,1,-1.0
1,16:59:13.007247,16:59:24.942460,1,-1.0
1,16:59:13.007247,16:59:25.017266,1,-1.0
1,16:59:13.007247,16:59:25.100305,1,-1.0
1,16:59:13.007247,16:59:25.171390,1,-1.0
1,16:59:13.007247,16:59:25.245452,1,-1.0
1,16:59:13.007247,16:59:25.322098,1,-1.0
1,16:59:13.007247,16:59:25.396830,1,-1.0
1,16:59:13.007247,16:59:25.475351,1,-1.0
1,16:59:13.007247,16:59:25.560082,1,-1.0
1,16:59:13.007247,16:59:25.626178,1,-1.0
1,16:59:13.007247,16:59:25.695017,1,-1.0
1,16:59:13.007247,16:59:25.761745,1,-1.0
1,16:59:13.007247,16:59:25.829578,1,-1.0
1,16:59:13.007247,16:59:25.900716,1,-1.0
1,16:59:13.007247,16:59:25.974222,1,-1.0
1,16:59:13.007247,16:59:26.055913,1,-1.0
1,16:59:13.007247,16:59:26.129777,1,-1.0
1,16:59:13.007247,16:59:26.203508,1,-1.0
1,16:59:13.007247,16:59:26.281235,1,-1.0
1,16:59:13.007247,16:59:26.358257,1,-1.0
1,16:59:13.007247,16:59:26.433523,1,-1.0
1,16:59:13.007247,16:59:26.514365,1,-1.0
