Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:01:57.502689,15:02:02.000902,-1,1.0
1,15:01:57.502689,15:02:03.110835,-1,1.0
1,15:01:57.502689,15:02:03.739128,-1,1.0
1,15:01:57.502689,15:02:04.507733,-1,1.0
1,15:01:57.502689,15:02:05.174047,-1,1.0
1,15:01:57.502689,15:02:05.684296,-1,1.0
2,15:02:05.715013,15:02:10.600861,1,1.0
2,15:02:05.715013,15:02:14.054871,-1,1.0
2,15:02:05.715013,15:02:15.544479,1,1.0
3,15:02:16.608292,15:02:21.754601,1,1.0
3,15:02:16.608292,15:02:22.384123,1,1.0
3,15:02:16.608292,15:02:23.262556,1,1.0
3,15:02:16.608292,15:02:23.754882,1,1.0
3,15:02:16.608292,15:02:24.474294,1,1.0
3,15:02:16.608292,15:02:25.119573,1,1.0
3,15:02:16.608292,15:02:25.656908,1,1.0
3,15:02:16.608292,15:02:26.232809,1,1.0
3,15:02:16.608292,15:02:26.905481,1,1.0
3,15:02:16.608292,15:02:27.537691,1,1.0
3,15:02:16.608292,15:02:28.516639,1,1.0
3,15:02:16.608292,15:02:29.132766,-1,1.0
3,15:02:16.608292,15:02:30.418711,-1,1.0
3,15:02:16.608292,15:02:30.785344,-1,1.0
3,15:02:16.608292,15:02:31.110778,-1,1.0
4,15:02:31.142683,15:02:35.665427,-1,1.0
4,15:02:31.142683,15:02:36.345114,-1,1.0
4,15:02:31.142683,15:02:36.827651,-1,1.0
4,15:02:31.142683,15:02:37.265320,-1,1.0
4,15:02:31.142683,15:02:38.096723,-1,1.0
4,15:02:31.142683,15:02:38.555533,-1,1.0
5,15:02:38.580436,15:02:40.266934,-1,1.0
5,15:02:38.580436,15:02:42.747422,-1,1.0
5,15:02:38.580436,15:02:43.050738,-1,1.0
5,15:02:38.580436,15:02:43.536983,-1,1.0
5,15:02:38.580436,15:02:44.051777,-1,1.0
5,15:02:38.580436,15:02:44.332907,-1,1.0
5,15:02:38.580436,15:02:44.553185,-1,1.0
5,15:02:38.580436,15:02:44.818536,-1,1.0
5,15:02:38.580436,15:02:45.110615,-1,1.0
6,15:02:45.139506,15:02:48.830247,-1,1.0
6,15:02:45.139506,15:02:49.423556,-1,1.0
6,15:02:45.139506,15:02:50.055742,-1,1.0
6,15:02:45.139506,15:02:50.637236,-1,1.0
6,15:02:45.139506,15:02:51.220658,-1,1.0
6,15:02:45.139506,15:02:51.624284,-1,1.0
6,15:02:45.139506,15:02:52.064499,-1,1.0
6,15:02:45.139506,15:02:52.555014,-1,1.0
6,15:02:45.139506,15:02:53.025165,-1,1.0
6,15:02:45.139506,15:02:53.459676,-1,1.0
6,15:02:45.139506,15:02:53.846248,-1,1.0
6,15:02:45.139506,15:02:54.204808,-1,1.0
7,15:02:54.237362,15:02:56.665476,-1,1.0
7,15:02:54.237362,15:02:57.025086,-1,1.0
7,15:02:54.237362,15:02:57.382700,-1,1.0
7,15:02:54.237362,15:02:57.708762,-1,1.0
7,15:02:54.237362,15:02:57.991661,-1,1.0
7,15:02:54.237362,15:02:58.334587,-1,1.0
7,15:02:54.237362,15:02:58.707054,-1,1.0
7,15:02:54.237362,15:02:59.042621,-1,1.0
7,15:02:54.237362,15:02:59.387313,-1,1.0
7,15:02:54.237362,15:02:59.915807,-1,1.0
7,15:02:54.237362,15:03:00.372895,-1,1.0
7,15:02:54.237362,15:03:00.720247,-1,1.0
7,15:02:54.237362,15:03:01.097164,-1,1.0
7,15:02:54.237362,15:03:01.393026,-1,1.0
7,15:02:54.237362,15:03:01.709988,-1,1.0
7,15:02:54.237362,15:03:02.133926,-1,1.0
7,15:02:54.237362,15:03:02.468880,-1,1.0
7,15:02:54.237362,15:03:02.856281,-1,1.0
7,15:02:54.237362,15:03:03.420294,-1,1.0
7,15:02:54.237362,15:03:03.787636,-1,1.0
7,15:02:54.237362,15:03:04.202736,-1,1.0
7,15:02:54.237362,15:03:04.546856,-1,1.0
8,15:03:04.571460,15:03:07.549326,1,1.0
8,15:03:04.571460,15:03:08.918401,-1,1.0
8,15:03:04.571460,15:03:09.612813,-1,1.0
8,15:03:04.571460,15:03:09.968476,-1,1.0
8,15:03:04.571460,15:03:10.310770,-1,1.0
8,15:03:04.571460,15:03:10.598535,-1,1.0
8,15:03:04.571460,15:03:10.847311,-1,1.0
9,15:03:10.868879,15:03:11.767616,-1,1.0
9,15:03:10.868879,15:03:13.330002,-1,1.0
9,15:03:10.868879,15:03:14.700174,-1,1.0
9,15:03:10.868879,15:03:15.272756,-1,1.0
9,15:03:10.868879,15:03:15.735204,-1,1.0
9,15:03:10.868879,15:03:16.057036,-1,1.0
9,15:03:10.868879,15:03:16.318873,-1,1.0
9,15:03:10.868879,15:03:16.550340,-1,1.0
9,15:03:10.868879,15:03:16.772460,-1,1.0
10,15:03:16.802519,15:03:19.984534,-1,1.0
10,15:03:16.802519,15:03:20.808138,-1,1.0
10,15:03:16.802519,15:03:21.214741,-1,1.0
10,15:03:16.802519,15:03:21.466930,-1,1.0
10,15:03:16.802519,15:03:21.832822,-1,1.0
10,15:03:16.802519,15:03:22.091790,-1,1.0
10,15:03:16.802519,15:03:22.394354,-1,1.0
10,15:03:16.802519,15:03:22.831336,-1,1.0
