Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:35:21.042355,11:35:24.983053,-1,-1.0
1,11:35:21.042355,11:35:25.844415,-1,-1.0
1,11:35:21.042355,11:35:26.809955,1,-1.0
1,11:35:21.042355,11:35:27.643354,1,-1.0
1,11:35:21.042355,11:35:27.950202,1,-1.0
1,11:35:21.042355,11:35:28.447776,1,-1.0
1,11:35:21.042355,11:35:28.675996,1,-1.0
1,11:35:21.042355,11:35:28.881728,1,-1.0
1,11:35:21.042355,11:35:29.069060,1,-1.0
1,11:35:21.042355,11:35:29.347089,1,-1.0
1,11:35:21.042355,11:35:29.552737,1,-1.0
1,11:35:21.042355,11:35:29.751256,1,-1.0
1,11:35:21.042355,11:35:29.936542,1,-1.0
1,11:35:21.042355,11:35:30.153067,1,-1.0
1,11:35:21.042355,11:35:30.370618,1,-1.0
1,11:35:21.042355,11:35:30.557376,1,-1.0
1,11:35:21.042355,11:35:30.753365,1,-1.0
1,11:35:21.042355,11:35:31.103723,1,-1.0
1,11:35:21.042355,11:35:31.421641,1,-1.0
1,11:35:21.042355,11:35:31.608236,1,-1.0
1,11:35:21.042355,11:35:31.812920,1,-1.0
1,11:35:21.042355,11:35:32.071366,1,-1.0
1,11:35:21.042355,11:35:32.308171,1,-1.0
1,11:35:21.042355,11:35:32.503500,1,-1.0
1,11:35:21.042355,11:35:32.676534,1,-1.0
1,11:35:21.042355,11:35:32.859872,1,-1.0
1,11:35:21.042355,11:35:33.063039,1,-1.0
1,11:35:21.042355,11:35:33.248868,1,-1.0
1,11:35:21.042355,11:35:33.453024,1,-1.0
1,11:35:21.042355,11:35:33.644631,1,-1.0
1,11:35:21.042355,11:35:33.849520,1,-1.0
1,11:35:21.042355,11:35:34.052253,1,-1.0
1,11:35:21.042355,11:35:34.235547,1,-1.0
1,11:35:21.042355,11:35:34.442500,1,-1.0
1,11:35:21.042355,11:35:34.637932,1,-1.0
1,11:35:21.042355,11:35:34.832587,1,-1.0
1,11:35:21.042355,11:35:35.019416,1,-1.0
1,11:35:21.042355,11:35:35.206763,1,-1.0
1,11:35:21.042355,11:35:35.401178,1,-1.0
1,11:35:21.042355,11:35:35.593541,1,-1.0
1,11:35:21.042355,11:35:35.788912,1,-1.0
1,11:35:21.042355,11:35:36.006061,1,-1.0
1,11:35:21.042355,11:35:36.221511,1,-1.0
1,11:35:21.042355,11:35:36.444808,1,-1.0
1,11:35:21.042355,11:35:36.641559,1,-1.0
1,11:35:21.042355,11:35:36.857126,1,-1.0
1,11:35:21.042355,11:35:37.072248,1,-1.0
1,11:35:21.042355,11:35:37.287538,1,-1.0
1,11:35:21.042355,11:35:37.513769,1,-1.0
1,11:35:21.042355,11:35:37.782320,1,-1.0
1,11:35:21.042355,11:35:38.009692,1,-1.0
1,11:35:21.042355,11:35:38.264598,1,-1.0
1,11:35:21.042355,11:35:38.557466,1,-1.0
1,11:35:21.042355,11:35:38.990585,1,-1.0
1,11:35:21.042355,11:35:39.565937,1,-1.0
1,11:35:21.042355,11:35:39.887711,1,-1.0
1,11:35:21.042355,11:35:40.134713,1,-1.0
1,11:35:21.042355,11:35:40.369023,1,-1.0
1,11:35:21.042355,11:35:40.592388,1,-1.0
1,11:35:21.042355,11:35:40.912072,1,-1.0
1,11:35:21.042355,11:35:41.127566,1,-1.0
1,11:35:21.042355,11:35:41.493553,1,-1.0
1,11:35:21.042355,11:35:41.732077,1,-1.0
1,11:35:21.042355,11:35:41.955570,1,-1.0
1,11:35:21.042355,11:35:42.221656,1,-1.0
1,11:35:21.042355,11:35:42.445800,1,-1.0
1,11:35:21.042355,11:35:42.671571,1,-1.0
1,11:35:21.042355,11:35:42.905610,1,-1.0
1,11:35:21.042355,11:35:43.149196,1,-1.0
1,11:35:21.042355,11:35:43.357480,1,-1.0
1,11:35:21.042355,11:35:43.642946,1,-1.0
1,11:35:21.042355,11:35:43.839577,1,-1.0
1,11:35:21.042355,11:35:44.033054,1,-1.0
1,11:35:21.042355,11:35:44.290520,1,-1.0
1,11:35:21.042355,11:35:44.483400,1,-1.0
1,11:35:21.042355,11:35:44.690452,1,-1.0
1,11:35:21.042355,11:35:44.883416,1,-1.0
1,11:35:21.042355,11:35:45.097803,1,-1.0
1,11:35:21.042355,11:35:45.295455,1,-1.0
1,11:35:21.042355,11:35:45.510227,1,-1.0
1,11:35:21.042355,11:35:45.722611,1,-1.0
1,11:35:21.042355,11:35:45.928946,1,-1.0
1,11:35:21.042355,11:35:46.828008,1,-1.0
1,11:35:21.042355,11:35:47.082453,1,-1.0
1,11:35:21.042355,11:35:47.304705,1,-1.0
1,11:35:21.042355,11:35:47.529456,1,-1.0
1,11:35:21.042355,11:35:47.764429,1,-1.0
1,11:35:21.042355,11:35:47.987528,1,-1.0
1,11:35:21.042355,11:35:48.200961,1,-1.0
1,11:35:21.042355,11:35:48.436832,1,-1.0
1,11:35:21.042355,11:35:48.651760,1,-1.0
1,11:35:21.042355,11:35:48.877807,1,-1.0
1,11:35:21.042355,11:35:49.104788,1,-1.0
1,11:35:21.042355,11:35:49.652750,1,-1.0
1,11:35:21.042355,11:35:49.858909,1,-1.0
1,11:35:21.042355,11:35:50.113515,1,-1.0
1,11:35:21.042355,11:35:50.340367,1,-1.0
1,11:35:21.042355,11:35:50.598912,1,-1.0
1,11:35:21.042355,11:35:50.804922,1,-1.0
1,11:35:21.042355,11:35:51.034503,1,-1.0
1,11:35:21.042355,11:35:51.253290,1,-1.0
1,11:35:21.042355,11:35:51.471426,1,-1.0
1,11:35:21.042355,11:35:51.685953,1,-1.0
1,11:35:21.042355,11:35:51.890530,1,-1.0
1,11:35:21.042355,11:35:52.104389,1,-1.0
1,11:35:21.042355,11:35:52.308886,1,-1.0
1,11:35:21.042355,11:35:52.527521,1,-1.0
1,11:35:21.042355,11:35:52.733039,1,-1.0
1,11:35:21.042355,11:35:52.950831,1,-1.0
1,11:35:21.042355,11:35:53.168744,1,-1.0
1,11:35:21.042355,11:35:53.395547,1,-1.0
1,11:35:21.042355,11:35:53.627297,1,-1.0
1,11:35:21.042355,11:35:53.835509,1,-1.0
1,11:35:21.042355,11:35:54.031745,1,-1.0
1,11:35:21.042355,11:35:54.278532,1,-1.0
1,11:35:21.042355,11:35:54.507107,1,-1.0
1,11:35:21.042355,11:35:55.079035,1,-1.0
1,11:35:21.042355,11:35:55.352416,1,-1.0
1,11:35:21.042355,11:35:56.056856,1,-1.0
1,11:35:21.042355,11:35:56.240005,1,-1.0
1,11:35:21.042355,11:35:56.405715,1,-1.0
1,11:35:21.042355,11:35:56.570776,1,-1.0
1,11:35:21.042355,11:35:56.776992,1,-1.0
1,11:35:21.042355,11:35:56.962786,1,-1.0
1,11:35:21.042355,11:35:57.166983,1,-1.0
1,11:35:21.042355,11:35:57.382757,1,-1.0
1,11:35:21.042355,11:35:57.609104,1,-1.0
1,11:35:21.042355,11:35:57.855627,1,-1.0
1,11:35:21.042355,11:35:58.103483,1,-1.0
1,11:35:21.042355,11:35:58.349550,1,-1.0
1,11:35:21.042355,11:35:58.577373,1,-1.0
1,11:35:21.042355,11:35:58.835258,1,-1.0
1,11:35:21.042355,11:35:59.430448,1,-1.0
1,11:35:21.042355,11:35:59.633358,1,-1.0
1,11:35:21.042355,11:35:59.865478,1,-1.0
1,11:35:21.042355,11:36:00.125804,1,-1.0
1,11:35:21.042355,11:36:00.399400,1,-1.0
1,11:35:21.042355,11:36:00.627550,1,-1.0
1,11:35:21.042355,11:36:01.118529,1,-1.0
1,11:35:21.042355,11:36:02.415803,1,-1.0
1,11:35:21.042355,11:36:02.601337,1,-1.0
1,11:35:21.042355,11:36:02.772887,1,-1.0
