Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,19:00:41.931922,19:00:50.711078,-1,1.0
2,19:00:51.767154,19:00:55.107420,1,1.0
2,19:00:51.767154,19:00:55.173745,1,1.0
2,19:00:51.767154,19:00:55.508985,-1,1.0
2,19:00:51.767154,19:00:55.576394,-1,1.0
2,19:00:51.767154,19:00:55.642096,-1,1.0
2,19:00:51.767154,19:00:55.714903,-1,1.0
3,19:00:55.729256,19:00:55.794584,-1,1.0
3,19:00:55.729256,19:00:55.910123,-1,1.0
3,19:00:55.729256,19:00:55.977457,-1,1.0
3,19:00:55.729256,19:00:56.044645,-1,1.0
3,19:00:55.729256,19:01:05.737952,-1,1.0
3,19:00:55.729256,19:01:05.844717,-1,1.0
3,19:00:55.729256,19:01:05.904362,-1,1.0
3,19:00:55.729256,19:01:06.003552,-1,1.0
3,19:00:55.729256,19:01:06.232937,-1,1.0
3,19:00:55.729256,19:01:06.299040,-1,1.0
4,19:01:09.476238,19:01:15.697962,1,1.0
4,19:01:09.476238,19:01:20.435489,1,1.0
4,19:01:09.476238,19:01:20.502678,-1,1.0
4,19:01:09.476238,19:01:20.570186,-1,1.0
5,19:01:20.582146,19:01:20.787329,1,1.0
5,19:01:20.582146,19:01:25.715512,-1,1.0
5,19:01:20.582146,19:01:25.781172,-1,1.0
5,19:01:20.582146,19:01:25.847504,-1,1.0
5,19:01:20.582146,19:01:25.917799,-1,1.0
5,19:01:20.582146,19:01:25.984367,-1,1.0
