Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,10:25:17.733993,10:25:25.261060,1,-1.0
1,10:25:17.733993,10:25:25.797173,1,-1.0
1,10:25:17.733993,10:25:26.299098,1,-1.0
1,10:25:17.733993,10:25:26.785861,1,-1.0
1,10:25:17.733993,10:25:27.317270,1,-1.0
1,10:25:17.733993,10:25:29.360148,1,-1.0
1,10:25:17.733993,10:25:30.364821,1,-1.0
1,10:25:17.733993,10:25:31.650273,-1,-1.0
1,10:25:17.733993,10:25:32.327560,-1,-1.0
1,10:25:17.733993,10:25:32.968376,-1,-1.0
1,10:25:17.733993,10:25:33.695236,-1,-1.0
1,10:25:17.733993,10:25:34.713397,-1,-1.0
1,10:25:17.733993,10:25:35.311235,1,-1.0
1,10:25:17.733993,10:25:35.906967,1,-1.0
1,10:25:17.733993,10:25:36.568656,1,-1.0
1,10:25:17.733993,10:25:37.309404,1,-1.0
1,10:25:17.733993,10:25:38.072110,1,-1.0
1,10:25:17.733993,10:25:38.585788,1,-1.0
1,10:25:17.733993,10:25:39.209015,1,-1.0
1,10:25:17.733993,10:25:39.693246,1,-1.0
1,10:25:17.733993,10:25:40.207966,1,-1.0
1,10:25:17.733993,10:25:40.839632,1,-1.0
1,10:25:17.733993,10:25:41.371054,1,-1.0
1,10:25:17.733993,10:25:42.106408,1,-1.0
1,10:25:17.733993,10:25:42.791758,1,-1.0
1,10:25:17.733993,10:25:43.444351,1,-1.0
1,10:25:17.733993,10:25:44.141667,1,-1.0
1,10:25:17.733993,10:25:44.776725,1,-1.0
1,10:25:17.733993,10:25:45.417018,1,-1.0
1,10:25:17.733993,10:25:45.942152,1,-1.0
1,10:25:17.733993,10:25:46.802567,1,-1.0
1,10:25:17.733993,10:25:47.398732,1,-1.0
1,10:25:17.733993,10:25:48.046865,1,-1.0
1,10:25:17.733993,10:25:48.715707,1,-1.0
1,10:25:17.733993,10:25:49.448873,1,-1.0
1,10:25:17.733993,10:25:50.169619,1,-1.0
1,10:25:17.733993,10:25:50.895786,1,-1.0
1,10:25:17.733993,10:25:51.631876,1,-1.0
1,10:25:17.733993,10:25:52.386091,1,-1.0
1,10:25:17.733993,10:25:53.119908,1,-1.0
1,10:25:17.733993,10:25:53.851246,1,-1.0
1,10:25:17.733993,10:25:54.452369,1,-1.0
1,10:25:17.733993,10:25:55.181441,1,-1.0
1,10:25:17.733993,10:25:56.032129,1,-1.0
2,10:25:56.407936,10:26:00.541487,1,-1.0
2,10:25:56.407936,10:26:01.099339,1,-1.0
2,10:25:56.407936,10:26:01.903278,1,-1.0
2,10:25:56.407936,10:26:02.586957,1,-1.0
2,10:25:56.407936,10:26:03.344544,1,-1.0
2,10:25:56.407936,10:26:03.996357,1,-1.0
2,10:25:56.407936,10:26:04.747862,1,-1.0
2,10:25:56.407936,10:26:05.484993,1,-1.0
2,10:25:56.407936,10:26:06.258638,1,-1.0
2,10:25:56.407936,10:26:06.996108,1,-1.0
2,10:25:56.407936,10:26:07.731411,1,-1.0
2,10:25:56.407936,10:26:08.807394,-1,-1.0
2,10:25:56.407936,10:26:09.336922,-1,-1.0
2,10:25:56.407936,10:26:09.823382,-1,-1.0
2,10:25:56.407936,10:26:10.336436,-1,-1.0
2,10:25:56.407936,10:26:10.812950,-1,-1.0
2,10:25:56.407936,10:26:11.297585,-1,-1.0
2,10:25:56.407936,10:26:11.824299,-1,-1.0
2,10:25:56.407936,10:26:12.475863,1,-1.0
2,10:25:56.407936,10:26:12.890367,1,-1.0
2,10:25:56.407936,10:26:13.200689,1,-1.0
2,10:25:56.407936,10:26:13.590458,1,-1.0
2,10:25:56.407936,10:26:13.975015,1,-1.0
2,10:25:56.407936,10:26:14.212455,1,-1.0
2,10:25:56.407936,10:26:14.408922,1,-1.0
2,10:25:56.407936,10:26:14.606757,1,-1.0
2,10:25:56.407936,10:26:14.791853,1,-1.0
2,10:25:56.407936,10:26:14.969222,1,-1.0
2,10:25:56.407936,10:26:15.172749,1,-1.0
2,10:25:56.407936,10:26:15.357319,1,-1.0
2,10:25:56.407936,10:26:15.551608,1,-1.0
2,10:25:56.407936,10:26:15.763565,1,-1.0
2,10:25:56.407936,10:26:15.979023,1,-1.0
2,10:25:56.407936,10:26:16.196921,1,-1.0
2,10:25:56.407936,10:26:16.400536,1,-1.0
2,10:25:56.407936,10:26:16.623975,1,-1.0
2,10:25:56.407936,10:26:16.832164,1,-1.0
2,10:25:56.407936,10:26:17.051244,1,-1.0
2,10:25:56.407936,10:26:17.268657,1,-1.0
2,10:25:56.407936,10:26:17.513696,1,-1.0
2,10:25:56.407936,10:26:17.727043,1,-1.0
2,10:25:56.407936,10:26:17.945859,1,-1.0
2,10:25:56.407936,10:26:18.169834,1,-1.0
2,10:25:56.407936,10:26:18.461699,1,-1.0
2,10:25:56.407936,10:26:18.857459,1,-1.0
2,10:25:56.407936,10:26:19.335581,1,-1.0
2,10:25:56.407936,10:26:19.860843,1,-1.0
2,10:25:56.407936,10:26:20.367566,1,-1.0
2,10:25:56.407936,10:26:20.837348,1,-1.0
2,10:25:56.407936,10:26:22.148651,-1,-1.0
2,10:25:56.407936,10:26:22.795793,-1,-1.0
2,10:25:56.407936,10:26:23.374452,-1,-1.0
2,10:25:56.407936,10:26:24.041878,1,-1.0
2,10:25:56.407936,10:26:24.557952,1,-1.0
2,10:25:56.407936,10:26:25.081037,1,-1.0
2,10:25:56.407936,10:26:25.746839,1,-1.0
2,10:25:56.407936,10:26:26.089062,1,-1.0
2,10:25:56.407936,10:26:26.344712,1,-1.0
2,10:25:56.407936,10:26:26.572270,1,-1.0
2,10:25:56.407936,10:26:26.776914,1,-1.0
2,10:25:56.407936,10:26:26.982606,1,-1.0
2,10:25:56.407936,10:26:27.200698,1,-1.0
2,10:25:56.407936,10:26:27.410684,1,-1.0
2,10:25:56.407936,10:26:27.626938,1,-1.0
2,10:25:56.407936,10:26:27.841596,1,-1.0
2,10:25:56.407936,10:26:28.065710,1,-1.0
2,10:25:56.407936,10:26:28.326048,1,-1.0
2,10:25:56.407936,10:26:28.646836,1,-1.0
2,10:25:56.407936,10:26:28.948469,1,-1.0
2,10:25:56.407936,10:26:29.205990,1,-1.0
2,10:25:56.407936,10:26:29.418738,1,-1.0
2,10:25:56.407936,10:26:29.677550,1,-1.0
2,10:25:56.407936,10:26:29.916657,1,-1.0
2,10:25:56.407936,10:26:30.183299,1,-1.0
2,10:25:56.407936,10:26:30.496609,1,-1.0
2,10:25:56.407936,10:26:30.889435,1,-1.0
2,10:25:56.407936,10:26:31.225735,1,-1.0
2,10:25:56.407936,10:26:31.538711,1,-1.0
2,10:25:56.407936,10:26:31.857367,1,-1.0
2,10:25:56.407936,10:26:32.110674,1,-1.0
2,10:25:56.407936,10:26:32.380489,1,-1.0
2,10:25:56.407936,10:26:32.884210,1,-1.0
3,10:26:32.913172,10:26:36.500990,1,-1.0
3,10:26:32.913172,10:26:36.984720,1,-1.0
3,10:26:32.913172,10:26:37.482543,1,-1.0
3,10:26:32.913172,10:26:38.022328,1,-1.0
3,10:26:32.913172,10:26:38.531656,1,-1.0
3,10:26:32.913172,10:26:39.016320,1,-1.0
3,10:26:32.913172,10:26:39.440520,1,-1.0
3,10:26:32.913172,10:26:39.874478,1,-1.0
3,10:26:32.913172,10:26:40.161015,1,-1.0
3,10:26:32.913172,10:26:40.459091,1,-1.0
3,10:26:32.913172,10:26:40.749013,1,-1.0
3,10:26:32.913172,10:26:41.077013,1,-1.0
3,10:26:32.913172,10:26:41.410507,1,-1.0
3,10:26:32.913172,10:26:41.804553,1,-1.0
3,10:26:32.913172,10:26:42.110725,1,-1.0
3,10:26:32.913172,10:26:42.509388,1,-1.0
3,10:26:32.913172,10:26:42.935209,1,-1.0
3,10:26:32.913172,10:26:43.471795,1,-1.0
3,10:26:32.913172,10:26:43.860382,1,-1.0
3,10:26:32.913172,10:26:44.182361,1,-1.0
3,10:26:32.913172,10:26:45.514170,1,-1.0
3,10:26:32.913172,10:26:46.106886,-1,-1.0
3,10:26:32.913172,10:26:47.815885,-1,-1.0
3,10:26:32.913172,10:26:48.065549,-1,-1.0
3,10:26:32.913172,10:26:48.270871,-1,-1.0
3,10:26:32.913172,10:26:48.557047,-1,-1.0
3,10:26:32.913172,10:26:49.421401,1,-1.0
4,10:27:14.400105,10:27:48.005795,1,-1.0
4,10:27:14.400105,10:27:48.443113,1,-1.0
4,10:27:14.400105,10:27:48.687392,1,-1.0
4,10:27:14.400105,10:27:48.872087,1,-1.0
4,10:27:14.400105,10:27:49.063776,1,-1.0
4,10:27:14.400105,10:27:49.232151,1,-1.0
4,10:27:14.400105,10:27:49.394778,1,-1.0
4,10:27:14.400105,10:27:49.558775,1,-1.0
4,10:27:14.400105,10:27:49.714261,1,-1.0
4,10:27:14.400105,10:27:49.856766,1,-1.0
4,10:27:14.400105,10:27:50.034349,1,-1.0
4,10:27:14.400105,10:27:50.176955,1,-1.0
4,10:27:14.400105,10:27:50.333203,1,-1.0
4,10:27:14.400105,10:27:50.489721,1,-1.0
4,10:27:14.400105,10:27:50.640183,1,-1.0
4,10:27:14.400105,10:27:50.813476,1,-1.0
4,10:27:14.400105,10:27:51.031675,1,-1.0
4,10:27:14.400105,10:27:51.555178,1,-1.0
4,10:27:14.400105,10:27:52.011257,1,-1.0
4,10:27:14.400105,10:27:52.327332,1,-1.0
4,10:27:14.400105,10:27:52.593453,1,-1.0
4,10:27:14.400105,10:27:52.841676,1,-1.0
4,10:27:14.400105,10:27:53.040914,1,-1.0
4,10:27:14.400105,10:27:53.229123,1,-1.0
5,10:27:53.607205,10:28:13.971422,-1,-1.0
5,10:27:53.607205,10:28:15.337261,1,-1.0
5,10:27:53.607205,10:28:16.060625,1,-1.0
5,10:27:53.607205,10:28:16.707254,1,-1.0
5,10:27:53.607205,10:28:17.401413,1,-1.0
5,10:27:53.607205,10:28:18.151809,1,-1.0
5,10:27:53.607205,10:28:18.712146,1,-1.0
5,10:27:53.607205,10:28:19.021435,1,-1.0
5,10:27:53.607205,10:28:19.288108,1,-1.0
5,10:27:53.607205,10:28:19.527791,1,-1.0
5,10:27:53.607205,10:28:19.758718,1,-1.0
5,10:27:53.607205,10:28:19.991733,1,-1.0
5,10:27:53.607205,10:28:20.221518,1,-1.0
5,10:27:53.607205,10:28:20.435711,1,-1.0
5,10:27:53.607205,10:28:20.685684,1,-1.0
5,10:27:53.607205,10:28:21.066620,1,-1.0
5,10:27:53.607205,10:28:21.286817,1,-1.0
5,10:27:53.607205,10:28:21.529190,1,-1.0
5,10:27:53.607205,10:28:21.783001,1,-1.0
5,10:27:53.607205,10:28:21.995744,1,-1.0
5,10:27:53.607205,10:28:22.244832,1,-1.0
5,10:27:53.607205,10:28:22.504930,1,-1.0
5,10:27:53.607205,10:28:22.761026,1,-1.0
5,10:27:53.607205,10:28:22.998215,1,-1.0
5,10:27:53.607205,10:28:23.262190,1,-1.0
5,10:27:53.607205,10:28:23.539427,1,-1.0
5,10:27:53.607205,10:28:24.319512,-1,-1.0
5,10:27:53.607205,10:28:24.890749,1,-1.0
5,10:27:53.607205,10:28:25.045083,1,-1.0
5,10:27:53.607205,10:28:25.229677,1,-1.0
5,10:27:53.607205,10:28:25.408657,1,-1.0
5,10:27:53.607205,10:28:25.565337,1,-1.0
5,10:27:53.607205,10:28:25.731878,1,-1.0
5,10:27:53.607205,10:28:25.887231,1,-1.0
5,10:27:53.607205,10:28:26.040052,1,-1.0
5,10:27:53.607205,10:28:26.226376,1,-1.0
5,10:27:53.607205,10:28:26.566736,1,-1.0
5,10:27:53.607205,10:28:26.840971,1,-1.0
5,10:27:53.607205,10:28:27.037837,1,-1.0
5,10:27:53.607205,10:28:27.231001,1,-1.0
5,10:27:53.607205,10:28:27.426781,1,-1.0
5,10:27:53.607205,10:28:28.061737,1,-1.0
5,10:27:53.607205,10:28:28.781521,1,-1.0
5,10:27:53.607205,10:28:29.066618,1,-1.0
5,10:27:53.607205,10:28:29.301910,1,-1.0
5,10:27:53.607205,10:28:29.556730,1,-1.0
5,10:27:53.607205,10:28:29.793408,1,-1.0
5,10:27:53.607205,10:28:30.180402,1,-1.0
5,10:27:53.607205,10:28:30.421637,1,-1.0
5,10:27:53.607205,10:28:30.651967,1,-1.0
5,10:27:53.607205,10:28:30.987626,1,-1.0
5,10:27:53.607205,10:28:31.289543,1,-1.0
5,10:27:53.607205,10:28:31.576668,1,-1.0
5,10:27:53.607205,10:28:31.835028,1,-1.0
5,10:27:53.607205,10:28:32.061375,1,-1.0
5,10:27:53.607205,10:28:32.306556,1,-1.0
5,10:27:53.607205,10:28:32.555433,1,-1.0
5,10:27:53.607205,10:28:32.846047,1,-1.0
5,10:27:53.607205,10:28:33.115702,1,-1.0
5,10:27:53.607205,10:28:33.391776,1,-1.0
5,10:27:53.607205,10:28:33.670567,1,-1.0
5,10:27:53.607205,10:28:34.128306,1,-1.0
6,10:28:34.156505,10:28:38.538662,1,-1.0
6,10:28:34.156505,10:28:39.093374,1,-1.0
6,10:28:34.156505,10:28:39.611163,1,-1.0
6,10:28:34.156505,10:28:40.107844,1,-1.0
6,10:28:34.156505,10:28:40.589855,1,-1.0
6,10:28:34.156505,10:28:41.047113,1,-1.0
6,10:28:34.156505,10:28:41.432922,1,-1.0
6,10:28:34.156505,10:28:41.707050,1,-1.0
6,10:28:34.156505,10:28:42.046754,1,-1.0
6,10:28:34.156505,10:28:42.317155,1,-1.0
6,10:28:34.156505,10:28:42.541381,1,-1.0
6,10:28:34.156505,10:28:42.799096,1,-1.0
6,10:28:34.156505,10:28:43.110875,1,-1.0
6,10:28:34.156505,10:28:43.461223,1,-1.0
6,10:28:34.156505,10:28:43.781481,1,-1.0
6,10:28:34.156505,10:28:44.030625,1,-1.0
6,10:28:34.156505,10:28:44.519515,1,-1.0
6,10:28:34.156505,10:28:45.194413,1,-1.0
6,10:28:34.156505,10:28:47.198419,-1,-1.0
6,10:28:34.156505,10:28:48.020755,-1,-1.0
6,10:28:34.156505,10:28:48.556643,-1,-1.0
6,10:28:34.156505,10:28:48.841827,1,-1.0
6,10:28:34.156505,10:28:49.012906,1,-1.0
6,10:28:34.156505,10:28:49.166280,1,-1.0
6,10:28:34.156505,10:28:49.330832,1,-1.0
6,10:28:34.156505,10:28:49.484387,1,-1.0
6,10:28:34.156505,10:28:49.645191,1,-1.0
6,10:28:34.156505,10:28:49.808157,1,-1.0
6,10:28:34.156505,10:28:49.996150,1,-1.0
6,10:28:34.156505,10:28:50.150113,1,-1.0
6,10:28:34.156505,10:28:50.321862,1,-1.0
