Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:59:40.319984,15:59:43.651369,1,-1.0
1,15:59:40.319984,15:59:44.375725,1,-1.0
1,15:59:40.319984,15:59:44.568703,1,-1.0
1,15:59:40.319984,15:59:44.733099,1,-1.0
1,15:59:40.319984,15:59:44.901692,1,-1.0
1,15:59:40.319984,15:59:45.058307,1,-1.0
1,15:59:40.319984,15:59:45.234053,1,-1.0
1,15:59:40.319984,15:59:45.407485,1,-1.0
1,15:59:40.319984,15:59:45.572449,1,-1.0
1,15:59:40.319984,15:59:45.748782,1,-1.0
1,15:59:40.319984,15:59:45.933122,1,-1.0
1,15:59:40.319984,15:59:46.119752,1,-1.0
1,15:59:40.319984,15:59:46.336873,1,-1.0
1,15:59:40.319984,15:59:46.522811,1,-1.0
1,15:59:40.319984,15:59:46.717532,1,-1.0
1,15:59:40.319984,15:59:46.923744,1,-1.0
1,15:59:40.319984,15:59:47.119364,1,-1.0
1,15:59:40.319984,15:59:47.332565,1,-1.0
1,15:59:40.319984,15:59:47.538482,1,-1.0
1,15:59:40.319984,15:59:47.722766,1,-1.0
1,15:59:40.319984,15:59:47.940087,1,-1.0
1,15:59:40.319984,15:59:48.136098,1,-1.0
1,15:59:40.319984,15:59:48.334049,1,-1.0
1,15:59:40.319984,15:59:48.519735,1,-1.0
1,15:59:40.319984,15:59:48.705847,1,-1.0
1,15:59:40.319984,15:59:48.904150,1,-1.0
1,15:59:40.319984,15:59:49.090402,1,-1.0
1,15:59:40.319984,15:59:49.274741,1,-1.0
1,15:59:40.319984,15:59:49.488884,1,-1.0
1,15:59:40.319984,15:59:49.665656,1,-1.0
1,15:59:40.319984,15:59:49.869892,1,-1.0
1,15:59:40.319984,15:59:50.100218,1,-1.0
1,15:59:40.319984,15:59:50.287539,1,-1.0
1,15:59:40.319984,15:59:50.513574,1,-1.0
1,15:59:40.319984,15:59:50.738960,1,-1.0
1,15:59:40.319984,15:59:51.143423,1,-1.0
1,15:59:40.319984,15:59:51.345591,1,-1.0
1,15:59:40.319984,15:59:51.532672,1,-1.0
1,15:59:40.319984,15:59:51.723952,1,-1.0
1,15:59:40.319984,15:59:51.929837,1,-1.0
1,15:59:40.319984,15:59:52.127367,1,-1.0
1,15:59:40.319984,15:59:52.318767,1,-1.0
1,15:59:40.319984,15:59:52.502084,1,-1.0
1,15:59:40.319984,15:59:52.698034,1,-1.0
1,15:59:40.319984,15:59:52.871140,1,-1.0
1,15:59:40.319984,15:59:53.064618,1,-1.0
1,15:59:40.319984,15:59:53.261295,1,-1.0
1,15:59:40.319984,15:59:54.213702,-1,-1.0
1,15:59:40.319984,15:59:54.460777,-1,-1.0
1,15:59:40.319984,15:59:54.656476,-1,-1.0
1,15:59:40.319984,15:59:54.979591,-1,-1.0
1,15:59:40.319984,15:59:55.210549,-1,-1.0
1,15:59:40.319984,15:59:55.512532,-1,-1.0
1,15:59:40.319984,15:59:55.889973,-1,-1.0
1,15:59:40.319984,15:59:56.142752,-1,-1.0
1,15:59:40.319984,15:59:56.328406,-1,-1.0
1,15:59:40.319984,15:59:56.647402,-1,-1.0
1,15:59:40.319984,15:59:56.918165,-1,-1.0
1,15:59:40.319984,15:59:57.325661,-1,-1.0
1,15:59:40.319984,15:59:57.568685,1,-1.0
1,15:59:40.319984,15:59:57.729194,1,-1.0
1,15:59:40.319984,15:59:58.226489,-1,-1.0
1,15:59:40.319984,15:59:58.580079,-1,-1.0
1,15:59:40.319984,15:59:59.019519,-1,-1.0
1,15:59:40.319984,15:59:59.376625,-1,-1.0
1,15:59:40.319984,15:59:59.672826,-1,-1.0
1,15:59:40.319984,16:00:00.023907,-1,-1.0
1,15:59:40.319984,16:00:00.358784,-1,-1.0
1,15:59:40.319984,16:00:01.050290,-1,-1.0
1,15:59:40.319984,16:00:01.636196,-1,-1.0
1,15:59:40.319984,16:00:02.150235,-1,-1.0
1,15:59:40.319984,16:00:02.486904,-1,-1.0
1,15:59:40.319984,16:00:03.048316,1,-1.0
1,15:59:40.319984,16:00:03.272186,1,-1.0
1,15:59:40.319984,16:00:03.449355,1,-1.0
1,15:59:40.319984,16:00:03.636046,1,-1.0
1,15:59:40.319984,16:00:03.808795,1,-1.0
1,15:59:40.319984,16:00:03.984422,1,-1.0
1,15:59:40.319984,16:00:04.190456,1,-1.0
1,15:59:40.319984,16:00:04.464663,1,-1.0
1,15:59:40.319984,16:00:04.859243,1,-1.0
1,15:59:40.319984,16:00:05.097928,1,-1.0
1,15:59:40.319984,16:00:05.686875,1,-1.0
1,15:59:40.319984,16:00:05.875869,1,-1.0
1,15:59:40.319984,16:00:06.072434,1,-1.0
1,15:59:40.319984,16:00:06.259617,1,-1.0
1,15:59:40.319984,16:00:06.446760,1,-1.0
1,15:59:40.319984,16:00:06.627879,1,-1.0
1,15:59:40.319984,16:00:06.834709,1,-1.0
1,15:59:40.319984,16:00:07.020019,1,-1.0
1,15:59:40.319984,16:00:07.216964,1,-1.0
1,15:59:40.319984,16:00:07.420322,1,-1.0
1,15:59:40.319984,16:00:07.638075,1,-1.0
1,15:59:40.319984,16:00:07.823541,1,-1.0
1,15:59:40.319984,16:00:08.008266,1,-1.0
1,15:59:40.319984,16:00:08.192668,1,-1.0
1,15:59:40.319984,16:00:08.376943,1,-1.0
1,15:59:40.319984,16:00:08.584552,1,-1.0
1,15:59:40.319984,16:00:08.797643,1,-1.0
1,15:59:40.319984,16:00:08.994581,1,-1.0
1,15:59:40.319984,16:00:09.192082,1,-1.0
1,15:59:40.319984,16:00:09.413461,1,-1.0
1,15:59:40.319984,16:00:09.621270,1,-1.0
1,15:59:40.319984,16:00:09.814911,1,-1.0
1,15:59:40.319984,16:00:10.009119,1,-1.0
1,15:59:40.319984,16:00:10.227071,1,-1.0
1,15:59:40.319984,16:00:10.434673,1,-1.0
