Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:08:24.373114,12:08:31.039046,-1,-1.0
1,12:08:24.373114,12:08:32.598305,-1,-1.0
1,12:08:24.373114,12:08:33.288923,1,-1.0
1,12:08:24.373114,12:08:34.177706,1,-1.0
1,12:08:24.373114,12:08:34.833678,-1,-1.0
1,12:08:24.373114,12:08:35.331203,-1,-1.0
1,12:08:24.373114,12:08:36.873326,-1,-1.0
1,12:08:24.373114,12:08:37.864589,1,-1.0
1,12:08:24.373114,12:08:38.708096,1,-1.0
1,12:08:24.373114,12:08:39.234443,-1,-1.0
1,12:08:24.373114,12:08:39.709206,-1,-1.0
1,12:08:24.373114,12:08:40.610031,1,-1.0
1,12:08:24.373114,12:08:44.993945,-1,-1.0
1,12:08:24.373114,12:08:45.672259,1,-1.0
1,12:08:24.373114,12:08:46.002362,1,-1.0
1,12:08:24.373114,12:08:46.843846,-1,-1.0
1,12:08:24.373114,12:08:47.205336,-1,-1.0
1,12:08:24.373114,12:08:51.084435,-1,-1.0
1,12:08:24.373114,12:08:51.693098,1,-1.0
1,12:08:24.373114,12:08:52.063446,1,-1.0
1,12:08:24.373114,12:08:52.787720,1,-1.0
1,12:08:24.373114,12:08:53.644522,-1,-1.0
1,12:08:24.373114,12:08:53.996415,-1,-1.0
1,12:08:24.373114,12:08:54.821131,-1,-1.0
1,12:08:24.373114,12:08:55.429902,1,-1.0
1,12:08:24.373114,12:08:55.747784,1,-1.0
1,12:08:24.373114,12:08:56.062246,1,-1.0
1,12:08:24.373114,12:08:57.104095,-1,-1.0
1,12:08:24.373114,12:08:57.482062,-1,-1.0
1,12:08:24.373114,12:08:58.374869,1,-1.0
1,12:08:24.373114,12:08:58.639728,1,-1.0
1,12:08:24.373114,12:08:59.067735,1,-1.0
1,12:08:24.373114,12:08:59.915623,-1,-1.0
1,12:08:24.373114,12:09:00.225677,-1,-1.0
1,12:08:24.373114,12:09:01.744070,-1,-1.0
1,12:08:24.373114,12:09:02.693258,1,-1.0
1,12:08:24.373114,12:09:03.036045,1,-1.0
1,12:08:24.373114,12:09:03.492336,1,-1.0
1,12:08:24.373114,12:09:04.824487,-1,-1.0
1,12:08:24.373114,12:09:05.862857,-1,-1.0
1,12:08:24.373114,12:09:07.374804,-1,-1.0
1,12:08:24.373114,12:09:07.914298,1,-1.0
1,12:08:24.373114,12:09:08.212145,1,-1.0
1,12:08:24.373114,12:09:08.993776,1,-1.0
1,12:08:24.373114,12:09:10.147632,-1,-1.0
1,12:08:24.373114,12:09:10.404675,-1,-1.0
1,12:08:24.373114,12:09:13.908279,1,-1.0
1,12:08:24.373114,12:09:14.279969,1,-1.0
1,12:08:24.373114,12:09:14.746916,1,-1.0
1,12:08:24.373114,12:09:15.624336,-1,-1.0
1,12:08:24.373114,12:09:16.185879,-1,-1.0
