Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,18:55:02.545392,18:55:08.398550,-1,1.0
1,18:55:02.545392,18:55:08.475522,-1,1.0
1,18:55:02.545392,18:55:11.484798,-1,1.0
1,18:55:02.545392,18:55:11.583551,-1,1.0
1,18:55:02.545392,18:55:11.672375,-1,1.0
2,18:55:11.700543,18:55:11.778285,-1,1.0
2,18:55:11.700543,18:55:11.878617,-1,1.0
2,18:55:11.700543,18:55:11.983398,-1,1.0
2,18:55:11.700543,18:55:12.081423,-1,1.0
2,18:55:11.700543,18:55:12.199328,-1,1.0
2,18:55:11.700543,18:55:12.319245,-1,1.0
2,18:55:11.700543,18:55:12.433626,-1,1.0
2,18:55:11.700543,18:55:12.703620,1,1.0
2,18:55:11.700543,18:55:14.487292,1,1.0
2,18:55:11.700543,18:55:14.587899,1,1.0
2,18:55:11.700543,18:55:14.692727,1,1.0
2,18:55:11.700543,18:55:14.791612,1,1.0
2,18:55:11.700543,18:55:14.892278,1,1.0
2,18:55:11.700543,18:55:15.062289,1,1.0
2,18:55:11.700543,18:55:17.543157,-1,1.0
2,18:55:11.700543,18:55:17.642430,-1,1.0
2,18:55:11.700543,18:55:17.749660,-1,1.0
3,18:55:17.788660,18:55:17.868752,-1,1.0
3,18:55:17.788660,18:55:17.963648,-1,1.0
3,18:55:17.788660,18:55:18.055736,-1,1.0
3,18:55:17.788660,18:55:18.147105,-1,1.0
3,18:55:17.788660,18:55:18.240858,-1,1.0
3,18:55:17.788660,18:55:18.343595,-1,1.0
3,18:55:17.788660,18:55:20.216300,-1,1.0
3,18:55:17.788660,18:55:20.369613,-1,1.0
3,18:55:17.788660,18:55:20.484255,-1,1.0
3,18:55:17.788660,18:55:20.599021,-1,1.0
4,18:55:20.627652,18:55:20.704181,-1,1.0
4,18:55:20.627652,18:55:20.984717,-1,1.0
4,18:55:20.627652,18:55:21.093783,-1,1.0
4,18:55:20.627652,18:55:21.187429,-1,1.0
4,18:55:20.627652,18:55:24.372570,-1,1.0
4,18:55:20.627652,18:55:24.472952,-1,1.0
4,18:55:20.627652,18:55:24.562884,-1,1.0
4,18:55:20.627652,18:55:24.660556,-1,1.0
4,18:55:20.627652,18:55:24.758613,-1,1.0
4,18:55:20.627652,18:55:24.855706,-1,1.0
4,18:55:20.627652,18:55:24.971215,-1,1.0
4,18:55:20.627652,18:55:25.080822,-1,1.0
4,18:55:20.627652,18:55:26.859517,-1,1.0
4,18:55:20.627652,18:55:26.962725,-1,1.0
4,18:55:20.627652,18:55:27.063887,-1,1.0
4,18:55:20.627652,18:55:27.161640,-1,1.0
4,18:55:20.627652,18:55:27.265156,-1,1.0
4,18:55:20.627652,18:55:27.379602,-1,1.0
4,18:55:20.627652,18:55:28.741748,-1,1.0
4,18:55:20.627652,18:55:28.834025,-1,1.0
4,18:55:20.627652,18:55:28.926097,-1,1.0
5,18:55:28.952208,18:55:29.034455,-1,1.0
5,18:55:28.952208,18:55:29.115812,-1,1.0
5,18:55:28.952208,18:55:29.211717,-1,1.0
5,18:55:28.952208,18:55:29.314185,-1,1.0
5,18:55:28.952208,18:55:33.200650,-1,1.0
5,18:55:28.952208,18:55:33.298419,-1,1.0
5,18:55:28.952208,18:55:33.383477,-1,1.0
5,18:55:28.952208,18:55:33.473462,-1,1.0
5,18:55:28.952208,18:55:33.589713,-1,1.0
5,18:55:28.952208,18:55:33.700972,-1,1.0
5,18:55:28.952208,18:55:33.807395,-1,1.0
5,18:55:28.952208,18:55:33.914588,-1,1.0
5,18:55:28.952208,18:55:34.002708,-1,1.0
5,18:55:28.952208,18:55:34.101122,-1,1.0
5,18:55:28.952208,18:55:34.206411,-1,1.0
5,18:55:28.952208,18:55:36.683135,1,1.0
5,18:55:28.952208,18:55:36.797723,1,1.0
